时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,2.0
5,7,5.0
5,8,7.0
5,9,18.0
5,10,21.0
5,11,31.0
6,0,33.0
6,1,41.0
6,2,69.0
6,3,63.0
6,4,55.0
6,5,67.0
6,6,113.0
6,7,100.0
6,8,112.0
6,9,161.0
6,10,133.0
6,11,133.0
7,0,167.0
7,1,178.0
7,2,188.0
7,3,212.0
7,4,250.0
7,5,293.0
7,6,275.0
7,7,335.0
7,8,360.0
7,9,437.0
7,10,442.0
7,11,426.0
8,0,421.0
8,1,396.0
8,2,448.0
8,3,408.0
8,4,457.0
8,5,332.0
8,6,387.0
8,7,256.0
8,8,239.0
8,9,217.0
8,10,243.0
8,11,223.0
9,0,177.0
9,1,147.0
9,2,142.0
9,3,141.0
9,4,105.0
9,5,105.0
9,6,89.0
9,7,104.0
9,8,74.0
9,9,72.0
9,10,65.0
9,11,67.0
10,0,65.0
10,1,75.0
10,2,58.0
10,3,54.0
10,4,60.0
10,5,58.0
10,6,56.0
10,7,48.0
10,8,43.0
10,9,38.0
10,10,39.0
10,11,44.0
11,0,45.0
11,1,50.0
11,2,41.0
11,3,32.0
11,4,46.0
11,5,32.0
11,6,39.0
11,7,51.0
11,8,34.0
11,9,49.0
11,10,52.0
11,11,46.0
12,0,37.0
12,1,42.0
12,2,49.0
12,3,49.0
12,4,37.0
12,5,59.0
12,6,44.0
12,7,40.0
12,8,70.0
12,9,38.0
12,10,42.0
12,11,61.0
13,0,35.0
13,1,52.0
13,2,36.0
13,3,49.0
13,4,48.0
13,5,41.0
13,6,40.0
13,7,35.0
13,8,35.0
13,9,36.0
13,10,38.0
13,11,45.0
14,0,28.0
14,1,55.0
14,2,46.0
14,3,45.0
14,4,60.0
14,5,42.0
14,6,33.0
14,7,48.0
14,8,56.0
14,9,56.0
14,10,46.0
14,11,66.0
15,0,60.0
15,1,30.0
15,2,50.0
15,3,46.0
15,4,44.0
15,5,40.0
15,6,57.0
15,7,44.0
15,8,74.0
15,9,70.0
15,10,87.0
15,11,75.0
16,0,89.0
16,1,80.0
16,2,71.0
16,3,52.0
16,4,77.0
16,5,68.0
16,6,85.0
16,7,74.0
16,8,86.0
16,9,95.0
16,10,93.0
16,11,92.0
17,0,165.0
17,1,131.0
17,2,158.0
17,3,180.0
17,4,140.0
17,5,178.0
17,6,186.0
17,7,182.0
17,8,193.0
17,9,183.0
17,10,241.0
17,11,253.0
18,0,244.0
18,1,210.0
18,2,300.0
18,3,244.0
18,4,248.0
18,5,213.0
18,6,300.0
18,7,224.0
18,8,279.0
18,9,246.0
18,10,259.0
18,11,262.0
19,0,223.0
19,1,198.0
19,2,238.0
19,3,237.0
19,4,153.0
19,5,163.0
19,6,159.0
19,7,89.0
19,8,145.0
19,9,96.0
19,10,111.0
19,11,110.0
20,0,109.0
20,1,102.0
20,2,86.0
20,3,87.0
20,4,34.0
20,5,96.0
20,6,81.0
20,7,65.0
20,8,88.0
20,9,60.0
20,10,60.0
20,11,77.0
21,0,57.0
21,1,65.0
21,2,88.0
21,3,69.0
21,4,64.0
21,5,86.0
21,6,59.0
21,7,81.0
21,8,48.0
21,9,72.0
21,10,70.0
21,11,69.0
22,0,17.0
22,1,84.0
22,2,69.0
22,3,60.0
22,4,43.0
22,5,48.0
22,6,28.0
22,7,7.0
22,8,73.0
22,9,49.0
22,10,36.0
22,11,33.0
23,0,26.0
23,1,13.0
23,2,0.0
23,3,17.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
