时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,3.0
5,5,11.0
5,6,16.0
5,7,6.0
5,8,11.0
5,9,10.0
5,10,7.0
5,11,16.0
6,0,16.0
6,1,24.0
6,2,22.0
6,3,33.0
6,4,39.0
6,5,33.0
6,6,37.0
6,7,52.0
6,8,60.0
6,9,78.0
6,10,74.0
6,11,126.0
7,0,107.0
7,1,112.0
7,2,130.0
7,3,111.0
7,4,89.0
7,5,93.0
7,6,116.0
7,7,151.0
7,8,100.0
7,9,155.0
7,10,90.0
7,11,135.0
8,0,120.0
8,1,73.0
8,2,151.0
8,3,79.0
8,4,131.0
8,5,154.0
8,6,159.0
8,7,64.0
8,8,106.0
8,9,127.0
8,10,142.0
8,11,132.0
9,0,94.0
9,1,33.0
9,2,71.0
9,3,70.0
9,4,60.0
9,5,63.0
9,6,28.0
9,7,31.0
9,8,48.0
9,9,36.0
9,10,40.0
9,11,43.0
10,0,37.0
10,1,13.0
10,2,37.0
10,3,15.0
10,4,48.0
10,5,12.0
10,6,38.0
10,7,39.0
10,8,18.0
10,9,31.0
10,10,17.0
10,11,49.0
11,0,19.0
11,1,40.0
11,2,36.0
11,3,11.0
11,4,20.0
11,5,16.0
11,6,39.0
11,7,17.0
11,8,37.0
11,9,8.0
11,10,27.0
11,11,35.0
12,0,11.0
12,1,38.0
12,2,18.0
12,3,22.0
12,4,12.0
12,5,29.0
12,6,15.0
12,7,32.0
12,8,14.0
12,9,45.0
12,10,33.0
12,11,17.0
13,0,31.0
13,1,14.0
13,2,32.0
13,3,9.0
13,4,36.0
13,5,25.0
13,6,28.0
13,7,33.0
13,8,15.0
13,9,43.0
13,10,13.0
13,11,36.0
14,0,16.0
14,1,31.0
14,2,24.0
14,3,19.0
14,4,30.0
14,5,20.0
14,6,43.0
14,7,14.0
14,8,39.0
14,9,20.0
14,10,55.0
14,11,40.0
15,0,17.0
15,1,41.0
15,2,8.0
15,3,46.0
15,4,21.0
15,5,40.0
15,6,25.0
15,7,45.0
15,8,15.0
15,9,48.0
15,10,42.0
15,11,23.0
16,0,36.0
16,1,22.0
16,2,48.0
16,3,31.0
16,4,80.0
16,5,67.0
16,6,63.0
16,7,105.0
16,8,153.0
16,9,132.0
16,10,99.0
16,11,79.0
17,0,93.0
17,1,71.0
17,2,136.0
17,3,50.0
17,4,94.0
17,5,91.0
17,6,38.0
17,7,146.0
17,8,82.0
17,9,116.0
17,10,53.0
17,11,105.0
18,0,86.0
18,1,55.0
18,2,106.0
18,3,55.0
18,4,112.0
18,5,16.0
18,6,122.0
18,7,11.0
18,8,91.0
18,9,66.0
18,10,48.0
18,11,94.0
19,0,18.0
19,1,95.0
19,2,15.0
19,3,95.0
19,4,8.0
19,5,73.0
19,6,40.0
19,7,44.0
19,8,71.0
19,9,5.0
19,10,58.0
19,11,4.0
20,0,67.0
20,1,7.0
20,2,58.0
20,3,34.0
20,4,6.0
20,5,49.0
20,6,2.0
20,7,34.0
20,8,9.0
20,9,44.0
20,10,9.0
20,11,31.0
21,0,19.0
21,1,22.0
21,2,40.0
21,3,12.0
21,4,18.0
21,5,6.0
21,6,33.0
21,7,3.0
21,8,40.0
21,9,33.0
21,10,16.0
21,11,17.0
22,0,18.0
22,1,23.0
22,2,21.0
22,3,13.0
22,4,4.0
22,5,21.0
22,6,18.0
22,7,9.0
22,8,9.0
22,9,10.0
22,10,22.0
22,11,0.0
23,0,19.0
23,1,12.0
23,2,11.0
23,3,2.0
23,4,6.0
23,5,5.0
23,6,7.0
23,7,2.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
