时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,1.0
5,6,8.0
5,7,3.0
5,8,7.0
5,9,4.0
5,10,8.0
5,11,6.0
6,0,7.0
6,1,10.0
6,2,18.0
6,3,14.0
6,4,22.0
6,5,14.0
6,6,27.0
6,7,30.0
6,8,20.0
6,9,32.0
6,10,40.0
6,11,47.0
7,0,45.0
7,1,43.0
7,2,56.0
7,3,75.0
7,4,80.0
7,5,71.0
7,6,134.0
7,7,90.0
7,8,176.0
7,9,176.0
7,10,103.0
7,11,244.0
8,0,109.0
8,1,274.0
8,2,200.0
8,3,219.0
8,4,261.0
8,5,317.0
8,6,51.0
8,7,227.0
8,8,327.0
8,9,202.0
8,10,230.0
8,11,178.0
9,0,90.0
9,1,97.0
9,2,103.0
9,3,58.0
9,4,74.0
9,5,63.0
9,6,45.0
9,7,25.0
9,8,36.0
9,9,46.0
9,10,46.0
9,11,25.0
10,0,32.0
10,1,27.0
10,2,28.0
10,3,25.0
10,4,38.0
10,5,7.0
10,6,43.0
10,7,10.0
10,8,36.0
10,9,7.0
10,10,22.0
10,11,36.0
11,0,5.0
11,1,30.0
11,2,12.0
11,3,36.0
11,4,9.0
11,5,35.0
11,6,7.0
11,7,24.0
11,8,29.0
11,9,9.0
11,10,30.0
11,11,11.0
12,0,41.0
12,1,25.0
12,2,26.0
12,3,12.0
12,4,34.0
12,5,25.0
12,6,14.0
12,7,45.0
12,8,12.0
12,9,35.0
12,10,13.0
12,11,32.0
13,0,14.0
13,1,35.0
13,2,27.0
13,3,22.0
13,4,40.0
13,5,13.0
13,6,48.0
13,7,15.0
13,8,36.0
13,9,21.0
13,10,34.0
13,11,26.0
14,0,18.0
14,1,27.0
14,2,14.0
14,3,25.0
14,4,9.0
14,5,32.0
14,6,14.0
14,7,25.0
14,8,19.0
14,9,29.0
14,10,35.0
14,11,12.0
15,0,21.0
15,1,29.0
15,2,32.0
15,3,21.0
15,4,19.0
15,5,24.0
15,6,14.0
15,7,32.0
15,8,27.0
15,9,29.0
15,10,19.0
15,11,52.0
16,0,17.0
16,1,23.0
16,2,34.0
16,3,42.0
16,4,58.0
16,5,19.0
16,6,44.0
16,7,47.0
16,8,59.0
16,9,59.0
16,10,70.0
16,11,85.0
17,0,44.0
17,1,98.0
17,2,91.0
17,3,125.0
17,4,101.0
17,5,76.0
17,6,60.0
17,7,98.0
17,8,222.0
17,9,172.0
17,10,153.0
17,11,160.0
18,0,84.0
18,1,89.0
18,2,75.0
18,3,113.0
18,4,73.0
18,5,118.0
18,6,61.0
18,7,55.0
18,8,126.0
18,9,37.0
18,10,124.0
18,11,37.0
19,0,108.0
19,1,29.0
19,2,114.0
19,3,54.0
19,4,87.0
19,5,106.0
19,6,29.0
19,7,110.0
19,8,22.0
19,9,98.0
19,10,38.0
19,11,85.0
20,0,39.0
20,1,48.0
20,2,52.0
20,3,17.0
20,4,58.0
20,5,11.0
20,6,54.0
20,7,12.0
20,8,48.0
20,9,24.0
20,10,49.0
20,11,46.0
21,0,17.0
21,1,37.0
21,2,28.0
21,3,18.0
21,4,15.0
21,5,54.0
21,6,19.0
21,7,24.0
21,8,27.0
21,9,9.0
21,10,36.0
21,11,19.0
22,0,22.0
22,1,17.0
22,2,11.0
22,3,3.0
22,4,30.0
22,5,18.0
22,6,13.0
22,7,28.0
22,8,18.0
22,9,8.0
22,10,0.0
22,11,26.0
23,0,14.0
23,1,16.0
23,2,10.0
23,3,10.0
23,4,5.0
23,5,7.0
23,6,5.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
