时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,2.0
5,7,5.0
5,8,9.0
5,9,4.0
5,10,17.0
5,11,12.0
6,0,13.0
6,1,18.0
6,2,17.0
6,3,30.0
6,4,34.0
6,5,41.0
6,6,48.0
6,7,55.0
6,8,57.0
6,9,65.0
6,10,43.0
6,11,70.0
7,0,71.0
7,1,75.0
7,2,82.0
7,3,108.0
7,4,86.0
7,5,127.0
7,6,97.0
7,7,141.0
7,8,147.0
7,9,177.0
7,10,180.0
7,11,191.0
8,0,203.0
8,1,230.0
8,2,201.0
8,3,169.0
8,4,188.0
8,5,144.0
8,6,184.0
8,7,140.0
8,8,124.0
8,9,103.0
8,10,92.0
8,11,67.0
9,0,68.0
9,1,68.0
9,2,52.0
9,3,65.0
9,4,46.0
9,5,28.0
9,6,48.0
9,7,33.0
9,8,33.0
9,9,29.0
9,10,26.0
9,11,25.0
10,0,26.0
10,1,38.0
10,2,31.0
10,3,11.0
10,4,30.0
10,5,19.0
10,6,18.0
10,7,23.0
10,8,25.0
10,9,18.0
10,10,22.0
10,11,22.0
11,0,17.0
11,1,16.0
11,2,22.0
11,3,23.0
11,4,21.0
11,5,22.0
11,6,12.0
11,7,18.0
11,8,19.0
11,9,21.0
11,10,21.0
11,11,21.0
12,0,24.0
12,1,26.0
12,2,27.0
12,3,19.0
12,4,19.0
12,5,29.0
12,6,25.0
12,7,21.0
12,8,19.0
12,9,38.0
12,10,29.0
12,11,22.0
13,0,19.0
13,1,13.0
13,2,25.0
13,3,13.0
13,4,21.0
13,5,16.0
13,6,17.0
13,7,20.0
13,8,19.0
13,9,29.0
13,10,12.0
13,11,22.0
14,0,18.0
14,1,20.0
14,2,26.0
14,3,22.0
14,4,25.0
14,5,14.0
14,6,16.0
14,7,30.0
14,8,22.0
14,9,15.0
14,10,24.0
14,11,12.0
15,0,19.0
15,1,33.0
15,2,28.0
15,3,25.0
15,4,24.0
15,5,15.0
15,6,33.0
15,7,34.0
15,8,26.0
15,9,34.0
15,10,33.0
15,11,36.0
16,0,39.0
16,1,47.0
16,2,23.0
16,3,32.0
16,4,39.0
16,5,73.0
16,6,42.0
16,7,44.0
16,8,47.0
16,9,50.0
16,10,57.0
16,11,64.0
17,0,83.0
17,1,87.0
17,2,62.0
17,3,92.0
17,4,135.0
17,5,56.0
17,6,125.0
17,7,104.0
17,8,106.0
17,9,104.0
17,10,104.0
17,11,125.0
18,0,164.0
18,1,145.0
18,2,107.0
18,3,171.0
18,4,109.0
18,5,96.0
18,6,99.0
18,7,118.0
18,8,99.0
18,9,115.0
18,10,111.0
18,11,72.0
19,0,103.0
19,1,92.0
19,2,69.0
19,3,84.0
19,4,73.0
19,5,53.0
19,6,68.0
19,7,59.0
19,8,45.0
19,9,57.0
19,10,39.0
19,11,38.0
20,0,46.0
20,1,56.0
20,2,38.0
20,3,33.0
20,4,34.0
20,5,43.0
20,6,47.0
20,7,34.0
20,8,31.0
20,9,30.0
20,10,35.0
20,11,44.0
21,0,41.0
21,1,40.0
21,2,25.0
21,3,46.0
21,4,37.0
21,5,39.0
21,6,38.0
21,7,31.0
21,8,30.0
21,9,26.0
21,10,35.0
21,11,18.0
22,0,24.0
22,1,7.0
22,2,27.0
22,3,23.0
22,4,38.0
22,5,27.0
22,6,26.0
22,7,18.0
22,8,9.0
22,9,19.0
22,10,22.0
22,11,14.0
23,0,13.0
23,1,6.0
23,2,8.0
23,3,3.0
23,4,7.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
