时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,5.0
5,9,9.0
5,10,11.0
5,11,26.0
6,0,28.0
6,1,26.0
6,2,47.0
6,3,63.0
6,4,56.0
6,5,75.0
6,6,94.0
6,7,108.0
6,8,107.0
6,9,107.0
6,10,136.0
6,11,114.0
7,0,144.0
7,1,142.0
7,2,157.0
7,3,211.0
7,4,157.0
7,5,167.0
7,6,216.0
7,7,269.0
7,8,294.0
7,9,276.0
7,10,269.0
7,11,250.0
8,0,350.0
8,1,318.0
8,2,280.0
8,3,344.0
8,4,267.0
8,5,294.0
8,6,243.0
8,7,270.0
8,8,264.0
8,9,290.0
8,10,289.0
8,11,209.0
9,0,222.0
9,1,210.0
9,2,180.0
9,3,155.0
9,4,144.0
9,5,158.0
9,6,114.0
9,7,111.0
9,8,105.0
9,9,101.0
9,10,100.0
9,11,112.0
10,0,96.0
10,1,83.0
10,2,103.0
10,3,74.0
10,4,77.0
10,5,73.0
10,6,85.0
10,7,88.0
10,8,69.0
10,9,67.0
10,10,69.0
10,11,77.0
11,0,69.0
11,1,68.0
11,2,65.0
11,3,48.0
11,4,66.0
11,5,69.0
11,6,55.0
11,7,63.0
11,8,57.0
11,9,67.0
11,10,52.0
11,11,64.0
12,0,66.0
12,1,61.0
12,2,66.0
12,3,82.0
12,4,54.0
12,5,75.0
12,6,64.0
12,7,58.0
12,8,57.0
12,9,55.0
12,10,55.0
12,11,79.0
13,0,61.0
13,1,64.0
13,2,67.0
13,3,73.0
13,4,53.0
13,5,47.0
13,6,46.0
13,7,67.0
13,8,66.0
13,9,96.0
13,10,61.0
13,11,85.0
14,0,79.0
14,1,59.0
14,2,97.0
14,3,49.0
14,4,84.0
14,5,62.0
14,6,84.0
14,7,64.0
14,8,81.0
14,9,76.0
14,10,64.0
14,11,74.0
15,0,59.0
15,1,84.0
15,2,56.0
15,3,85.0
15,4,78.0
15,5,63.0
15,6,97.0
15,7,67.0
15,8,81.0
15,9,96.0
15,10,87.0
15,11,85.0
16,0,95.0
16,1,108.0
16,2,102.0
16,3,89.0
16,4,117.0
16,5,102.0
16,6,105.0
16,7,95.0
16,8,129.0
16,9,155.0
16,10,187.0
16,11,140.0
17,0,161.0
17,1,201.0
17,2,197.0
17,3,165.0
17,4,196.0
17,5,162.0
17,6,219.0
17,7,197.0
17,8,203.0
17,9,206.0
17,10,171.0
17,11,217.0
18,0,175.0
18,1,218.0
18,2,206.0
18,3,302.0
18,4,212.0
18,5,208.0
18,6,244.0
18,7,163.0
18,8,187.0
18,9,211.0
18,10,249.0
18,11,171.0
19,0,218.0
19,1,117.0
19,2,221.0
19,3,179.0
19,4,95.0
19,5,140.0
19,6,152.0
19,7,108.0
19,8,116.0
19,9,93.0
19,10,59.0
19,11,77.0
20,0,102.0
20,1,60.0
20,2,59.0
20,3,64.0
20,4,88.0
20,5,71.0
20,6,85.0
20,7,60.0
20,8,63.0
20,9,79.0
20,10,46.0
20,11,58.0
21,0,70.0
21,1,59.0
21,2,69.0
21,3,82.0
21,4,65.0
21,5,57.0
21,6,62.0
21,7,63.0
21,8,56.0
21,9,60.0
21,10,57.0
21,11,63.0
22,0,49.0
22,1,19.0
22,2,54.0
22,3,45.0
22,4,46.0
22,5,25.0
22,6,31.0
22,7,54.0
22,8,34.0
22,9,27.0
22,10,47.0
22,11,24.0
23,0,14.0
23,1,12.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
