时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,1.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,3.0
5,10,6.0
5,11,16.0
6,0,21.0
6,1,20.0
6,2,23.0
6,3,26.0
6,4,25.0
6,5,18.0
6,6,27.0
6,7,40.0
6,8,43.0
6,9,51.0
6,10,56.0
6,11,103.0
7,0,86.0
7,1,98.0
7,2,104.0
7,3,103.0
7,4,103.0
7,5,104.0
7,6,147.0
7,7,121.0
7,8,182.0
7,9,187.0
7,10,186.0
7,11,208.0
8,0,207.0
8,1,182.0
8,2,305.0
8,3,224.0
8,4,258.0
8,5,205.0
8,6,194.0
8,7,154.0
8,8,182.0
8,9,236.0
8,10,168.0
8,11,212.0
9,0,139.0
9,1,137.0
9,2,94.0
9,3,114.0
9,4,95.0
9,5,78.0
9,6,80.0
9,7,63.0
9,8,76.0
9,9,64.0
9,10,61.0
9,11,60.0
10,0,69.0
10,1,54.0
10,2,34.0
10,3,43.0
10,4,44.0
10,5,34.0
10,6,40.0
10,7,35.0
10,8,53.0
10,9,33.0
10,10,35.0
10,11,39.0
11,0,40.0
11,1,44.0
11,2,18.0
11,3,42.0
11,4,32.0
11,5,48.0
11,6,33.0
11,7,37.0
11,8,32.0
11,9,21.0
11,10,34.0
11,11,24.0
12,0,33.0
12,1,29.0
12,2,35.0
12,3,42.0
12,4,49.0
12,5,53.0
12,6,36.0
12,7,33.0
12,8,39.0
12,9,34.0
12,10,41.0
12,11,28.0
13,0,43.0
13,1,46.0
13,2,45.0
13,3,44.0
13,4,48.0
13,5,52.0
13,6,45.0
13,7,33.0
13,8,36.0
13,9,38.0
13,10,38.0
13,11,39.0
14,0,32.0
14,1,29.0
14,2,41.0
14,3,41.0
14,4,30.0
14,5,36.0
14,6,31.0
14,7,49.0
14,8,64.0
14,9,55.0
14,10,52.0
14,11,61.0
15,0,55.0
15,1,44.0
15,2,50.0
15,3,48.0
15,4,99.0
15,5,96.0
15,6,61.0
15,7,35.0
15,8,57.0
15,9,61.0
15,10,39.0
15,11,40.0
16,0,50.0
16,1,53.0
16,2,47.0
16,3,55.0
16,4,66.0
16,5,56.0
16,6,56.0
16,7,66.0
16,8,81.0
16,9,84.0
16,10,86.0
16,11,79.0
17,0,92.0
17,1,229.0
17,2,219.0
17,3,201.0
17,4,226.0
17,5,170.0
17,6,150.0
17,7,157.0
17,8,205.0
17,9,166.0
17,10,166.0
17,11,129.0
18,0,143.0
18,1,143.0
18,2,173.0
18,3,134.0
18,4,151.0
18,5,143.0
18,6,96.0
18,7,128.0
18,8,107.0
18,9,147.0
18,10,117.0
18,11,86.0
19,0,66.0
19,1,107.0
19,2,96.0
19,3,48.0
19,4,79.0
19,5,91.0
19,6,48.0
19,7,80.0
19,8,48.0
19,9,58.0
19,10,58.0
19,11,58.0
20,0,45.0
20,1,38.0
20,2,51.0
20,3,43.0
20,4,42.0
20,5,34.0
20,6,47.0
20,7,27.0
20,8,47.0
20,9,21.0
20,10,48.0
20,11,41.0
21,0,45.0
21,1,48.0
21,2,43.0
21,3,31.0
21,4,33.0
21,5,41.0
21,6,29.0
21,7,34.0
21,8,53.0
21,9,55.0
21,10,39.0
21,11,34.0
22,0,31.0
22,1,39.0
22,2,48.0
22,3,35.0
22,4,12.0
22,5,6.0
22,6,30.0
22,7,20.0
22,8,21.0
22,9,17.0
22,10,15.0
22,11,10.0
23,0,5.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
