时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,3.0
5,6,4.0
5,7,6.0
5,8,10.0
5,9,8.0
5,10,9.0
5,11,3.0
6,0,9.0
6,1,16.0
6,2,13.0
6,3,22.0
6,4,22.0
6,5,19.0
6,6,35.0
6,7,38.0
6,8,75.0
6,9,28.0
6,10,52.0
6,11,73.0
7,0,46.0
7,1,108.0
7,2,61.0
7,3,48.0
7,4,136.0
7,5,77.0
7,6,122.0
7,7,140.0
7,8,95.0
7,9,182.0
7,10,146.0
7,11,177.0
8,0,128.0
8,1,108.0
8,2,190.0
8,3,105.0
8,4,90.0
8,5,140.0
8,6,68.0
8,7,119.0
8,8,66.0
8,9,107.0
8,10,75.0
8,11,53.0
9,0,60.0
9,1,37.0
9,2,36.0
9,3,42.0
9,4,62.0
9,5,28.0
9,6,40.0
9,7,26.0
9,8,59.0
9,9,31.0
9,10,28.0
9,11,13.0
10,0,49.0
10,1,10.0
10,2,36.0
10,3,11.0
10,4,43.0
10,5,30.0
10,6,8.0
10,7,31.0
10,8,6.0
10,9,31.0
10,10,14.0
10,11,28.0
11,0,19.0
11,1,28.0
11,2,24.0
11,3,8.0
11,4,40.0
11,5,24.0
11,6,35.0
11,7,19.0
11,8,32.0
11,9,20.0
11,10,29.0
11,11,29.0
12,0,17.0
12,1,28.0
12,2,12.0
12,3,32.0
12,4,16.0
12,5,27.0
12,6,14.0
12,7,19.0
12,8,32.0
12,9,15.0
12,10,29.0
12,11,12.0
13,0,46.0
13,1,15.0
13,2,28.0
13,3,12.0
13,4,31.0
13,5,20.0
13,6,10.0
13,7,39.0
13,8,15.0
13,9,11.0
13,10,9.0
13,11,26.0
14,0,23.0
14,1,36.0
14,2,14.0
14,3,8.0
14,4,30.0
14,5,9.0
14,6,20.0
14,7,9.0
14,8,43.0
14,9,19.0
14,10,33.0
14,11,31.0
15,0,17.0
15,1,45.0
15,2,7.0
15,3,37.0
15,4,14.0
15,5,27.0
15,6,15.0
15,7,36.0
15,8,53.0
15,9,45.0
15,10,34.0
15,11,15.0
16,0,28.0
16,1,14.0
16,2,46.0
16,3,42.0
16,4,37.0
16,5,55.0
16,6,16.0
16,7,63.0
16,8,33.0
16,9,74.0
16,10,20.0
16,11,88.0
17,0,50.0
17,1,44.0
17,2,69.0
17,3,34.0
17,4,69.0
17,5,99.0
17,6,28.0
17,7,78.0
17,8,38.0
17,9,106.0
17,10,23.0
17,11,79.0
18,0,30.0
18,1,130.0
18,2,113.0
18,3,39.0
18,4,125.0
18,5,25.0
18,6,127.0
18,7,21.0
18,8,146.0
18,9,18.0
18,10,125.0
18,11,95.0
19,0,45.0
19,1,105.0
19,2,6.0
19,3,80.0
19,4,15.0
19,5,88.0
19,6,34.0
19,7,63.0
19,8,63.0
19,9,15.0
19,10,53.0
19,11,9.0
20,0,51.0
20,1,7.0
20,2,49.0
20,3,18.0
20,4,46.0
20,5,32.0
20,6,15.0
20,7,46.0
20,8,27.0
20,9,43.0
20,10,5.0
20,11,41.0
21,0,29.0
21,1,14.0
21,2,41.0
21,3,16.0
21,4,26.0
21,5,22.0
21,6,27.0
21,7,28.0
21,8,15.0
21,9,29.0
21,10,26.0
21,11,21.0
22,0,23.0
22,1,11.0
22,2,24.0
22,3,22.0
22,4,15.0
22,5,14.0
22,6,4.0
22,7,20.0
22,8,13.0
22,9,0.0
22,10,18.0
22,11,12.0
23,0,6.0
23,1,0.0
23,2,4.0
23,3,7.0
23,4,2.0
23,5,1.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
