时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,2.0
5,11,4.0
6,0,13.0
6,1,11.0
6,2,15.0
6,3,25.0
6,4,15.0
6,5,27.0
6,6,29.0
6,7,51.0
6,8,46.0
6,9,98.0
6,10,98.0
6,11,162.0
7,0,123.0
7,1,120.0
7,2,114.0
7,3,85.0
7,4,108.0
7,5,73.0
7,6,97.0
7,7,133.0
7,8,123.0
7,9,151.0
7,10,167.0
7,11,154.0
8,0,230.0
8,1,183.0
8,2,197.0
8,3,328.0
8,4,196.0
8,5,283.0
8,6,190.0
8,7,375.0
8,8,270.0
8,9,320.0
8,10,285.0
8,11,298.0
9,0,182.0
9,1,216.0
9,2,190.0
9,3,148.0
9,4,122.0
9,5,126.0
9,6,110.0
9,7,78.0
9,8,69.0
9,9,84.0
9,10,56.0
9,11,87.0
10,0,70.0
10,1,76.0
10,2,59.0
10,3,58.0
10,4,58.0
10,5,64.0
10,6,60.0
10,7,48.0
10,8,73.0
10,9,56.0
10,10,36.0
10,11,52.0
11,0,62.0
11,1,51.0
11,2,50.0
11,3,49.0
11,4,40.0
11,5,52.0
11,6,45.0
11,7,44.0
11,8,36.0
11,9,31.0
11,10,53.0
11,11,61.0
12,0,64.0
12,1,38.0
12,2,38.0
12,3,48.0
12,4,36.0
12,5,37.0
12,6,38.0
12,7,56.0
12,8,49.0
12,9,47.0
12,10,60.0
12,11,51.0
13,0,44.0
13,1,39.0
13,2,38.0
13,3,42.0
13,4,52.0
13,5,51.0
13,6,62.0
13,7,49.0
13,8,45.0
13,9,59.0
13,10,51.0
13,11,50.0
14,0,46.0
14,1,60.0
14,2,39.0
14,3,62.0
14,4,70.0
14,5,46.0
14,6,67.0
14,7,61.0
14,8,54.0
14,9,52.0
14,10,60.0
14,11,62.0
15,0,55.0
15,1,72.0
15,2,46.0
15,3,45.0
15,4,49.0
15,5,54.0
15,6,82.0
15,7,65.0
15,8,59.0
15,9,91.0
15,10,109.0
15,11,75.0
16,0,93.0
16,1,64.0
16,2,66.0
16,3,71.0
16,4,68.0
16,5,69.0
16,6,115.0
16,7,134.0
16,8,149.0
16,9,181.0
16,10,177.0
16,11,141.0
17,0,147.0
17,1,176.0
17,2,273.0
17,3,252.0
17,4,223.0
17,5,156.0
17,6,153.0
17,7,160.0
17,8,217.0
17,9,238.0
17,10,223.0
17,11,196.0
18,0,214.0
18,1,195.0
18,2,195.0
18,3,232.0
18,4,226.0
18,5,174.0
18,6,136.0
18,7,181.0
18,8,129.0
18,9,161.0
18,10,161.0
18,11,98.0
19,0,111.0
19,1,129.0
19,2,80.0
19,3,109.0
19,4,93.0
19,5,82.0
19,6,56.0
19,7,70.0
19,8,70.0
19,9,55.0
19,10,63.0
19,11,68.0
20,0,61.0
20,1,58.0
20,2,69.0
20,3,74.0
20,4,64.0
20,5,50.0
20,6,63.0
20,7,67.0
20,8,50.0
20,9,49.0
20,10,84.0
20,11,56.0
21,0,43.0
21,1,59.0
21,2,61.0
21,3,74.0
21,4,75.0
21,5,51.0
21,6,60.0
21,7,48.0
21,8,47.0
21,9,41.0
21,10,47.0
21,11,29.0
22,0,33.0
22,1,30.0
22,2,47.0
22,3,36.0
22,4,14.0
22,5,44.0
22,6,16.0
22,7,25.0
22,8,7.0
22,9,20.0
22,10,6.0
22,11,7.0
23,0,9.0
23,1,1.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
