时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,5.0
5,5,3.0
5,6,7.0
5,7,5.0
5,8,8.0
5,9,5.0
5,10,6.0
5,11,13.0
6,0,15.0
6,1,15.0
6,2,19.0
6,3,20.0
6,4,28.0
6,5,50.0
6,6,74.0
6,7,72.0
6,8,115.0
6,9,80.0
6,10,114.0
6,11,83.0
7,0,99.0
7,1,115.0
7,2,118.0
7,3,106.0
7,4,117.0
7,5,111.0
7,6,177.0
7,7,139.0
7,8,224.0
7,9,228.0
7,10,216.0
7,11,218.0
8,0,234.0
8,1,259.0
8,2,275.0
8,3,282.0
8,4,263.0
8,5,209.0
8,6,226.0
8,7,183.0
8,8,210.0
8,9,182.0
8,10,161.0
8,11,147.0
9,0,122.0
9,1,113.0
9,2,113.0
9,3,100.0
9,4,68.0
9,5,64.0
9,6,65.0
9,7,41.0
9,8,81.0
9,9,23.0
9,10,68.0
9,11,23.0
10,0,42.0
10,1,32.0
10,2,53.0
10,3,49.0
10,4,22.0
10,5,41.0
10,6,11.0
10,7,29.0
10,8,14.0
10,9,45.0
10,10,20.0
10,11,36.0
11,0,29.0
11,1,32.0
11,2,52.0
11,3,16.0
11,4,34.0
11,5,15.0
11,6,39.0
11,7,20.0
11,8,42.0
11,9,38.0
11,10,26.0
11,11,43.0
12,0,22.0
12,1,31.0
12,2,16.0
12,3,40.0
12,4,20.0
12,5,40.0
12,6,31.0
12,7,30.0
12,8,46.0
12,9,25.0
12,10,58.0
12,11,14.0
13,0,45.0
13,1,23.0
13,2,29.0
13,3,25.0
13,4,15.0
13,5,43.0
13,6,15.0
13,7,41.0
13,8,11.0
13,9,37.0
13,10,10.0
13,11,44.0
14,0,21.0
14,1,30.0
14,2,31.0
14,3,13.0
14,4,43.0
14,5,18.0
14,6,41.0
14,7,20.0
14,8,37.0
14,9,34.0
14,10,39.0
14,11,50.0
15,0,18.0
15,1,27.0
15,2,12.0
15,3,61.0
15,4,10.0
15,5,17.0
15,6,24.0
15,7,49.0
15,8,52.0
15,9,10.0
15,10,54.0
15,11,8.0
16,0,57.0
16,1,29.0
16,2,58.0
16,3,71.0
16,4,39.0
16,5,44.0
16,6,27.0
16,7,72.0
16,8,49.0
16,9,54.0
16,10,88.0
16,11,63.0
17,0,144.0
17,1,47.0
17,2,120.0
17,3,45.0
17,4,180.0
17,5,20.0
17,6,160.0
17,7,42.0
17,8,171.0
17,9,153.0
17,10,77.0
17,11,193.0
18,0,30.0
18,1,232.0
18,2,32.0
18,3,232.0
18,4,84.0
18,5,196.0
18,6,112.0
18,7,156.0
18,8,249.0
18,9,46.0
18,10,284.0
18,11,19.0
19,0,252.0
19,1,12.0
19,2,219.0
19,3,76.0
19,4,137.0
19,5,67.0
19,6,126.0
19,7,103.0
19,8,13.0
19,9,122.0
19,10,8.0
19,11,87.0
20,0,47.0
20,1,71.0
20,2,97.0
20,3,12.0
20,4,74.0
20,5,11.0
20,6,99.0
20,7,49.0
20,8,59.0
20,9,78.0
20,10,12.0
20,11,60.0
21,0,21.0
21,1,72.0
21,2,67.0
21,3,36.0
21,4,22.0
21,5,52.0
21,6,49.0
21,7,56.0
21,8,58.0
21,9,35.0
21,10,41.0
21,11,18.0
22,0,47.0
22,1,36.0
22,2,26.0
22,3,43.0
22,4,29.0
22,5,27.0
22,6,17.0
22,7,2.0
22,8,10.0
22,9,21.0
22,10,10.0
22,11,10.0
23,0,5.0
23,1,0.0
23,2,8.0
23,3,6.0
23,4,7.0
23,5,0.0
23,6,2.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
