时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,6.0
5,4,6.0
5,5,12.0
5,6,11.0
5,7,9.0
5,8,16.0
5,9,20.0
5,10,17.0
5,11,25.0
6,0,21.0
6,1,26.0
6,2,39.0
6,3,30.0
6,4,41.0
6,5,40.0
6,6,50.0
6,7,39.0
6,8,56.0
6,9,71.0
6,10,64.0
6,11,83.0
7,0,87.0
7,1,100.0
7,2,68.0
7,3,130.0
7,4,130.0
7,5,159.0
7,6,76.0
7,7,189.0
7,8,199.0
7,9,124.0
7,10,252.0
7,11,148.0
8,0,215.0
8,1,238.0
8,2,110.0
8,3,263.0
8,4,118.0
8,5,132.0
8,6,197.0
8,7,98.0
8,8,210.0
8,9,182.0
8,10,166.0
8,11,38.0
9,0,136.0
9,1,109.0
9,2,78.0
9,3,64.0
9,4,36.0
9,5,77.0
9,6,20.0
9,7,40.0
9,8,43.0
9,9,57.0
9,10,50.0
9,11,44.0
10,0,19.0
10,1,49.0
10,2,35.0
10,3,60.0
10,4,16.0
10,5,43.0
10,6,17.0
10,7,38.0
10,8,27.0
10,9,19.0
10,10,34.0
10,11,16.0
11,0,48.0
11,1,17.0
11,2,22.0
11,3,12.0
11,4,38.0
11,5,44.0
11,6,15.0
11,7,36.0
11,8,19.0
11,9,58.0
11,10,16.0
11,11,32.0
12,0,18.0
12,1,44.0
12,2,31.0
12,3,16.0
12,4,52.0
12,5,12.0
12,6,37.0
12,7,11.0
12,8,45.0
12,9,26.0
12,10,41.0
12,11,23.0
13,0,47.0
13,1,29.0
13,2,7.0
13,3,51.0
13,4,18.0
13,5,49.0
13,6,12.0
13,7,58.0
13,8,21.0
13,9,13.0
13,10,41.0
13,11,17.0
14,0,46.0
14,1,25.0
14,2,41.0
14,3,17.0
14,4,38.0
14,5,33.0
14,6,15.0
14,7,37.0
14,8,14.0
14,9,52.0
14,10,28.0
14,11,63.0
15,0,26.0
15,1,62.0
15,2,29.0
15,3,29.0
15,4,52.0
15,5,20.0
15,6,53.0
15,7,20.0
15,8,41.0
15,9,37.0
15,10,43.0
15,11,47.0
16,0,41.0
16,1,70.0
16,2,31.0
16,3,63.0
16,4,50.0
16,5,57.0
16,6,35.0
16,7,68.0
16,8,78.0
16,9,31.0
16,10,103.0
16,11,38.0
17,0,101.0
17,1,89.0
17,2,127.0
17,3,100.0
17,4,113.0
17,5,103.0
17,6,91.0
17,7,103.0
17,8,183.0
17,9,126.0
17,10,178.0
17,11,62.0
18,0,136.0
18,1,52.0
18,2,195.0
18,3,105.0
18,4,92.0
18,5,94.0
18,6,101.0
18,7,155.0
18,8,27.0
18,9,172.0
18,10,17.0
18,11,183.0
19,0,13.0
19,1,149.0
19,2,157.0
19,3,17.0
19,4,143.0
19,5,9.0
19,6,144.0
19,7,9.0
19,8,129.0
19,9,47.0
19,10,44.0
19,11,52.0
20,0,49.0
20,1,62.0
20,2,9.0
20,3,66.0
20,4,7.0
20,5,86.0
20,6,6.0
20,7,57.0
20,8,9.0
20,9,57.0
20,10,57.0
20,11,11.0
21,0,78.0
21,1,21.0
21,2,18.0
21,3,50.0
21,4,34.0
21,5,32.0
21,6,23.0
21,7,57.0
21,8,24.0
21,9,20.0
21,10,13.0
21,11,24.0
22,0,35.0
22,1,19.0
22,2,26.0
22,3,36.0
22,4,33.0
22,5,35.0
22,6,1.0
22,7,17.0
22,8,16.0
22,9,10.0
22,10,2.0
22,11,20.0
23,0,15.0
23,1,7.0
23,2,13.0
23,3,7.0
23,4,4.0
23,5,8.0
23,6,3.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
