时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,1.0
5,8,5.0
5,9,3.0
5,10,8.0
5,11,8.0
6,0,11.0
6,1,10.0
6,2,20.0
6,3,26.0
6,4,27.0
6,5,34.0
6,6,23.0
6,7,48.0
6,8,58.0
6,9,40.0
6,10,64.0
6,11,80.0
7,0,89.0
7,1,110.0
7,2,76.0
7,3,75.0
7,4,93.0
7,5,93.0
7,6,102.0
7,7,95.0
7,8,121.0
7,9,108.0
7,10,134.0
7,11,135.0
8,0,149.0
8,1,183.0
8,2,188.0
8,3,170.0
8,4,236.0
8,5,212.0
8,6,216.0
8,7,256.0
8,8,232.0
8,9,196.0
8,10,192.0
8,11,162.0
9,0,130.0
9,1,145.0
9,2,128.0
9,3,119.0
9,4,103.0
9,5,78.0
9,6,83.0
9,7,74.0
9,8,63.0
9,9,63.0
9,10,71.0
9,11,58.0
10,0,54.0
10,1,42.0
10,2,45.0
10,3,40.0
10,4,44.0
10,5,33.0
10,6,40.0
10,7,50.0
10,8,43.0
10,9,34.0
10,10,27.0
10,11,33.0
11,0,24.0
11,1,42.0
11,2,33.0
11,3,50.0
11,4,44.0
11,5,25.0
11,6,40.0
11,7,35.0
11,8,26.0
11,9,29.0
11,10,40.0
11,11,35.0
12,0,37.0
12,1,29.0
12,2,36.0
12,3,48.0
12,4,54.0
12,5,39.0
12,6,40.0
12,7,39.0
12,8,33.0
12,9,30.0
12,10,39.0
12,11,43.0
13,0,34.0
13,1,40.0
13,2,34.0
13,3,42.0
13,4,34.0
13,5,27.0
13,6,30.0
13,7,24.0
13,8,36.0
13,9,30.0
13,10,34.0
13,11,37.0
14,0,31.0
14,1,27.0
14,2,27.0
14,3,43.0
14,4,33.0
14,5,23.0
14,6,33.0
14,7,37.0
14,8,27.0
14,9,38.0
14,10,36.0
14,11,35.0
15,0,52.0
15,1,28.0
15,2,23.0
15,3,30.0
15,4,31.0
15,5,40.0
15,6,33.0
15,7,43.0
15,8,43.0
15,9,35.0
15,10,36.0
15,11,59.0
16,0,43.0
16,1,26.0
16,2,43.0
16,3,38.0
16,4,60.0
16,5,38.0
16,6,68.0
16,7,71.0
16,8,69.0
16,9,60.0
16,10,74.0
16,11,71.0
17,0,44.0
17,1,85.0
17,2,111.0
17,3,108.0
17,4,124.0
17,5,100.0
17,6,146.0
17,7,129.0
17,8,123.0
17,9,130.0
17,10,135.0
17,11,134.0
18,0,139.0
18,1,134.0
18,2,79.0
18,3,186.0
18,4,179.0
18,5,143.0
18,6,131.0
18,7,118.0
18,8,123.0
18,9,145.0
18,10,147.0
18,11,76.0
19,0,121.0
19,1,80.0
19,2,90.0
19,3,83.0
19,4,88.0
19,5,61.0
19,6,75.0
19,7,69.0
19,8,38.0
19,9,65.0
19,10,65.0
19,11,62.0
20,0,44.0
20,1,48.0
20,2,42.0
20,3,53.0
20,4,65.0
20,5,45.0
20,6,47.0
20,7,52.0
20,8,41.0
20,9,53.0
20,10,54.0
20,11,34.0
21,0,60.0
21,1,47.0
21,2,48.0
21,3,82.0
21,4,50.0
21,5,68.0
21,6,48.0
21,7,66.0
21,8,43.0
21,9,38.0
21,10,53.0
21,11,27.0
22,0,47.0
22,1,41.0
22,2,35.0
22,3,21.0
22,4,30.0
22,5,14.0
22,6,41.0
22,7,24.0
22,8,22.0
22,9,14.0
22,10,34.0
22,11,11.0
23,0,8.0
23,1,10.0
23,2,3.0
23,3,1.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
