时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,0.0
5,6,6.0
5,7,2.0
5,8,7.0
5,9,13.0
5,10,18.0
5,11,30.0
6,0,33.0
6,1,36.0
6,2,32.0
6,3,47.0
6,4,46.0
6,5,62.0
6,6,81.0
6,7,79.0
6,8,111.0
6,9,110.0
6,10,141.0
6,11,149.0
7,0,132.0
7,1,136.0
7,2,159.0
7,3,211.0
7,4,189.0
7,5,211.0
7,6,279.0
7,7,274.0
7,8,374.0
7,9,428.0
7,10,352.0
7,11,446.0
8,0,452.0
8,1,513.0
8,2,485.0
8,3,443.0
8,4,578.0
8,5,473.0
8,6,382.0
8,7,344.0
8,8,400.0
8,9,381.0
8,10,335.0
8,11,305.0
9,0,245.0
9,1,260.0
9,2,237.0
9,3,179.0
9,4,165.0
9,5,170.0
9,6,149.0
9,7,138.0
9,8,121.0
9,9,122.0
9,10,74.0
9,11,119.0
10,0,82.0
10,1,116.0
10,2,116.0
10,3,65.0
10,4,89.0
10,5,62.0
10,6,62.0
10,7,68.0
10,8,85.0
10,9,91.0
10,10,74.0
10,11,88.0
11,0,79.0
11,1,94.0
11,2,76.0
11,3,78.0
11,4,59.0
11,5,92.0
11,6,64.0
11,7,83.0
11,8,61.0
11,9,69.0
11,10,75.0
11,11,75.0
12,0,69.0
12,1,62.0
12,2,91.0
12,3,80.0
12,4,113.0
12,5,66.0
12,6,103.0
12,7,96.0
12,8,68.0
12,9,80.0
12,10,93.0
12,11,112.0
13,0,122.0
13,1,92.0
13,2,88.0
13,3,82.0
13,4,75.0
13,5,91.0
13,6,87.0
13,7,93.0
13,8,71.0
13,9,87.0
13,10,85.0
13,11,80.0
14,0,89.0
14,1,63.0
14,2,75.0
14,3,68.0
14,4,85.0
14,5,72.0
14,6,71.0
14,7,87.0
14,8,68.0
14,9,69.0
14,10,92.0
14,11,105.0
15,0,65.0
15,1,93.0
15,2,107.0
15,3,72.0
15,4,107.0
15,5,67.0
15,6,124.0
15,7,102.0
15,8,66.0
15,9,96.0
15,10,101.0
15,11,97.0
16,0,81.0
16,1,122.0
16,2,123.0
16,3,108.0
16,4,109.0
16,5,137.0
16,6,112.0
16,7,145.0
16,8,115.0
16,9,162.0
16,10,174.0
16,11,212.0
17,0,196.0
17,1,172.0
17,2,251.0
17,3,214.0
17,4,247.0
17,5,302.0
17,6,256.0
17,7,298.0
17,8,310.0
17,9,225.0
17,10,300.0
17,11,303.0
18,0,331.0
18,1,258.0
18,2,337.0
18,3,271.0
18,4,396.0
18,5,373.0
18,6,327.0
18,7,302.0
18,8,319.0
18,9,244.0
18,10,256.0
18,11,333.0
19,0,216.0
19,1,282.0
19,2,231.0
19,3,285.0
19,4,209.0
19,5,175.0
19,6,193.0
19,7,167.0
19,8,147.0
19,9,144.0
19,10,150.0
19,11,124.0
20,0,125.0
20,1,162.0
20,2,162.0
20,3,118.0
20,4,89.0
20,5,152.0
20,6,95.0
20,7,111.0
20,8,127.0
20,9,120.0
20,10,133.0
20,11,131.0
21,0,81.0
21,1,126.0
21,2,112.0
21,3,151.0
21,4,97.0
21,5,86.0
21,6,80.0
21,7,139.0
21,8,93.0
21,9,84.0
21,10,90.0
21,11,100.0
22,0,84.0
22,1,99.0
22,2,42.0
22,3,83.0
22,4,71.0
22,5,72.0
22,6,40.0
22,7,68.0
22,8,60.0
22,9,36.0
22,10,26.0
22,11,50.0
23,0,26.0
23,1,19.0
23,2,21.0
23,3,1.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
