时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,1.0
4,10,2.0
4,11,4.0
5,0,4.0
5,1,7.0
5,2,3.0
5,3,10.0
5,4,7.0
5,5,12.0
5,6,7.0
5,7,5.0
5,8,10.0
5,9,11.0
5,10,13.0
5,11,13.0
6,0,13.0
6,1,17.0
6,2,32.0
6,3,41.0
6,4,42.0
6,5,51.0
6,6,57.0
6,7,85.0
6,8,83.0
6,9,90.0
6,10,141.0
6,11,162.0
7,0,154.0
7,1,181.0
7,2,211.0
7,3,244.0
7,4,232.0
7,5,248.0
7,6,233.0
7,7,203.0
7,8,229.0
7,9,228.0
7,10,245.0
7,11,213.0
8,0,220.0
8,1,286.0
8,2,290.0
8,3,247.0
8,4,317.0
8,5,361.0
8,6,301.0
8,7,373.0
8,8,331.0
8,9,413.0
8,10,405.0
8,11,291.0
9,0,253.0
9,1,203.0
9,2,168.0
9,3,175.0
9,4,139.0
9,5,134.0
9,6,105.0
9,7,71.0
9,8,72.0
9,9,94.0
9,10,68.0
9,11,79.0
10,0,60.0
10,1,60.0
10,2,61.0
10,3,63.0
10,4,58.0
10,5,53.0
10,6,54.0
10,7,47.0
10,8,46.0
10,9,43.0
10,10,34.0
10,11,43.0
11,0,39.0
11,1,42.0
11,2,53.0
11,3,37.0
11,4,42.0
11,5,46.0
11,6,39.0
11,7,42.0
11,8,49.0
11,9,45.0
11,10,38.0
11,11,46.0
12,0,39.0
12,1,37.0
12,2,44.0
12,3,33.0
12,4,48.0
12,5,51.0
12,6,51.0
12,7,42.0
12,8,36.0
12,9,42.0
12,10,42.0
12,11,41.0
13,0,39.0
13,1,31.0
13,2,47.0
13,3,45.0
13,4,47.0
13,5,54.0
13,6,61.0
13,7,38.0
13,8,40.0
13,9,26.0
13,10,32.0
13,11,34.0
14,0,38.0
14,1,44.0
14,2,44.0
14,3,41.0
14,4,48.0
14,5,30.0
14,6,35.0
14,7,57.0
14,8,53.0
14,9,45.0
14,10,36.0
14,11,49.0
15,0,42.0
15,1,46.0
15,2,70.0
15,3,71.0
15,4,38.0
15,5,42.0
15,6,44.0
15,7,64.0
15,8,62.0
15,9,59.0
15,10,60.0
15,11,52.0
16,0,59.0
16,1,67.0
16,2,98.0
16,3,83.0
16,4,73.0
16,5,76.0
16,6,74.0
16,7,84.0
16,8,98.0
16,9,103.0
16,10,141.0
16,11,264.0
17,0,272.0
17,1,233.0
17,2,239.0
17,3,231.0
17,4,175.0
17,5,174.0
17,6,191.0
17,7,225.0
17,8,368.0
17,9,211.0
17,10,215.0
17,11,143.0
18,0,173.0
18,1,177.0
18,2,307.0
18,3,270.0
18,4,259.0
18,5,242.0
18,6,190.0
18,7,191.0
18,8,211.0
18,9,212.0
18,10,212.0
18,11,162.0
19,0,143.0
19,1,97.0
19,2,177.0
19,3,166.0
19,4,133.0
19,5,84.0
19,6,108.0
19,7,76.0
19,8,74.0
19,9,71.0
19,10,85.0
19,11,99.0
20,0,62.0
20,1,79.0
20,2,76.0
20,3,57.0
20,4,83.0
20,5,58.0
20,6,48.0
20,7,50.0
20,8,57.0
20,9,70.0
20,10,34.0
20,11,57.0
21,0,60.0
21,1,72.0
21,2,91.0
21,3,106.0
21,4,81.0
21,5,78.0
21,6,68.0
21,7,52.0
21,8,64.0
21,9,76.0
21,10,47.0
21,11,51.0
22,0,41.0
22,1,48.0
22,2,61.0
22,3,35.0
22,4,33.0
22,5,23.0
22,6,36.0
22,7,35.0
22,8,19.0
22,9,31.0
22,10,25.0
22,11,12.0
23,0,9.0
23,1,9.0
23,2,3.0
23,3,11.0
23,4,1.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
