时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,2.0
5,6,12.0
5,7,10.0
5,8,13.0
5,9,12.0
5,10,11.0
5,11,16.0
6,0,17.0
6,1,19.0
6,2,31.0
6,3,21.0
6,4,39.0
6,5,51.0
6,6,57.0
6,7,77.0
6,8,84.0
6,9,93.0
6,10,78.0
6,11,105.0
7,0,70.0
7,1,132.0
7,2,116.0
7,3,110.0
7,4,146.0
7,5,168.0
7,6,168.0
7,7,236.0
7,8,212.0
7,9,224.0
7,10,254.0
7,11,317.0
8,0,281.0
8,1,364.0
8,2,335.0
8,3,421.0
8,4,296.0
8,5,354.0
8,6,270.0
8,7,272.0
8,8,268.0
8,9,248.0
8,10,214.0
8,11,231.0
9,0,157.0
9,1,174.0
9,2,133.0
9,3,131.0
9,4,92.0
9,5,74.0
9,6,59.0
9,7,62.0
9,8,79.0
9,9,45.0
9,10,71.0
9,11,57.0
10,0,59.0
10,1,49.0
10,2,50.0
10,3,53.0
10,4,31.0
10,5,55.0
10,6,19.0
10,7,50.0
10,8,47.0
10,9,35.0
10,10,38.0
10,11,33.0
11,0,46.0
11,1,26.0
11,2,52.0
11,3,37.0
11,4,34.0
11,5,20.0
11,6,22.0
11,7,25.0
11,8,33.0
11,9,43.0
11,10,34.0
11,11,49.0
12,0,31.0
12,1,39.0
12,2,48.0
12,3,37.0
12,4,22.0
12,5,34.0
12,6,34.0
12,7,29.0
12,8,49.0
12,9,27.0
12,10,39.0
12,11,30.0
13,0,53.0
13,1,36.0
13,2,45.0
13,3,36.0
13,4,26.0
13,5,37.0
13,6,39.0
13,7,39.0
13,8,31.0
13,9,43.0
13,10,25.0
13,11,41.0
14,0,30.0
14,1,28.0
14,2,55.0
14,3,44.0
14,4,39.0
14,5,23.0
14,6,43.0
14,7,30.0
14,8,36.0
14,9,32.0
14,10,40.0
14,11,51.0
15,0,44.0
15,1,49.0
15,2,46.0
15,3,42.0
15,4,44.0
15,5,32.0
15,6,44.0
15,7,40.0
15,8,49.0
15,9,46.0
15,10,57.0
15,11,35.0
16,0,41.0
16,1,44.0
16,2,62.0
16,3,65.0
16,4,52.0
16,5,66.0
16,6,65.0
16,7,40.0
16,8,60.0
16,9,70.0
16,10,60.0
16,11,82.0
17,0,83.0
17,1,81.0
17,2,122.0
17,3,97.0
17,4,117.0
17,5,112.0
17,6,120.0
17,7,124.0
17,8,126.0
17,9,196.0
17,10,148.0
17,11,165.0
18,0,166.0
18,1,160.0
18,2,177.0
18,3,196.0
18,4,218.0
18,5,103.0
18,6,247.0
18,7,211.0
18,8,177.0
18,9,219.0
18,10,206.0
18,11,187.0
19,0,158.0
19,1,181.0
19,2,102.0
19,3,174.0
19,4,100.0
19,5,111.0
19,6,78.0
19,7,94.0
19,8,100.0
19,9,113.0
19,10,111.0
19,11,53.0
20,0,70.0
20,1,72.0
20,2,79.0
20,3,60.0
20,4,88.0
20,5,47.0
20,6,63.0
20,7,73.0
20,8,52.0
20,9,56.0
20,10,46.0
20,11,45.0
21,0,66.0
21,1,65.0
21,2,47.0
21,3,58.0
21,4,71.0
21,5,53.0
21,6,71.0
21,7,55.0
21,8,59.0
21,9,56.0
21,10,76.0
21,11,41.0
22,0,28.0
22,1,71.0
22,2,38.0
22,3,43.0
22,4,45.0
22,5,46.0
22,6,27.0
22,7,50.0
22,8,10.0
22,9,42.0
22,10,24.0
22,11,27.0
23,0,30.0
23,1,0.0
23,2,10.0
23,3,5.0
23,4,8.0
23,5,4.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
