时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,6.0
5,4,2.0
5,5,3.0
5,6,27.0
5,7,10.0
5,8,5.0
5,9,8.0
5,10,19.0
5,11,11.0
6,0,17.0
6,1,17.0
6,2,16.0
6,3,34.0
6,4,51.0
6,5,61.0
6,6,58.0
6,7,60.0
6,8,73.0
6,9,64.0
6,10,73.0
6,11,98.0
7,0,79.0
7,1,96.0
7,2,77.0
7,3,78.0
7,4,124.0
7,5,124.0
7,6,105.0
7,7,151.0
7,8,162.0
7,9,167.0
7,10,254.0
7,11,232.0
8,0,269.0
8,1,257.0
8,2,223.0
8,3,285.0
8,4,272.0
8,5,263.0
8,6,207.0
8,7,229.0
8,8,242.0
8,9,120.0
8,10,230.0
8,11,150.0
9,0,198.0
9,1,112.0
9,2,109.0
9,3,83.0
9,4,119.0
9,5,101.0
9,6,103.0
9,7,75.0
9,8,68.0
9,9,95.0
9,10,50.0
9,11,73.0
10,0,68.0
10,1,60.0
10,2,43.0
10,3,55.0
10,4,39.0
10,5,43.0
10,6,46.0
10,7,27.0
10,8,52.0
10,9,29.0
10,10,31.0
10,11,56.0
11,0,21.0
11,1,25.0
11,2,34.0
11,3,42.0
11,4,27.0
11,5,35.0
11,6,28.0
11,7,32.0
11,8,33.0
11,9,24.0
11,10,31.0
11,11,27.0
12,0,36.0
12,1,32.0
12,2,46.0
12,3,27.0
12,4,26.0
12,5,37.0
12,6,27.0
12,7,32.0
12,8,17.0
12,9,23.0
12,10,33.0
12,11,40.0
13,0,26.0
13,1,31.0
13,2,37.0
13,3,23.0
13,4,31.0
13,5,37.0
13,6,30.0
13,7,17.0
13,8,24.0
13,9,27.0
13,10,39.0
13,11,25.0
14,0,32.0
14,1,38.0
14,2,31.0
14,3,27.0
14,4,30.0
14,5,27.0
14,6,17.0
14,7,26.0
14,8,37.0
14,9,31.0
14,10,23.0
14,11,27.0
15,0,45.0
15,1,24.0
15,2,35.0
15,3,38.0
15,4,21.0
15,5,52.0
15,6,28.0
15,7,26.0
15,8,34.0
15,9,40.0
15,10,38.0
15,11,31.0
16,0,31.0
16,1,49.0
16,2,46.0
16,3,53.0
16,4,38.0
16,5,42.0
16,6,28.0
16,7,28.0
16,8,76.0
16,9,54.0
16,10,52.0
16,11,65.0
17,0,74.0
17,1,71.0
17,2,77.0
17,3,79.0
17,4,75.0
17,5,88.0
17,6,91.0
17,7,104.0
17,8,113.0
17,9,133.0
17,10,104.0
17,11,129.0
18,0,96.0
18,1,145.0
18,2,120.0
18,3,181.0
18,4,150.0
18,5,62.0
18,6,212.0
18,7,112.0
18,8,216.0
18,9,102.0
18,10,134.0
18,11,204.0
19,0,105.0
19,1,184.0
19,2,148.0
19,3,149.0
19,4,92.0
19,5,80.0
19,6,91.0
19,7,86.0
19,8,68.0
19,9,72.0
19,10,81.0
19,11,65.0
20,0,62.0
20,1,55.0
20,2,61.0
20,3,51.0
20,4,52.0
20,5,40.0
20,6,60.0
20,7,46.0
20,8,60.0
20,9,59.0
20,10,39.0
20,11,38.0
21,0,43.0
21,1,36.0
21,2,56.0
21,3,36.0
21,4,45.0
21,5,52.0
21,6,39.0
21,7,51.0
21,8,42.0
21,9,33.0
21,10,57.0
21,11,27.0
22,0,36.0
22,1,57.0
22,2,35.0
22,3,39.0
22,4,28.0
22,5,24.0
22,6,19.0
22,7,29.0
22,8,26.0
22,9,24.0
22,10,28.0
22,11,22.0
23,0,19.0
23,1,15.0
23,2,9.0
23,3,7.0
23,4,12.0
23,5,1.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
