时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,4.0
5,4,7.0
5,5,12.0
5,6,15.0
5,7,11.0
5,8,23.0
5,9,12.0
5,10,23.0
5,11,20.0
6,0,27.0
6,1,42.0
6,2,44.0
6,3,88.0
6,4,61.0
6,5,82.0
6,6,130.0
6,7,84.0
6,8,115.0
6,9,143.0
6,10,151.0
6,11,152.0
7,0,186.0
7,1,139.0
7,2,193.0
7,3,267.0
7,4,255.0
7,5,265.0
7,6,342.0
7,7,347.0
7,8,410.0
7,9,454.0
7,10,442.0
7,11,510.0
8,0,390.0
8,1,380.0
8,2,302.0
8,3,418.0
8,4,262.0
8,5,359.0
8,6,204.0
8,7,317.0
8,8,222.0
8,9,177.0
8,10,220.0
8,11,204.0
9,0,188.0
9,1,219.0
9,2,161.0
9,3,189.0
9,4,151.0
9,5,106.0
9,6,127.0
9,7,125.0
9,8,132.0
9,9,101.0
9,10,132.0
9,11,101.0
10,0,116.0
10,1,112.0
10,2,130.0
10,3,96.0
10,4,117.0
10,5,91.0
10,6,64.0
10,7,52.0
10,8,109.0
10,9,105.0
10,10,67.0
10,11,64.0
11,0,78.0
11,1,64.0
11,2,58.0
11,3,75.0
11,4,67.0
11,5,94.0
11,6,78.0
11,7,81.0
11,8,81.0
11,9,80.0
11,10,63.0
11,11,95.0
12,0,64.0
12,1,84.0
12,2,101.0
12,3,79.0
12,4,88.0
12,5,84.0
12,6,64.0
12,7,96.0
12,8,81.0
12,9,98.0
12,10,67.0
12,11,91.0
13,0,71.0
13,1,87.0
13,2,63.0
13,3,105.0
13,4,70.0
13,5,107.0
13,6,80.0
13,7,56.0
13,8,76.0
13,9,68.0
13,10,88.0
13,11,92.0
14,0,69.0
14,1,106.0
14,2,105.0
14,3,101.0
14,4,75.0
14,5,111.0
14,6,79.0
14,7,82.0
14,8,69.0
14,9,95.0
14,10,91.0
14,11,105.0
15,0,88.0
15,1,108.0
15,2,97.0
15,3,94.0
15,4,110.0
15,5,64.0
15,6,93.0
15,7,93.0
15,8,84.0
15,9,129.0
15,10,101.0
15,11,92.0
16,0,133.0
16,1,84.0
16,2,103.0
16,3,123.0
16,4,128.0
16,5,127.0
16,6,97.0
16,7,134.0
16,8,97.0
16,9,108.0
16,10,152.0
16,11,138.0
17,0,181.0
17,1,185.0
17,2,170.0
17,3,196.0
17,4,188.0
17,5,173.0
17,6,202.0
17,7,201.0
17,8,201.0
17,9,169.0
17,10,210.0
17,11,173.0
18,0,233.0
18,1,230.0
18,2,255.0
18,3,283.0
18,4,304.0
18,5,223.0
18,6,55.0
18,7,442.0
18,8,225.0
18,9,386.0
18,10,207.0
18,11,215.0
19,0,434.0
19,1,259.0
19,2,277.0
19,3,225.0
19,4,240.0
19,5,245.0
19,6,211.0
19,7,189.0
19,8,183.0
19,9,166.0
19,10,196.0
19,11,146.0
20,0,172.0
20,1,154.0
20,2,138.0
20,3,124.0
20,4,131.0
20,5,113.0
20,6,117.0
20,7,118.0
20,8,113.0
20,9,113.0
20,10,109.0
20,11,93.0
21,0,115.0
21,1,115.0
21,2,77.0
21,3,111.0
21,4,123.0
21,5,100.0
21,6,130.0
21,7,89.0
21,8,119.0
21,9,87.0
21,10,92.0
21,11,130.0
22,0,98.0
22,1,89.0
22,2,104.0
22,3,74.0
22,4,92.0
22,5,96.0
22,6,57.0
22,7,60.0
22,8,75.0
22,9,66.0
22,10,47.0
22,11,75.0
23,0,45.0
23,1,47.0
23,2,24.0
23,3,20.0
23,4,15.0
23,5,20.0
23,6,14.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
