时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,0.0
5,6,0.0
5,7,4.0
5,8,9.0
5,9,6.0
5,10,9.0
5,11,12.0
6,0,6.0
6,1,14.0
6,2,24.0
6,3,28.0
6,4,41.0
6,5,58.0
6,6,38.0
6,7,70.0
6,8,67.0
6,9,67.0
6,10,54.0
6,11,86.0
7,0,88.0
7,1,74.0
7,2,84.0
7,3,105.0
7,4,136.0
7,5,139.0
7,6,189.0
7,7,149.0
7,8,200.0
7,9,176.0
7,10,194.0
7,11,219.0
8,0,226.0
8,1,258.0
8,2,240.0
8,3,219.0
8,4,274.0
8,5,273.0
8,6,239.0
8,7,224.0
8,8,243.0
8,9,214.0
8,10,258.0
8,11,198.0
9,0,204.0
9,1,151.0
9,2,145.0
9,3,137.0
9,4,113.0
9,5,126.0
9,6,85.0
9,7,109.0
9,8,76.0
9,9,80.0
9,10,70.0
9,11,66.0
10,0,50.0
10,1,82.0
10,2,72.0
10,3,52.0
10,4,59.0
10,5,63.0
10,6,52.0
10,7,47.0
10,8,60.0
10,9,50.0
10,10,35.0
10,11,36.0
11,0,62.0
11,1,48.0
11,2,36.0
11,3,48.0
11,4,48.0
11,5,39.0
11,6,42.0
11,7,41.0
11,8,38.0
11,9,37.0
11,10,37.0
11,11,42.0
12,0,56.0
12,1,43.0
12,2,50.0
12,3,46.0
12,4,40.0
12,5,45.0
12,6,46.0
12,7,43.0
12,8,72.0
12,9,25.0
12,10,49.0
12,11,43.0
13,0,46.0
13,1,50.0
13,2,42.0
13,3,43.0
13,4,48.0
13,5,53.0
13,6,26.0
13,7,35.0
13,8,61.0
13,9,49.0
13,10,62.0
13,11,40.0
14,0,53.0
14,1,58.0
14,2,55.0
14,3,57.0
14,4,46.0
14,5,38.0
14,6,44.0
14,7,43.0
14,8,41.0
14,9,57.0
14,10,60.0
14,11,43.0
15,0,48.0
15,1,56.0
15,2,75.0
15,3,53.0
15,4,53.0
15,5,41.0
15,6,22.0
15,7,53.0
15,8,45.0
15,9,68.0
15,10,58.0
15,11,72.0
16,0,76.0
16,1,83.0
16,2,72.0
16,3,54.0
16,4,72.0
16,5,101.0
16,6,90.0
16,7,86.0
16,8,62.0
16,9,92.0
16,10,106.0
16,11,93.0
17,0,98.0
17,1,135.0
17,2,98.0
17,3,137.0
17,4,93.0
17,5,121.0
17,6,114.0
17,7,137.0
17,8,163.0
17,9,198.0
17,10,223.0
17,11,181.0
18,0,154.0
18,1,98.0
18,2,235.0
18,3,140.0
18,4,90.0
18,5,178.0
18,6,163.0
18,7,125.0
18,8,189.0
18,9,160.0
18,10,131.0
18,11,100.0
19,0,109.0
19,1,139.0
19,2,101.0
19,3,107.0
19,4,90.0
19,5,112.0
19,6,70.0
19,7,69.0
19,8,91.0
19,9,41.0
19,10,57.0
19,11,51.0
20,0,58.0
20,1,40.0
20,2,59.0
20,3,66.0
20,4,57.0
20,5,67.0
20,6,56.0
20,7,49.0
20,8,60.0
20,9,59.0
20,10,39.0
20,11,44.0
21,0,47.0
21,1,25.0
21,2,59.0
21,3,55.0
21,4,71.0
21,5,53.0
21,6,62.0
21,7,34.0
21,8,39.0
21,9,30.0
21,10,66.0
21,11,27.0
22,0,34.0
22,1,27.0
22,2,49.0
22,3,38.0
22,4,28.0
22,5,44.0
22,6,12.0
22,7,34.0
22,8,39.0
22,9,4.0
22,10,16.0
22,11,13.0
23,0,0.0
23,1,9.0
23,2,9.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
