时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,2.0
5,4,2.0
5,5,9.0
5,6,16.0
5,7,30.0
5,8,32.0
5,9,50.0
5,10,34.0
5,11,39.0
6,0,50.0
6,1,59.0
6,2,45.0
6,3,50.0
6,4,42.0
6,5,55.0
6,6,82.0
6,7,62.0
6,8,105.0
6,9,83.0
6,10,83.0
6,11,109.0
7,0,112.0
7,1,142.0
7,2,194.0
7,3,171.0
7,4,161.0
7,5,222.0
7,6,261.0
7,7,261.0
7,8,360.0
7,9,320.0
7,10,315.0
7,11,327.0
8,0,326.0
8,1,259.0
8,2,216.0
8,3,260.0
8,4,219.0
8,5,234.0
8,6,146.0
8,7,123.0
8,8,126.0
8,9,108.0
8,10,95.0
8,11,117.0
9,0,66.0
9,1,82.0
9,2,64.0
9,3,63.0
9,4,78.0
9,5,50.0
9,6,57.0
9,7,38.0
9,8,56.0
9,9,32.0
9,10,70.0
9,11,37.0
10,0,42.0
10,1,23.0
10,2,45.0
10,3,40.0
10,4,40.0
10,5,34.0
10,6,29.0
10,7,42.0
10,8,26.0
10,9,23.0
10,10,32.0
10,11,27.0
11,0,37.0
11,1,24.0
11,2,28.0
11,3,17.0
11,4,24.0
11,5,43.0
11,6,15.0
11,7,33.0
11,8,16.0
11,9,40.0
11,10,30.0
11,11,43.0
12,0,20.0
12,1,43.0
12,2,32.0
12,3,24.0
12,4,57.0
12,5,14.0
12,6,59.0
12,7,23.0
12,8,39.0
12,9,28.0
12,10,49.0
12,11,25.0
13,0,27.0
13,1,31.0
13,2,22.0
13,3,39.0
13,4,12.0
13,5,39.0
13,6,16.0
13,7,37.0
13,8,13.0
13,9,41.0
13,10,19.0
13,11,15.0
14,0,38.0
14,1,18.0
14,2,29.0
14,3,13.0
14,4,47.0
14,5,13.0
14,6,51.0
14,7,12.0
14,8,50.0
14,9,18.0
14,10,10.0
14,11,34.0
15,0,16.0
15,1,35.0
15,2,14.0
15,3,55.0
15,4,39.0
15,5,36.0
15,6,13.0
15,7,38.0
15,8,49.0
15,9,29.0
15,10,13.0
15,11,48.0
16,0,7.0
16,1,76.0
16,2,31.0
16,3,16.0
16,4,54.0
16,5,10.0
16,6,74.0
16,7,75.0
16,8,15.0
16,9,86.0
16,10,56.0
16,11,64.0
17,0,15.0
17,1,18.0
17,2,101.0
17,3,59.0
17,4,82.0
17,5,30.0
17,6,143.0
17,7,16.0
17,8,128.0
17,9,93.0
17,10,93.0
17,11,15.0
18,0,148.0
18,1,19.0
18,2,170.0
18,3,100.0
18,4,63.0
18,5,133.0
18,6,190.0
18,7,136.0
18,8,75.0
18,9,88.0
18,10,222.0
18,11,182.0
19,0,133.0
19,1,187.0
19,2,86.0
19,3,235.0
19,4,233.0
19,5,140.0
19,6,142.0
19,7,131.0
19,8,119.0
19,9,102.0
19,10,72.0
19,11,12.0
20,0,144.0
20,1,95.0
20,2,70.0
20,3,80.0
20,4,6.0
20,5,124.0
20,6,6.0
20,7,121.0
20,8,67.0
20,9,12.0
20,10,76.0
20,11,8.0
21,0,129.0
21,1,3.0
21,2,90.0
21,3,8.0
21,4,116.0
21,5,46.0
21,6,71.0
21,7,10.0
21,8,62.0
21,9,10.0
21,10,85.0
21,11,54.0
22,0,9.0
22,1,110.0
22,2,6.0
22,3,112.0
22,4,3.0
22,5,86.0
22,6,0.0
22,7,84.0
22,8,0.0
22,9,62.0
22,10,0.0
22,11,102.0
23,0,0.0
23,1,87.0
23,2,0.0
23,3,55.0
23,4,1.0
23,5,37.0
23,6,0.0
23,7,18.0
23,8,10.0
23,9,0.0
23,10,0.0
23,11,0.0
