时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,1.0
5,3,1.0
5,4,1.0
5,5,4.0
5,6,6.0
5,7,6.0
5,8,6.0
5,9,14.0
5,10,7.0
5,11,13.0
6,0,13.0
6,1,41.0
6,2,17.0
6,3,31.0
6,4,32.0
6,5,43.0
6,6,35.0
6,7,66.0
6,8,38.0
6,9,56.0
6,10,53.0
6,11,69.0
7,0,50.0
7,1,84.0
7,2,81.0
7,3,100.0
7,4,80.0
7,5,161.0
7,6,186.0
7,7,167.0
7,8,170.0
7,9,219.0
7,10,201.0
7,11,251.0
8,0,232.0
8,1,155.0
8,2,113.0
8,3,208.0
8,4,145.0
8,5,154.0
8,6,81.0
8,7,119.0
8,8,109.0
8,9,64.0
8,10,63.0
8,11,91.0
9,0,44.0
9,1,88.0
9,2,73.0
9,3,71.0
9,4,77.0
9,5,45.0
9,6,54.0
9,7,39.0
9,8,37.0
9,9,40.0
9,10,40.0
9,11,28.0
10,0,20.0
10,1,45.0
10,2,41.0
10,3,27.0
10,4,33.0
10,5,21.0
10,6,30.0
10,7,30.0
10,8,10.0
10,9,22.0
10,10,16.0
10,11,10.0
11,0,28.0
11,1,25.0
11,2,23.0
11,3,13.0
11,4,24.0
11,5,22.0
11,6,27.0
11,7,22.0
11,8,16.0
11,9,26.0
11,10,15.0
11,11,19.0
12,0,27.0
12,1,23.0
12,2,17.0
12,3,22.0
12,4,15.0
12,5,23.0
12,6,16.0
12,7,28.0
12,8,20.0
12,9,30.0
12,10,16.0
12,11,23.0
13,0,19.0
13,1,24.0
13,2,28.0
13,3,14.0
13,4,30.0
13,5,31.0
13,6,18.0
13,7,14.0
13,8,12.0
13,9,23.0
13,10,19.0
13,11,18.0
14,0,28.0
14,1,11.0
14,2,19.0
14,3,36.0
14,4,19.0
14,5,17.0
14,6,23.0
14,7,26.0
14,8,25.0
14,9,13.0
14,10,15.0
14,11,24.0
15,0,17.0
15,1,17.0
15,2,25.0
15,3,21.0
15,4,19.0
15,5,25.0
15,6,30.0
15,7,20.0
15,8,21.0
15,9,23.0
15,10,20.0
15,11,13.0
16,0,20.0
16,1,38.0
16,2,46.0
16,3,33.0
16,4,17.0
16,5,23.0
16,6,37.0
16,7,53.0
16,8,40.0
16,9,48.0
16,10,28.0
16,11,39.0
17,0,36.0
17,1,36.0
17,2,40.0
17,3,44.0
17,4,49.0
17,5,51.0
17,6,48.0
17,7,49.0
17,8,50.0
17,9,81.0
17,10,104.0
17,11,74.0
18,0,56.0
18,1,92.0
18,2,77.0
18,3,70.0
18,4,73.0
18,5,85.0
18,6,117.0
18,7,133.0
18,8,110.0
18,9,60.0
18,10,120.0
18,11,65.0
19,0,155.0
19,1,72.0
19,2,68.0
19,3,65.0
19,4,77.0
19,5,81.0
19,6,69.0
19,7,69.0
19,8,80.0
19,9,58.0
19,10,49.0
19,11,62.0
20,0,56.0
20,1,49.0
20,2,63.0
20,3,33.0
20,4,46.0
20,5,31.0
20,6,27.0
20,7,27.0
20,8,37.0
20,9,32.0
20,10,28.0
20,11,29.0
21,0,63.0
21,1,33.0
21,2,29.0
21,3,25.0
21,4,34.0
21,5,27.0
21,6,26.0
21,7,37.0
21,8,37.0
21,9,19.0
21,10,25.0
21,11,25.0
22,0,10.0
22,1,21.0
22,2,29.0
22,3,22.0
22,4,20.0
22,5,28.0
22,6,10.0
22,7,24.0
22,8,21.0
22,9,21.0
22,10,20.0
22,11,17.0
23,0,15.0
23,1,15.0
23,2,10.0
23,3,5.0
23,4,2.0
23,5,8.0
23,6,2.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
