时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,1.0
5,8,7.0
5,9,3.0
5,10,3.0
5,11,9.0
6,0,12.0
6,1,9.0
6,2,9.0
6,3,12.0
6,4,3.0
6,5,4.0
6,6,17.0
6,7,3.0
6,8,4.0
6,9,6.0
6,10,16.0
6,11,6.0
7,0,19.0
7,1,16.0
7,2,16.0
7,3,13.0
7,4,23.0
7,5,23.0
7,6,38.0
7,7,20.0
7,8,41.0
7,9,28.0
7,10,66.0
7,11,77.0
8,0,44.0
8,1,67.0
8,2,71.0
8,3,110.0
8,4,84.0
8,5,118.0
8,6,120.0
8,7,91.0
8,8,167.0
8,9,98.0
8,10,141.0
8,11,100.0
9,0,126.0
9,1,83.0
9,2,72.0
9,3,58.0
9,4,59.0
9,5,43.0
9,6,33.0
9,7,46.0
9,8,35.0
9,9,41.0
9,10,33.0
9,11,27.0
10,0,14.0
10,1,27.0
10,2,14.0
10,3,26.0
10,4,26.0
10,5,6.0
10,6,9.0
10,7,16.0
10,8,10.0
10,9,11.0
10,10,14.0
10,11,13.0
11,0,5.0
11,1,5.0
11,2,11.0
11,3,4.0
11,4,5.0
11,5,13.0
11,6,10.0
11,7,15.0
11,8,5.0
11,9,15.0
11,10,16.0
11,11,6.0
12,0,7.0
12,1,5.0
12,2,13.0
12,3,5.0
12,4,7.0
12,5,13.0
12,6,10.0
12,7,10.0
12,8,9.0
12,9,17.0
12,10,14.0
12,11,6.0
13,0,5.0
13,1,17.0
13,2,10.0
13,3,19.0
13,4,12.0
13,5,3.0
13,6,11.0
13,7,8.0
13,8,8.0
13,9,8.0
13,10,11.0
13,11,16.0
14,0,27.0
14,1,23.0
14,2,8.0
14,3,5.0
14,4,10.0
14,5,8.0
14,6,11.0
14,7,13.0
14,8,9.0
14,9,3.0
14,10,6.0
14,11,5.0
15,0,8.0
15,1,11.0
15,2,10.0
15,3,10.0
15,4,13.0
15,5,8.0
15,6,9.0
15,7,11.0
15,8,7.0
15,9,13.0
15,10,16.0
15,11,7.0
16,0,12.0
16,1,15.0
16,2,21.0
16,3,14.0
16,4,13.0
16,5,27.0
16,6,18.0
16,7,13.0
16,8,23.0
16,9,23.0
16,10,18.0
16,11,19.0
17,0,22.0
17,1,22.0
17,2,19.0
17,3,41.0
17,4,21.0
17,5,85.0
17,6,29.0
17,7,70.0
17,8,102.0
17,9,66.0
17,10,73.0
17,11,59.0
18,0,36.0
18,1,75.0
18,2,97.0
18,3,98.0
18,4,50.0
18,5,82.0
18,6,57.0
18,7,75.0
18,8,47.0
18,9,49.0
18,10,45.0
18,11,22.0
19,0,26.0
19,1,43.0
19,2,41.0
19,3,20.0
19,4,35.0
19,5,27.0
19,6,32.0
19,7,32.0
19,8,13.0
19,9,15.0
19,10,12.0
19,11,12.0
20,0,19.0
20,1,8.0
20,2,14.0
20,3,16.0
20,4,22.0
20,5,19.0
20,6,15.0
20,7,12.0
20,8,13.0
20,9,22.0
20,10,8.0
20,11,13.0
21,0,11.0
21,1,11.0
21,2,27.0
21,3,4.0
21,4,9.0
21,5,4.0
21,6,12.0
21,7,6.0
21,8,8.0
21,9,14.0
21,10,9.0
21,11,6.0
22,0,8.0
22,1,4.0
22,2,3.0
22,3,8.0
22,4,10.0
22,5,6.0
22,6,8.0
22,7,5.0
22,8,2.0
22,9,11.0
22,10,2.0
22,11,0.0
23,0,3.0
23,1,0.0
23,2,0.0
23,3,1.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
