时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,14.0
5,6,19.0
5,7,28.0
5,8,25.0
5,9,31.0
5,10,38.0
5,11,43.0
6,0,44.0
6,1,45.0
6,2,42.0
6,3,62.0
6,4,65.0
6,5,95.0
6,6,102.0
6,7,103.0
6,8,116.0
6,9,125.0
6,10,162.0
6,11,111.0
7,0,186.0
7,1,173.0
7,2,232.0
7,3,172.0
7,4,158.0
7,5,241.0
7,6,223.0
7,7,274.0
7,8,381.0
7,9,365.0
7,10,321.0
7,11,425.0
8,0,339.0
8,1,394.0
8,2,384.0
8,3,362.0
8,4,262.0
8,5,268.0
8,6,341.0
8,7,284.0
8,8,289.0
8,9,290.0
8,10,265.0
8,11,164.0
9,0,230.0
9,1,138.0
9,2,173.0
9,3,156.0
9,4,123.0
9,5,111.0
9,6,136.0
9,7,120.0
9,8,105.0
9,9,71.0
9,10,139.0
9,11,65.0
10,0,115.0
10,1,66.0
10,2,93.0
10,3,78.0
10,4,60.0
10,5,64.0
10,6,58.0
10,7,48.0
10,8,50.0
10,9,72.0
10,10,47.0
10,11,69.0
11,0,53.0
11,1,55.0
11,2,46.0
11,3,71.0
11,4,44.0
11,5,59.0
11,6,78.0
11,7,52.0
11,8,65.0
11,9,60.0
11,10,51.0
11,11,92.0
12,0,66.0
12,1,44.0
12,2,49.0
12,3,54.0
12,4,68.0
12,5,53.0
12,6,87.0
12,7,45.0
12,8,75.0
12,9,53.0
12,10,90.0
12,11,52.0
13,0,44.0
13,1,53.0
13,2,45.0
13,3,52.0
13,4,38.0
13,5,68.0
13,6,54.0
13,7,57.0
13,8,53.0
13,9,45.0
13,10,41.0
13,11,65.0
14,0,27.0
14,1,36.0
14,2,57.0
14,3,58.0
14,4,66.0
14,5,43.0
14,6,57.0
14,7,51.0
14,8,48.0
14,9,42.0
14,10,48.0
14,11,42.0
15,0,73.0
15,1,78.0
15,2,37.0
15,3,59.0
15,4,60.0
15,5,60.0
15,6,69.0
15,7,71.0
15,8,53.0
15,9,54.0
15,10,60.0
15,11,70.0
16,0,59.0
16,1,73.0
16,2,48.0
16,3,73.0
16,4,65.0
16,5,107.0
16,6,92.0
16,7,85.0
16,8,100.0
16,9,99.0
16,10,125.0
16,11,103.0
17,0,91.0
17,1,129.0
17,2,129.0
17,3,131.0
17,4,161.0
17,5,155.0
17,6,198.0
17,7,175.0
17,8,186.0
17,9,211.0
17,10,182.0
17,11,142.0
18,0,265.0
18,1,219.0
18,2,199.0
18,3,168.0
18,4,195.0
18,5,121.0
18,6,307.0
18,7,290.0
18,8,164.0
18,9,269.0
18,10,239.0
18,11,249.0
19,0,250.0
19,1,156.0
19,2,196.0
19,3,159.0
19,4,132.0
19,5,163.0
19,6,140.0
19,7,116.0
19,8,105.0
19,9,114.0
19,10,93.0
19,11,105.0
20,0,98.0
20,1,115.0
20,2,89.0
20,3,119.0
20,4,108.0
20,5,67.0
20,6,68.0
20,7,99.0
20,8,77.0
20,9,93.0
20,10,56.0
20,11,98.0
21,0,123.0
21,1,96.0
21,2,71.0
21,3,71.0
21,4,44.0
21,5,117.0
21,6,68.0
21,7,64.0
21,8,45.0
21,9,87.0
21,10,79.0
21,11,80.0
22,0,59.0
22,1,59.0
22,2,60.0
22,3,74.0
22,4,57.0
22,5,60.0
22,6,61.0
22,7,47.0
22,8,71.0
22,9,58.0
22,10,68.0
22,11,43.0
23,0,21.0
23,1,29.0
23,2,29.0
23,3,17.0
23,4,8.0
23,5,7.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
