时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,3.0
5,6,11.0
5,7,8.0
5,8,24.0
5,9,35.0
5,10,27.0
5,11,40.0
6,0,35.0
6,1,56.0
6,2,59.0
6,3,66.0
6,4,96.0
6,5,99.0
6,6,138.0
6,7,170.0
6,8,147.0
6,9,193.0
6,10,192.0
6,11,261.0
7,0,226.0
7,1,263.0
7,2,278.0
7,3,335.0
7,4,310.0
7,5,342.0
7,6,298.0
7,7,387.0
7,8,442.0
7,9,490.0
7,10,453.0
7,11,517.0
8,0,528.0
8,1,619.0
8,2,509.0
8,3,560.0
8,4,462.0
8,5,469.0
8,6,383.0
8,7,477.0
8,8,362.0
8,9,351.0
8,10,437.0
8,11,309.0
9,0,339.0
9,1,258.0
9,2,224.0
9,3,268.0
9,4,221.0
9,5,226.0
9,6,224.0
9,7,179.0
9,8,181.0
9,9,153.0
9,10,174.0
9,11,173.0
10,0,109.0
10,1,152.0
10,2,116.0
10,3,99.0
10,4,131.0
10,5,102.0
10,6,96.0
10,7,96.0
10,8,81.0
10,9,93.0
10,10,73.0
10,11,113.0
11,0,83.0
11,1,75.0
11,2,70.0
11,3,90.0
11,4,95.0
11,5,94.0
11,6,86.0
11,7,53.0
11,8,120.0
11,9,51.0
11,10,91.0
11,11,83.0
12,0,83.0
12,1,81.0
12,2,92.0
12,3,91.0
12,4,127.0
12,5,90.0
12,6,73.0
12,7,85.0
12,8,100.0
12,9,110.0
12,10,105.0
12,11,84.0
13,0,121.0
13,1,114.0
13,2,88.0
13,3,85.0
13,4,88.0
13,5,79.0
13,6,92.0
13,7,102.0
13,8,94.0
13,9,81.0
13,10,90.0
13,11,86.0
14,0,72.0
14,1,80.0
14,2,93.0
14,3,75.0
14,4,64.0
14,5,116.0
14,6,75.0
14,7,100.0
14,8,110.0
14,9,120.0
14,10,98.0
14,11,41.0
15,0,173.0
15,1,84.0
15,2,56.0
15,3,104.0
15,4,125.0
15,5,94.0
15,6,138.0
15,7,108.0
15,8,136.0
15,9,106.0
15,10,148.0
15,11,103.0
16,0,152.0
16,1,139.0
16,2,136.0
16,3,108.0
16,4,101.0
16,5,126.0
16,6,180.0
16,7,155.0
16,8,165.0
16,9,181.0
16,10,181.0
16,11,193.0
17,0,215.0
17,1,179.0
17,2,198.0
17,3,222.0
17,4,193.0
17,5,408.0
17,6,312.0
17,7,298.0
17,8,295.0
17,9,299.0
17,10,323.0
17,11,386.0
18,0,308.0
18,1,383.0
18,2,291.0
18,3,391.0
18,4,507.0
18,5,433.0
18,6,479.0
18,7,360.0
18,8,322.0
18,9,458.0
18,10,352.0
18,11,440.0
19,0,163.0
19,1,329.0
19,2,228.0
19,3,264.0
19,4,281.0
19,5,207.0
19,6,346.0
19,7,203.0
19,8,207.0
19,9,204.0
19,10,185.0
19,11,142.0
20,0,150.0
20,1,164.0
20,2,123.0
20,3,116.0
20,4,111.0
20,5,146.0
20,6,84.0
20,7,141.0
20,8,119.0
20,9,109.0
20,10,133.0
20,11,92.0
21,0,122.0
21,1,110.0
21,2,153.0
21,3,140.0
21,4,120.0
21,5,131.0
21,6,106.0
21,7,116.0
21,8,112.0
21,9,112.0
21,10,71.0
21,11,103.0
22,0,96.0
22,1,88.0
22,2,97.0
22,3,72.0
22,4,99.0
22,5,63.0
22,6,63.0
22,7,73.0
22,8,109.0
22,9,35.0
22,10,70.0
22,11,34.0
23,0,21.0
23,1,25.0
23,2,17.0
23,3,7.0
23,4,6.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
