时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,3.0
5,7,2.0
5,8,7.0
5,9,9.0
5,10,6.0
5,11,6.0
6,0,9.0
6,1,14.0
6,2,18.0
6,3,14.0
6,4,21.0
6,5,25.0
6,6,30.0
6,7,29.0
6,8,34.0
6,9,33.0
6,10,36.0
6,11,35.0
7,0,59.0
7,1,57.0
7,2,65.0
7,3,52.0
7,4,66.0
7,5,69.0
7,6,104.0
7,7,110.0
7,8,150.0
7,9,184.0
7,10,179.0
7,11,181.0
8,0,202.0
8,1,204.0
8,2,254.0
8,3,195.0
8,4,227.0
8,5,177.0
8,6,185.0
8,7,142.0
8,8,159.0
8,9,189.0
8,10,121.0
8,11,153.0
9,0,104.0
9,1,103.0
9,2,55.0
9,3,106.0
9,4,56.0
9,5,74.0
9,6,68.0
9,7,54.0
9,8,39.0
9,9,34.0
9,10,74.0
9,11,37.0
10,0,47.0
10,1,35.0
10,2,36.0
10,3,38.0
10,4,48.0
10,5,29.0
10,6,33.0
10,7,23.0
10,8,21.0
10,9,29.0
10,10,25.0
10,11,25.0
11,0,24.0
11,1,28.0
11,2,17.0
11,3,27.0
11,4,24.0
11,5,30.0
11,6,19.0
11,7,27.0
11,8,11.0
11,9,46.0
11,10,11.0
11,11,36.0
12,0,26.0
12,1,27.0
12,2,28.0
12,3,31.0
12,4,34.0
12,5,15.0
12,6,20.0
12,7,15.0
12,8,22.0
12,9,21.0
12,10,36.0
12,11,26.0
13,0,30.0
13,1,40.0
13,2,36.0
13,3,27.0
13,4,26.0
13,5,32.0
13,6,24.0
13,7,23.0
13,8,27.0
13,9,26.0
13,10,25.0
13,11,26.0
14,0,24.0
14,1,28.0
14,2,25.0
14,3,23.0
14,4,27.0
14,5,15.0
14,6,21.0
14,7,33.0
14,8,43.0
14,9,28.0
14,10,23.0
14,11,25.0
15,0,11.0
15,1,39.0
15,2,22.0
15,3,25.0
15,4,31.0
15,5,24.0
15,6,22.0
15,7,23.0
15,8,33.0
15,9,24.0
15,10,30.0
15,11,26.0
16,0,27.0
16,1,41.0
16,2,33.0
16,3,32.0
16,4,38.0
16,5,25.0
16,6,37.0
16,7,43.0
16,8,37.0
16,9,37.0
16,10,65.0
16,11,35.0
17,0,39.0
17,1,55.0
17,2,88.0
17,3,80.0
17,4,94.0
17,5,51.0
17,6,78.0
17,7,75.0
17,8,102.0
17,9,94.0
17,10,110.0
17,11,85.0
18,0,90.0
18,1,84.0
18,2,135.0
18,3,106.0
18,4,115.0
18,5,168.0
18,6,102.0
18,7,141.0
18,8,97.0
18,9,90.0
18,10,135.0
18,11,87.0
19,0,155.0
19,1,86.0
19,2,79.0
19,3,102.0
19,4,70.0
19,5,75.0
19,6,66.0
19,7,80.0
19,8,61.0
19,9,57.0
19,10,66.0
19,11,60.0
20,0,57.0
20,1,41.0
20,2,48.0
20,3,43.0
20,4,35.0
20,5,74.0
20,6,54.0
20,7,35.0
20,8,46.0
20,9,36.0
20,10,49.0
20,11,32.0
21,0,33.0
21,1,39.0
21,2,33.0
21,3,33.0
21,4,34.0
21,5,28.0
21,6,25.0
21,7,23.0
21,8,37.0
21,9,31.0
21,10,48.0
21,11,30.0
22,0,34.0
22,1,25.0
22,2,32.0
22,3,32.0
22,4,27.0
22,5,26.0
22,6,26.0
22,7,25.0
22,8,23.0
22,9,21.0
22,10,17.0
22,11,22.0
23,0,11.0
23,1,12.0
23,2,7.0
23,3,8.0
23,4,2.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
