时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,3.0
5,7,2.0
5,8,18.0
5,9,38.0
5,10,23.0
5,11,21.0
6,0,32.0
6,1,30.0
6,2,43.0
6,3,50.0
6,4,66.0
6,5,54.0
6,6,64.0
6,7,89.0
6,8,101.0
6,9,69.0
6,10,123.0
6,11,113.0
7,0,96.0
7,1,123.0
7,2,117.0
7,3,141.0
7,4,159.0
7,5,120.0
7,6,118.0
7,7,132.0
7,8,138.0
7,9,175.0
7,10,192.0
7,11,170.0
8,0,173.0
8,1,236.0
8,2,280.0
8,3,262.0
8,4,319.0
8,5,363.0
8,6,201.0
8,7,429.0
8,8,371.0
8,9,337.0
8,10,445.0
8,11,486.0
9,0,298.0
9,1,294.0
9,2,261.0
9,3,288.0
9,4,302.0
9,5,266.0
9,6,185.0
9,7,232.0
9,8,168.0
9,9,240.0
9,10,143.0
9,11,152.0
10,0,177.0
10,1,105.0
10,2,121.0
10,3,98.0
10,4,119.0
10,5,107.0
10,6,102.0
10,7,115.0
10,8,67.0
10,9,81.0
10,10,79.0
10,11,84.0
11,0,74.0
11,1,77.0
11,2,66.0
11,3,55.0
11,4,84.0
11,5,64.0
11,6,85.0
11,7,70.0
11,8,58.0
11,9,89.0
11,10,60.0
11,11,95.0
12,0,70.0
12,1,82.0
12,2,84.0
12,3,65.0
12,4,74.0
12,5,90.0
12,6,79.0
12,7,65.0
12,8,88.0
12,9,83.0
12,10,72.0
12,11,82.0
13,0,82.0
13,1,84.0
13,2,58.0
13,3,58.0
13,4,77.0
13,5,79.0
13,6,86.0
13,7,100.0
13,8,78.0
13,9,89.0
13,10,77.0
13,11,92.0
14,0,67.0
14,1,55.0
14,2,57.0
14,3,78.0
14,4,87.0
14,5,83.0
14,6,97.0
14,7,76.0
14,8,80.0
14,9,70.0
14,10,41.0
14,11,87.0
15,0,61.0
15,1,92.0
15,2,80.0
15,3,61.0
15,4,83.0
15,5,78.0
15,6,90.0
15,7,86.0
15,8,95.0
15,9,77.0
15,10,83.0
15,11,85.0
16,0,121.0
16,1,74.0
16,2,75.0
16,3,115.0
16,4,91.0
16,5,112.0
16,6,90.0
16,7,133.0
16,8,125.0
16,9,139.0
16,10,143.0
16,11,121.0
17,0,116.0
17,1,132.0
17,2,174.0
17,3,205.0
17,4,186.0
17,5,181.0
17,6,254.0
17,7,319.0
17,8,292.0
17,9,247.0
17,10,232.0
17,11,201.0
18,0,245.0
18,1,291.0
18,2,380.0
18,3,376.0
18,4,401.0
18,5,283.0
18,6,272.0
18,7,327.0
18,8,301.0
18,9,338.0
18,10,211.0
18,11,205.0
19,0,207.0
19,1,196.0
19,2,162.0
19,3,177.0
19,4,160.0
19,5,156.0
19,6,167.0
19,7,125.0
19,8,133.0
19,9,107.0
19,10,115.0
19,11,104.0
20,0,83.0
20,1,100.0
20,2,80.0
20,3,93.0
20,4,83.0
20,5,88.0
20,6,89.0
20,7,89.0
20,8,102.0
20,9,81.0
20,10,78.0
20,11,76.0
21,0,76.0
21,1,86.0
21,2,97.0
21,3,88.0
21,4,110.0
21,5,86.0
21,6,93.0
21,7,81.0
21,8,73.0
21,9,61.0
21,10,70.0
21,11,51.0
22,0,48.0
22,1,53.0
22,2,65.0
22,3,40.0
22,4,49.0
22,5,63.0
22,6,41.0
22,7,60.0
22,8,46.0
22,9,37.0
22,10,23.0
22,11,26.0
23,0,26.0
23,1,21.0
23,2,17.0
23,3,6.0
23,4,1.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
