时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,7.0
5,7,19.0
5,8,27.0
5,9,32.0
5,10,25.0
5,11,30.0
6,0,36.0
6,1,66.0
6,2,72.0
6,3,82.0
6,4,61.0
6,5,77.0
6,6,104.0
6,7,128.0
6,8,161.0
6,9,172.0
6,10,199.0
6,11,208.0
7,0,180.0
7,1,278.0
7,2,256.0
7,3,326.0
7,4,288.0
7,5,264.0
7,6,230.0
7,7,311.0
7,8,306.0
7,9,380.0
7,10,374.0
7,11,416.0
8,0,380.0
8,1,429.0
8,2,433.0
8,3,456.0
8,4,385.0
8,5,336.0
8,6,369.0
8,7,399.0
8,8,411.0
8,9,393.0
8,10,367.0
8,11,369.0
9,0,356.0
9,1,255.0
9,2,276.0
9,3,188.0
9,4,259.0
9,5,241.0
9,6,215.0
9,7,204.0
9,8,172.0
9,9,195.0
9,10,141.0
9,11,142.0
10,0,193.0
10,1,126.0
10,2,109.0
10,3,117.0
10,4,135.0
10,5,145.0
10,6,85.0
10,7,105.0
10,8,117.0
10,9,115.0
10,10,85.0
10,11,108.0
11,0,51.0
11,1,115.0
11,2,92.0
11,3,83.0
11,4,101.0
11,5,86.0
11,6,96.0
11,7,78.0
11,8,78.0
11,9,59.0
11,10,139.0
11,11,74.0
12,0,92.0
12,1,85.0
12,2,103.0
12,3,114.0
12,4,89.0
12,5,86.0
12,6,90.0
12,7,107.0
12,8,120.0
12,9,90.0
12,10,87.0
12,11,116.0
13,0,108.0
13,1,81.0
13,2,120.0
13,3,100.0
13,4,112.0
13,5,130.0
13,6,110.0
13,7,102.0
13,8,94.0
13,9,90.0
13,10,95.0
13,11,110.0
14,0,106.0
14,1,91.0
14,2,99.0
14,3,117.0
14,4,104.0
14,5,103.0
14,6,120.0
14,7,80.0
14,8,84.0
14,9,103.0
14,10,133.0
14,11,126.0
15,0,106.0
15,1,100.0
15,2,133.0
15,3,113.0
15,4,108.0
15,5,120.0
15,6,75.0
15,7,85.0
15,8,132.0
15,9,113.0
15,10,120.0
15,11,114.0
16,0,114.0
16,1,144.0
16,2,120.0
16,3,139.0
16,4,137.0
16,5,151.0
16,6,154.0
16,7,161.0
16,8,142.0
16,9,150.0
16,10,168.0
16,11,183.0
17,0,208.0
17,1,214.0
17,2,264.0
17,3,277.0
17,4,296.0
17,5,223.0
17,6,269.0
17,7,254.0
17,8,313.0
17,9,333.0
17,10,351.0
17,11,381.0
18,0,328.0
18,1,301.0
18,2,287.0
18,3,122.0
18,4,539.0
18,5,453.0
18,6,304.0
18,7,271.0
18,8,410.0
18,9,329.0
18,10,377.0
18,11,246.0
19,0,216.0
19,1,247.0
19,2,234.0
19,3,221.0
19,4,230.0
19,5,214.0
19,6,174.0
19,7,146.0
19,8,161.0
19,9,150.0
19,10,123.0
19,11,107.0
20,0,133.0
20,1,136.0
20,2,133.0
20,3,126.0
20,4,90.0
20,5,96.0
20,6,122.0
20,7,111.0
20,8,85.0
20,9,110.0
20,10,133.0
20,11,99.0
21,0,132.0
21,1,101.0
21,2,47.0
21,3,154.0
21,4,64.0
21,5,119.0
21,6,102.0
21,7,116.0
21,8,102.0
21,9,93.0
21,10,100.0
21,11,127.0
22,0,75.0
22,1,92.0
22,2,99.0
22,3,73.0
22,4,81.0
22,5,89.0
22,6,74.0
22,7,76.0
22,8,68.0
22,9,45.0
22,10,38.0
22,11,34.0
23,0,17.0
23,1,16.0
23,2,30.0
23,3,10.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
