时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,0.0
5,7,4.0
5,8,14.0
5,9,10.0
5,10,7.0
5,11,26.0
6,0,24.0
6,1,45.0
6,2,22.0
6,3,41.0
6,4,50.0
6,5,54.0
6,6,42.0
6,7,84.0
6,8,110.0
6,9,95.0
6,10,131.0
6,11,198.0
7,0,209.0
7,1,237.0
7,2,250.0
7,3,234.0
7,4,234.0
7,5,267.0
7,6,264.0
7,7,298.0
7,8,292.0
7,9,294.0
7,10,405.0
7,11,398.0
8,0,420.0
8,1,502.0
8,2,553.0
8,3,507.0
8,4,647.0
8,5,499.0
8,6,621.0
8,7,482.0
8,8,647.0
8,9,681.0
8,10,479.0
8,11,679.0
9,0,367.0
9,1,555.0
9,2,515.0
9,3,539.0
9,4,409.0
9,5,445.0
9,6,404.0
9,7,383.0
9,8,327.0
9,9,238.0
9,10,341.0
9,11,262.0
10,0,253.0
10,1,253.0
10,2,246.0
10,3,198.0
10,4,193.0
10,5,169.0
10,6,153.0
10,7,176.0
10,8,149.0
10,9,98.0
10,10,148.0
10,11,128.0
11,0,146.0
11,1,147.0
11,2,146.0
11,3,107.0
11,4,118.0
11,5,101.0
11,6,128.0
11,7,85.0
11,8,152.0
11,9,114.0
11,10,124.0
11,11,113.0
12,0,123.0
12,1,95.0
12,2,117.0
12,3,137.0
12,4,119.0
12,5,110.0
12,6,92.0
12,7,107.0
12,8,90.0
12,9,128.0
12,10,125.0
12,11,125.0
13,0,139.0
13,1,125.0
13,2,127.0
13,3,130.0
13,4,114.0
13,5,99.0
13,6,115.0
13,7,122.0
13,8,131.0
13,9,149.0
13,10,112.0
13,11,151.0
14,0,128.0
14,1,121.0
14,2,98.0
14,3,109.0
14,4,139.0
14,5,118.0
14,6,132.0
14,7,105.0
14,8,111.0
14,9,91.0
14,10,188.0
14,11,154.0
15,0,152.0
15,1,127.0
15,2,136.0
15,3,122.0
15,4,118.0
15,5,154.0
15,6,157.0
15,7,179.0
15,8,159.0
15,9,190.0
15,10,145.0
15,11,174.0
16,0,191.0
16,1,157.0
16,2,162.0
16,3,206.0
16,4,151.0
16,5,193.0
16,6,175.0
16,7,270.0
16,8,314.0
16,9,298.0
16,10,264.0
16,11,245.0
17,0,269.0
17,1,369.0
17,2,438.0
17,3,386.0
17,4,394.0
17,5,384.0
17,6,377.0
17,7,388.0
17,8,407.0
17,9,455.0
17,10,503.0
17,11,399.0
18,0,368.0
18,1,291.0
18,2,658.0
18,3,590.0
18,4,581.0
18,5,445.0
18,6,405.0
18,7,445.0
18,8,412.0
18,9,383.0
18,10,365.0
18,11,351.0
19,0,287.0
19,1,283.0
19,2,248.0
19,3,253.0
19,4,228.0
19,5,188.0
19,6,167.0
19,7,182.0
19,8,199.0
19,9,155.0
19,10,133.0
19,11,145.0
20,0,127.0
20,1,133.0
20,2,134.0
20,3,146.0
20,4,112.0
20,5,109.0
20,6,145.0
20,7,103.0
20,8,122.0
20,9,116.0
20,10,112.0
20,11,115.0
21,0,110.0
21,1,182.0
21,2,132.0
21,3,148.0
21,4,97.0
21,5,118.0
21,6,113.0
21,7,103.0
21,8,97.0
21,9,89.0
21,10,86.0
21,11,59.0
22,0,81.0
22,1,71.0
22,2,62.0
22,3,91.0
22,4,56.0
22,5,43.0
22,6,78.0
22,7,58.0
22,8,34.0
22,9,37.0
22,10,36.0
22,11,16.0
23,0,14.0
23,1,12.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
