时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,4.0
5,6,15.0
5,7,23.0
5,8,8.0
5,9,15.0
5,10,9.0
5,11,15.0
6,0,22.0
6,1,24.0
6,2,23.0
6,3,39.0
6,4,55.0
6,5,70.0
6,6,92.0
6,7,94.0
6,8,122.0
6,9,162.0
6,10,161.0
6,11,190.0
7,0,157.0
7,1,215.0
7,2,232.0
7,3,207.0
7,4,279.0
7,5,240.0
7,6,331.0
7,7,326.0
7,8,369.0
7,9,392.0
7,10,425.0
7,11,409.0
8,0,465.0
8,1,557.0
8,2,639.0
8,3,541.0
8,4,606.0
8,5,629.0
8,6,511.0
8,7,505.0
8,8,450.0
8,9,531.0
8,10,507.0
8,11,465.0
9,0,315.0
9,1,339.0
9,2,297.0
9,3,293.0
9,4,260.0
9,5,181.0
9,6,196.0
9,7,144.0
9,8,134.0
9,9,101.0
9,10,91.0
9,11,96.0
10,0,107.0
10,1,55.0
10,2,72.0
10,3,98.0
10,4,66.0
10,5,81.0
10,6,69.0
10,7,48.0
10,8,71.0
10,9,42.0
10,10,60.0
10,11,63.0
11,0,45.0
11,1,52.0
11,2,66.0
11,3,65.0
11,4,70.0
11,5,54.0
11,6,71.0
11,7,49.0
11,8,30.0
11,9,54.0
11,10,57.0
11,11,60.0
12,0,57.0
12,1,64.0
12,2,66.0
12,3,68.0
12,4,40.0
12,5,69.0
12,6,71.0
12,7,57.0
12,8,64.0
12,9,63.0
12,10,57.0
12,11,78.0
13,0,57.0
13,1,50.0
13,2,53.0
13,3,61.0
13,4,49.0
13,5,62.0
13,6,48.0
13,7,52.0
13,8,33.0
13,9,50.0
13,10,58.0
13,11,58.0
14,0,72.0
14,1,65.0
14,2,69.0
14,3,68.0
14,4,56.0
14,5,70.0
14,6,89.0
14,7,60.0
14,8,42.0
14,9,50.0
14,10,74.0
14,11,66.0
15,0,59.0
15,1,68.0
15,2,67.0
15,3,67.0
15,4,57.0
15,5,72.0
15,6,50.0
15,7,46.0
15,8,63.0
15,9,106.0
15,10,105.0
15,11,129.0
16,0,92.0
16,1,122.0
16,2,87.0
16,3,114.0
16,4,95.0
16,5,97.0
16,6,118.0
16,7,115.0
16,8,108.0
16,9,166.0
16,10,221.0
16,11,231.0
17,0,163.0
17,1,182.0
17,2,277.0
17,3,198.0
17,4,154.0
17,5,186.0
17,6,218.0
17,7,261.0
17,8,211.0
17,9,280.0
17,10,242.0
17,11,329.0
18,0,282.0
18,1,329.0
18,2,160.0
18,3,462.0
18,4,342.0
18,5,322.0
18,6,444.0
18,7,361.0
18,8,287.0
18,9,477.0
18,10,383.0
18,11,327.0
19,0,304.0
19,1,276.0
19,2,279.0
19,3,241.0
19,4,202.0
19,5,215.0
19,6,240.0
19,7,200.0
19,8,163.0
19,9,140.0
19,10,136.0
19,11,123.0
20,0,157.0
20,1,92.0
20,2,126.0
20,3,130.0
20,4,121.0
20,5,115.0
20,6,104.0
20,7,99.0
20,8,117.0
20,9,92.0
20,10,100.0
20,11,91.0
21,0,91.0
21,1,135.0
21,2,91.0
21,3,148.0
21,4,109.0
21,5,95.0
21,6,91.0
21,7,108.0
21,8,101.0
21,9,91.0
21,10,82.0
21,11,109.0
22,0,75.0
22,1,43.0
22,2,71.0
22,3,108.0
22,4,99.0
22,5,88.0
22,6,84.0
22,7,17.0
22,8,79.0
22,9,75.0
22,10,1.0
22,11,50.0
23,0,32.0
23,1,1.0
23,2,11.0
23,3,7.0
23,4,1.0
23,5,7.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
