时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,5.0
5,4,8.0
5,5,8.0
5,6,21.0
5,7,17.0
5,8,8.0
5,9,8.0
5,10,16.0
5,11,27.0
6,0,26.0
6,1,31.0
6,2,25.0
6,3,37.0
6,4,24.0
6,5,29.0
6,6,22.0
6,7,32.0
6,8,70.0
6,9,38.0
6,10,34.0
6,11,43.0
7,0,50.0
7,1,92.0
7,2,82.0
7,3,77.0
7,4,82.0
7,5,95.0
7,6,145.0
7,7,112.0
7,8,126.0
7,9,89.0
7,10,98.0
7,11,120.0
8,0,88.0
8,1,94.0
8,2,67.0
8,3,80.0
8,4,76.0
8,5,53.0
8,6,73.0
8,7,42.0
8,8,55.0
8,9,28.0
8,10,43.0
8,11,19.0
9,0,41.0
9,1,24.0
9,2,29.0
9,3,23.0
9,4,14.0
9,5,33.0
9,6,34.0
9,7,11.0
9,8,18.0
9,9,14.0
9,10,29.0
9,11,20.0
10,0,11.0
10,1,20.0
10,2,15.0
10,3,27.0
10,4,14.0
10,5,29.0
10,6,22.0
10,7,11.0
10,8,12.0
10,9,19.0
10,10,19.0
10,11,4.0
11,0,6.0
11,1,10.0
11,2,21.0
11,3,25.0
11,4,13.0
11,5,17.0
11,6,11.0
11,7,28.0
11,8,8.0
11,9,6.0
11,10,26.0
11,11,9.0
12,0,19.0
12,1,10.0
12,2,25.0
12,3,6.0
12,4,29.0
12,5,3.0
12,6,32.0
12,7,8.0
12,8,4.0
12,9,22.0
12,10,3.0
12,11,14.0
13,0,6.0
13,1,17.0
13,2,15.0
13,3,9.0
13,4,7.0
13,5,7.0
13,6,14.0
13,7,2.0
13,8,14.0
13,9,3.0
13,10,19.0
13,11,5.0
14,0,17.0
14,1,4.0
14,2,9.0
14,3,8.0
14,4,9.0
14,5,7.0
14,6,5.0
14,7,20.0
14,8,19.0
14,9,22.0
14,10,6.0
14,11,24.0
15,0,22.0
15,1,24.0
15,2,4.0
15,3,27.0
15,4,20.0
15,5,19.0
15,6,9.0
15,7,11.0
15,8,23.0
15,9,13.0
15,10,8.0
15,11,31.0
16,0,5.0
16,1,21.0
16,2,10.0
16,3,11.0
16,4,29.0
16,5,13.0
16,6,35.0
16,7,20.0
16,8,19.0
16,9,9.0
16,10,37.0
16,11,33.0
17,0,29.0
17,1,14.0
17,2,47.0
17,3,27.0
17,4,38.0
17,5,7.0
17,6,56.0
17,7,17.0
17,8,45.0
17,9,27.0
17,10,44.0
17,11,44.0
18,0,72.0
18,1,5.0
18,2,65.0
18,3,48.0
18,4,5.0
18,5,80.0
18,6,6.0
18,7,98.0
18,8,24.0
18,9,41.0
18,10,90.0
18,11,28.0
19,0,88.0
19,1,43.0
19,2,34.0
19,3,63.0
19,4,30.0
19,5,51.0
19,6,71.0
19,7,27.0
19,8,40.0
19,9,40.0
19,10,27.0
19,11,20.0
20,0,49.0
20,1,23.0
20,2,48.0
20,3,23.0
20,4,6.0
20,5,35.0
20,6,6.0
20,7,34.0
20,8,28.0
20,9,11.0
20,10,16.0
20,11,18.0
21,0,7.0
21,1,35.0
21,2,47.0
21,3,6.0
21,4,20.0
21,5,24.0
21,6,0.0
21,7,35.0
21,8,16.0
21,9,3.0
21,10,31.0
21,11,24.0
22,0,6.0
22,1,38.0
22,2,0.0
22,3,16.0
22,4,1.0
22,5,22.0
22,6,0.0
22,7,18.0
22,8,3.0
22,9,27.0
22,10,3.0
22,11,11.0
23,0,24.0
23,1,13.0
23,2,22.0
23,3,11.0
23,4,1.0
23,5,4.0
23,6,5.0
23,7,4.0
23,8,1.0
23,9,0.0
23,10,0.0
23,11,0.0
