时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,1.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,5.0
5,4,18.0
5,5,13.0
5,6,11.0
5,7,12.0
5,8,12.0
5,9,19.0
5,10,20.0
5,11,28.0
6,0,22.0
6,1,23.0
6,2,28.0
6,3,33.0
6,4,53.0
6,5,52.0
6,6,56.0
6,7,70.0
6,8,89.0
6,9,95.0
6,10,104.0
6,11,103.0
7,0,90.0
7,1,80.0
7,2,115.0
7,3,137.0
7,4,124.0
7,5,167.0
7,6,172.0
7,7,232.0
7,8,229.0
7,9,268.0
7,10,260.0
7,11,187.0
8,0,203.0
8,1,190.0
8,2,203.0
8,3,186.0
8,4,191.0
8,5,135.0
8,6,136.0
8,7,134.0
8,8,121.0
8,9,90.0
8,10,109.0
8,11,88.0
9,0,92.0
9,1,68.0
9,2,80.0
9,3,67.0
9,4,53.0
9,5,61.0
9,6,42.0
9,7,43.0
9,8,53.0
9,9,44.0
9,10,48.0
9,11,31.0
10,0,56.0
10,1,37.0
10,2,42.0
10,3,37.0
10,4,35.0
10,5,41.0
10,6,32.0
10,7,28.0
10,8,30.0
10,9,15.0
10,10,21.0
10,11,22.0
11,0,24.0
11,1,28.0
11,2,21.0
11,3,25.0
11,4,22.0
11,5,35.0
11,6,17.0
11,7,28.0
11,8,23.0
11,9,25.0
11,10,31.0
11,11,33.0
12,0,27.0
12,1,31.0
12,2,33.0
12,3,22.0
12,4,23.0
12,5,16.0
12,6,26.0
12,7,31.0
12,8,26.0
12,9,34.0
12,10,17.0
12,11,23.0
13,0,16.0
13,1,30.0
13,2,24.0
13,3,25.0
13,4,25.0
13,5,24.0
13,6,24.0
13,7,26.0
13,8,27.0
13,9,26.0
13,10,25.0
13,11,20.0
14,0,15.0
14,1,18.0
14,2,26.0
14,3,14.0
14,4,28.0
14,5,17.0
14,6,20.0
14,7,16.0
14,8,39.0
14,9,17.0
14,10,13.0
14,11,37.0
15,0,22.0
15,1,22.0
15,2,27.0
15,3,24.0
15,4,23.0
15,5,17.0
15,6,25.0
15,7,32.0
15,8,29.0
15,9,23.0
15,10,23.0
15,11,23.0
16,0,16.0
16,1,34.0
16,2,28.0
16,3,46.0
16,4,29.0
16,5,19.0
16,6,35.0
16,7,45.0
16,8,26.0
16,9,35.0
16,10,44.0
16,11,47.0
17,0,46.0
17,1,41.0
17,2,46.0
17,3,61.0
17,4,18.0
17,5,52.0
17,6,70.0
17,7,54.0
17,8,67.0
17,9,69.0
17,10,114.0
17,11,126.0
18,0,74.0
18,1,99.0
18,2,74.0
18,3,72.0
18,4,70.0
18,5,84.0
18,6,77.0
18,7,118.0
18,8,148.0
18,9,115.0
18,10,91.0
18,11,153.0
19,0,116.0
19,1,187.0
19,2,94.0
19,3,83.0
19,4,80.0
19,5,94.0
19,6,90.0
19,7,84.0
19,8,104.0
19,9,93.0
19,10,98.0
19,11,73.0
20,0,65.0
20,1,87.0
20,2,55.0
20,3,63.0
20,4,49.0
20,5,66.0
20,6,44.0
20,7,39.0
20,8,29.0
20,9,35.0
20,10,43.0
20,11,47.0
21,0,42.0
21,1,75.0
21,2,33.0
21,3,31.0
21,4,34.0
21,5,47.0
21,6,50.0
21,7,36.0
21,8,57.0
21,9,37.0
21,10,32.0
21,11,27.0
22,0,46.0
22,1,26.0
22,2,28.0
22,3,42.0
22,4,45.0
22,5,33.0
22,6,32.0
22,7,32.0
22,8,23.0
22,9,27.0
22,10,20.0
22,11,21.0
23,0,32.0
23,1,27.0
23,2,24.0
23,3,10.0
23,4,9.0
23,5,15.0
23,6,6.0
23,7,3.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
