时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,5.0
5,3,4.0
5,4,22.0
5,5,33.0
5,6,17.0
5,7,22.0
5,8,20.0
5,9,24.0
5,10,28.0
5,11,55.0
6,0,54.0
6,1,47.0
6,2,47.0
6,3,53.0
6,4,41.0
6,5,58.0
6,6,55.0
6,7,54.0
6,8,94.0
6,9,171.0
6,10,95.0
6,11,134.0
7,0,114.0
7,1,138.0
7,2,241.0
7,3,193.0
7,4,210.0
7,5,290.0
7,6,266.0
7,7,239.0
7,8,242.0
7,9,265.0
7,10,216.0
7,11,277.0
8,0,204.0
8,1,162.0
8,2,169.0
8,3,190.0
8,4,169.0
8,5,145.0
8,6,161.0
8,7,97.0
8,8,137.0
8,9,71.0
8,10,72.0
8,11,97.0
9,0,47.0
9,1,82.0
9,2,43.0
9,3,88.0
9,4,36.0
9,5,83.0
9,6,24.0
9,7,64.0
9,8,25.0
9,9,53.0
9,10,25.0
9,11,59.0
10,0,48.0
10,1,31.0
10,2,14.0
10,3,42.0
10,4,44.0
10,5,35.0
10,6,37.0
10,7,44.0
10,8,32.0
10,9,35.0
10,10,31.0
10,11,27.0
11,0,20.0
11,1,20.0
11,2,35.0
11,3,31.0
11,4,51.0
11,5,16.0
11,6,66.0
11,7,15.0
11,8,42.0
11,9,27.0
11,10,23.0
11,11,37.0
12,0,15.0
12,1,67.0
12,2,36.0
12,3,41.0
12,4,15.0
12,5,33.0
12,6,25.0
12,7,41.0
12,8,30.0
12,9,36.0
12,10,31.0
12,11,33.0
13,0,52.0
13,1,22.0
13,2,52.0
13,3,18.0
13,4,52.0
13,5,7.0
13,6,50.0
13,7,30.0
13,8,23.0
13,9,55.0
13,10,15.0
13,11,50.0
14,0,17.0
14,1,47.0
14,2,12.0
14,3,39.0
14,4,14.0
14,5,54.0
14,6,16.0
14,7,56.0
14,8,8.0
14,9,10.0
14,10,63.0
14,11,16.0
15,0,39.0
15,1,11.0
15,2,44.0
15,3,17.0
15,4,58.0
15,5,64.0
15,6,20.0
15,7,14.0
15,8,7.0
15,9,63.0
15,10,45.0
15,11,25.0
16,0,58.0
16,1,14.0
16,2,67.0
16,3,65.0
16,4,10.0
16,5,67.0
16,6,29.0
16,7,72.0
16,8,53.0
16,9,14.0
16,10,81.0
16,11,53.0
17,0,61.0
17,1,76.0
17,2,23.0
17,3,106.0
17,4,55.0
17,5,86.0
17,6,23.0
17,7,142.0
17,8,20.0
17,9,168.0
17,10,110.0
17,11,99.0
18,0,16.0
18,1,177.0
18,2,29.0
18,3,213.0
18,4,126.0
18,5,11.0
18,6,235.0
18,7,141.0
18,8,195.0
18,9,17.0
18,10,151.0
18,11,202.0
19,0,163.0
19,1,104.0
19,2,112.0
19,3,117.0
19,4,186.0
19,5,178.0
19,6,117.0
19,7,122.0
19,8,100.0
19,9,118.0
19,10,101.0
19,11,78.0
20,0,10.0
20,1,158.0
20,2,78.0
20,3,59.0
20,4,61.0
20,5,6.0
20,6,115.0
20,7,10.0
20,8,102.0
20,9,60.0
20,10,39.0
20,11,87.0
21,0,10.0
21,1,77.0
21,2,8.0
21,3,86.0
21,4,6.0
21,5,80.0
21,6,45.0
21,7,12.0
21,8,72.0
21,9,46.0
21,10,5.0
21,11,74.0
22,0,45.0
22,1,5.0
22,2,70.0
22,3,2.0
22,4,73.0
22,5,1.0
22,6,45.0
22,7,0.0
22,8,69.0
22,9,0.0
22,10,63.0
22,11,2.0
23,0,54.0
23,1,1.0
23,2,59.0
23,3,0.0
23,4,35.0
23,5,0.0
23,6,10.0
23,7,0.0
23,8,12.0
23,9,5.0
23,10,0.0
23,11,0.0
