时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,1.0
4,9,1.0
4,10,3.0
4,11,1.0
5,0,2.0
5,1,5.0
5,2,11.0
5,3,20.0
5,4,36.0
5,5,32.0
5,6,14.0
5,7,34.0
5,8,32.0
5,9,44.0
5,10,56.0
5,11,52.0
6,0,55.0
6,1,70.0
6,2,89.0
6,3,97.0
6,4,127.0
6,5,114.0
6,6,142.0
6,7,165.0
6,8,126.0
6,9,129.0
6,10,251.0
6,11,199.0
7,0,145.0
7,1,177.0
7,2,279.0
7,3,281.0
7,4,370.0
7,5,306.0
7,6,447.0
7,7,349.0
7,8,439.0
7,9,387.0
7,10,415.0
7,11,378.0
8,0,382.0
8,1,278.0
8,2,340.0
8,3,279.0
8,4,212.0
8,5,280.0
8,6,207.0
8,7,253.0
8,8,167.0
8,9,242.0
8,10,110.0
8,11,202.0
9,0,102.0
9,1,174.0
9,2,96.0
9,3,183.0
9,4,68.0
9,5,58.0
9,6,168.0
9,7,70.0
9,8,98.0
9,9,49.0
9,10,149.0
9,11,105.0
10,0,117.0
10,1,99.0
10,2,80.0
10,3,96.0
10,4,44.0
10,5,75.0
10,6,76.0
10,7,77.0
10,8,93.0
10,9,88.0
10,10,47.0
10,11,29.0
11,0,88.0
11,1,36.0
11,2,82.0
11,3,50.0
11,4,81.0
11,5,59.0
11,6,35.0
11,7,118.0
11,8,39.0
11,9,98.0
11,10,25.0
11,11,113.0
12,0,25.0
12,1,101.0
12,2,28.0
12,3,102.0
12,4,43.0
12,5,32.0
12,6,89.0
12,7,50.0
12,8,99.0
12,9,50.0
12,10,127.0
12,11,40.0
13,0,128.0
13,1,126.0
13,2,127.0
13,3,100.0
13,4,61.0
13,5,109.0
13,6,35.0
13,7,124.0
13,8,53.0
13,9,106.0
13,10,40.0
13,11,85.0
14,0,38.0
14,1,89.0
14,2,81.0
14,3,22.0
14,4,111.0
14,5,35.0
14,6,104.0
14,7,42.0
14,8,126.0
14,9,24.0
14,10,94.0
14,11,42.0
15,0,43.0
15,1,95.0
15,2,30.0
15,3,111.0
15,4,43.0
15,5,128.0
15,6,88.0
15,7,75.0
15,8,32.0
15,9,89.0
15,10,62.0
15,11,74.0
16,0,42.0
16,1,126.0
16,2,38.0
16,3,127.0
16,4,98.0
16,5,40.0
16,6,105.0
16,7,37.0
16,8,170.0
16,9,100.0
16,10,40.0
16,11,209.0
17,0,146.0
17,1,134.0
17,2,58.0
17,3,166.0
17,4,139.0
17,5,129.0
17,6,144.0
17,7,24.0
17,8,248.0
17,9,40.0
17,10,276.0
17,11,172.0
18,0,149.0
18,1,53.0
18,2,272.0
18,3,99.0
18,4,319.0
18,5,93.0
18,6,244.0
18,7,72.0
18,8,323.0
18,9,173.0
18,10,215.0
18,11,35.0
19,0,287.0
19,1,323.0
19,2,293.0
19,3,255.0
19,4,114.0
19,5,238.0
19,6,301.0
19,7,229.0
19,8,182.0
19,9,162.0
19,10,173.0
19,11,146.0
20,0,152.0
20,1,14.0
20,2,233.0
20,3,129.0
20,4,128.0
20,5,118.0
20,6,8.0
20,7,196.0
20,8,35.0
20,9,208.0
20,10,83.0
20,11,16.0
21,0,141.0
21,1,8.0
21,2,131.0
21,3,8.0
21,4,141.0
21,5,111.0
21,6,95.0
21,7,20.0
21,8,140.0
21,9,24.0
21,10,72.0
21,11,93.0
22,0,51.0
22,1,81.0
22,2,4.0
22,3,124.0
22,4,1.0
22,5,108.0
22,6,1.0
22,7,97.0
22,8,1.0
22,9,107.0
22,10,0.0
22,11,72.0
23,0,1.0
23,1,81.0
23,2,0.0
23,3,87.0
23,4,0.0
23,5,43.0
23,6,0.0
23,7,40.0
23,8,0.0
23,9,14.0
23,10,9.0
23,11,0.0
