时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,3.0
5,6,2.0
5,7,5.0
5,8,4.0
5,9,9.0
5,10,9.0
5,11,13.0
6,0,28.0
6,1,77.0
6,2,52.0
6,3,37.0
6,4,83.0
6,5,78.0
6,6,85.0
6,7,120.0
6,8,153.0
6,9,174.0
6,10,183.0
6,11,252.0
7,0,266.0
7,1,290.0
7,2,307.0
7,3,241.0
7,4,273.0
7,5,264.0
7,6,360.0
7,7,455.0
7,8,448.0
7,9,481.0
7,10,415.0
7,11,460.0
8,0,519.0
8,1,611.0
8,2,632.0
8,3,671.0
8,4,734.0
8,5,755.0
8,6,741.0
8,7,699.0
8,8,798.0
8,9,990.0
8,10,922.0
8,11,750.0
9,0,744.0
9,1,607.0
9,2,647.0
9,3,545.0
9,4,467.0
9,5,468.0
9,6,529.0
9,7,371.0
9,8,507.0
9,9,447.0
9,10,349.0
9,11,317.0
10,0,323.0
10,1,339.0
10,2,321.0
10,3,264.0
10,4,223.0
10,5,270.0
10,6,233.0
10,7,250.0
10,8,233.0
10,9,207.0
10,10,218.0
10,11,211.0
11,0,172.0
11,1,165.0
11,2,187.0
11,3,168.0
11,4,241.0
11,5,187.0
11,6,174.0
11,7,206.0
11,8,207.0
11,9,191.0
11,10,197.0
11,11,164.0
12,0,136.0
12,1,184.0
12,2,191.0
12,3,170.0
12,4,181.0
12,5,177.0
12,6,145.0
12,7,194.0
12,8,198.0
12,9,171.0
12,10,205.0
12,11,207.0
13,0,213.0
13,1,222.0
13,2,181.0
13,3,222.0
13,4,219.0
13,5,177.0
13,6,202.0
13,7,214.0
13,8,177.0
13,9,205.0
13,10,201.0
13,11,182.0
14,0,222.0
14,1,190.0
14,2,193.0
14,3,201.0
14,4,201.0
14,5,213.0
14,6,235.0
14,7,199.0
14,8,187.0
14,9,178.0
14,10,204.0
14,11,210.0
15,0,222.0
15,1,233.0
15,2,236.0
15,3,226.0
15,4,197.0
15,5,193.0
15,6,193.0
15,7,214.0
15,8,223.0
15,9,241.0
15,10,190.0
15,11,208.0
16,0,242.0
16,1,243.0
16,2,304.0
16,3,240.0
16,4,274.0
16,5,278.0
16,6,254.0
16,7,279.0
16,8,312.0
16,9,311.0
16,10,272.0
16,11,281.0
17,0,322.0
17,1,428.0
17,2,634.0
17,3,706.0
17,4,584.0
17,5,490.0
17,6,434.0
17,7,496.0
17,8,656.0
17,9,693.0
17,10,550.0
17,11,517.0
18,0,424.0
18,1,466.0
18,2,541.0
18,3,600.0
18,4,496.0
18,5,454.0
18,6,292.0
18,7,345.0
18,8,314.0
18,9,304.0
18,10,290.0
18,11,257.0
19,0,205.0
19,1,227.0
19,2,204.0
19,3,201.0
19,4,230.0
19,5,161.0
19,6,154.0
19,7,179.0
19,8,143.0
19,9,175.0
19,10,139.0
19,11,143.0
20,0,148.0
20,1,112.0
20,2,159.0
20,3,104.0
20,4,110.0
20,5,123.0
20,6,116.0
20,7,120.0
20,8,120.0
20,9,165.0
20,10,108.0
20,11,96.0
21,0,90.0
21,1,125.0
21,2,103.0
21,3,132.0
21,4,112.0
21,5,98.0
21,6,80.0
21,7,124.0
21,8,111.0
21,9,94.0
21,10,110.0
21,11,98.0
22,0,75.0
22,1,75.0
22,2,67.0
22,3,75.0
22,4,85.0
22,5,48.0
22,6,78.0
22,7,46.0
22,8,39.0
22,9,50.0
22,10,25.0
22,11,21.0
23,0,11.0
23,1,4.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
