时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,3.0
5,4,1.0
5,5,7.0
5,6,0.0
5,7,3.0
5,8,8.0
5,9,2.0
5,10,0.0
5,11,4.0
6,0,6.0
6,1,1.0
6,2,2.0
6,3,4.0
6,4,2.0
6,5,5.0
6,6,4.0
6,7,66.0
6,8,28.0
6,9,43.0
6,10,39.0
6,11,44.0
7,0,26.0
7,1,45.0
7,2,63.0
7,3,79.0
7,4,74.0
7,5,113.0
7,6,128.0
7,7,124.0
7,8,128.0
7,9,132.0
7,10,146.0
7,11,143.0
8,0,172.0
8,1,211.0
8,2,291.0
8,3,279.0
8,4,364.0
8,5,358.0
8,6,257.0
8,7,625.0
8,8,431.0
8,9,496.0
8,10,683.0
8,11,369.0
9,0,529.0
9,1,384.0
9,2,457.0
9,3,306.0
9,4,369.0
9,5,339.0
9,6,318.0
9,7,331.0
9,8,244.0
9,9,335.0
9,10,226.0
9,11,220.0
10,0,182.0
10,1,235.0
10,2,111.0
10,3,154.0
10,4,186.0
10,5,167.0
10,6,157.0
10,7,128.0
10,8,113.0
10,9,157.0
10,10,97.0
10,11,112.0
11,0,36.0
11,1,168.0
11,2,122.0
11,3,114.0
11,4,101.0
11,5,106.0
11,6,140.0
11,7,91.0
11,8,69.0
11,9,139.0
11,10,135.0
11,11,125.0
12,0,97.0
12,1,107.0
12,2,105.0
12,3,104.0
12,4,110.0
12,5,122.0
12,6,97.0
12,7,97.0
12,8,131.0
12,9,123.0
12,10,114.0
12,11,105.0
13,0,131.0
13,1,150.0
13,2,147.0
13,3,144.0
13,4,123.0
13,5,116.0
13,6,149.0
13,7,117.0
13,8,139.0
13,9,108.0
13,10,121.0
13,11,121.0
14,0,153.0
14,1,141.0
14,2,152.0
14,3,133.0
14,4,131.0
14,5,143.0
14,6,135.0
14,7,140.0
14,8,129.0
14,9,140.0
14,10,141.0
14,11,148.0
15,0,141.0
15,1,111.0
15,2,144.0
15,3,123.0
15,4,144.0
15,5,127.0
15,6,125.0
15,7,99.0
15,8,151.0
15,9,108.0
15,10,114.0
15,11,109.0
16,0,139.0
16,1,145.0
16,2,164.0
16,3,135.0
16,4,169.0
16,5,162.0
16,6,148.0
16,7,150.0
16,8,159.0
16,9,224.0
16,10,182.0
16,11,229.0
17,0,215.0
17,1,304.0
17,2,423.0
17,3,452.0
17,4,416.0
17,5,407.0
17,6,363.0
17,7,430.0
17,8,403.0
17,9,339.0
17,10,321.0
17,11,280.0
18,0,221.0
18,1,324.0
18,2,368.0
18,3,332.0
18,4,271.0
18,5,289.0
18,6,198.0
18,7,168.0
18,8,166.0
18,9,175.0
18,10,141.0
18,11,150.0
19,0,152.0
19,1,125.0
19,2,129.0
19,3,128.0
19,4,101.0
19,5,95.0
19,6,88.0
19,7,77.0
19,8,87.0
19,9,74.0
19,10,75.0
19,11,79.0
20,0,74.0
20,1,82.0
20,2,96.0
20,3,75.0
20,4,71.0
20,5,51.0
20,6,73.0
20,7,55.0
20,8,67.0
20,9,58.0
20,10,52.0
20,11,53.0
21,0,61.0
21,1,51.0
21,2,78.0
21,3,67.0
21,4,72.0
21,5,56.0
21,6,78.0
21,7,90.0
21,8,59.0
21,9,53.0
21,10,45.0
21,11,52.0
22,0,83.0
22,1,99.0
22,2,100.0
22,3,53.0
22,4,62.0
22,5,16.0
22,6,4.0
22,7,3.0
22,8,3.0
22,9,3.0
22,10,3.0
22,11,5.0
23,0,0.0
23,1,1.0
23,2,1.0
23,3,1.0
23,4,1.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
