时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,3.0
5,3,4.0
5,4,12.0
5,5,9.0
5,6,14.0
5,7,16.0
5,8,18.0
5,9,26.0
5,10,26.0
5,11,36.0
6,0,50.0
6,1,29.0
6,2,55.0
6,3,42.0
6,4,93.0
6,5,99.0
6,6,123.0
6,7,146.0
6,8,124.0
6,9,124.0
6,10,189.0
6,11,170.0
7,0,210.0
7,1,135.0
7,2,252.0
7,3,225.0
7,4,296.0
7,5,343.0
7,6,322.0
7,7,381.0
7,8,428.0
7,9,466.0
7,10,525.0
7,11,500.0
8,0,636.0
8,1,630.0
8,2,588.0
8,3,536.0
8,4,515.0
8,5,628.0
8,6,356.0
8,7,490.0
8,8,434.0
8,9,435.0
8,10,305.0
8,11,481.0
9,0,329.0
9,1,300.0
9,2,285.0
9,3,265.0
9,4,243.0
9,5,215.0
9,6,169.0
9,7,200.0
9,8,176.0
9,9,116.0
9,10,147.0
9,11,114.0
10,0,122.0
10,1,151.0
10,2,87.0
10,3,111.0
10,4,126.0
10,5,85.0
10,6,95.0
10,7,107.0
10,8,109.0
10,9,94.0
10,10,90.0
10,11,61.0
11,0,146.0
11,1,60.0
11,2,82.0
11,3,104.0
11,4,78.0
11,5,79.0
11,6,69.0
11,7,79.0
11,8,88.0
11,9,45.0
11,10,94.0
11,11,56.0
12,0,92.0
12,1,87.0
12,2,107.0
12,3,88.0
12,4,81.0
12,5,74.0
12,6,86.0
12,7,63.0
12,8,122.0
12,9,85.0
12,10,82.0
12,11,64.0
13,0,68.0
13,1,101.0
13,2,83.0
13,3,70.0
13,4,72.0
13,5,80.0
13,6,101.0
13,7,74.0
13,8,83.0
13,9,68.0
13,10,76.0
13,11,103.0
14,0,113.0
14,1,72.0
14,2,77.0
14,3,69.0
14,4,86.0
14,5,87.0
14,6,80.0
14,7,94.0
14,8,75.0
14,9,68.0
14,10,96.0
14,11,103.0
15,0,69.0
15,1,86.0
15,2,65.0
15,3,98.0
15,4,90.0
15,5,78.0
15,6,102.0
15,7,88.0
15,8,66.0
15,9,89.0
15,10,93.0
15,11,111.0
16,0,101.0
16,1,136.0
16,2,97.0
16,3,119.0
16,4,130.0
16,5,117.0
16,6,123.0
16,7,146.0
16,8,123.0
16,9,116.0
16,10,111.0
16,11,164.0
17,0,152.0
17,1,173.0
17,2,218.0
17,3,324.0
17,4,211.0
17,5,212.0
17,6,170.0
17,7,225.0
17,8,213.0
17,9,249.0
17,10,255.0
17,11,298.0
18,0,305.0
18,1,201.0
18,2,252.0
18,3,222.0
18,4,412.0
18,5,286.0
18,6,167.0
18,7,408.0
18,8,333.0
18,9,289.0
18,10,237.0
18,11,301.0
19,0,283.0
19,1,240.0
19,2,233.0
19,3,209.0
19,4,207.0
19,5,212.0
19,6,236.0
19,7,225.0
19,8,134.0
19,9,145.0
19,10,156.0
19,11,112.0
20,0,122.0
20,1,149.0
20,2,126.0
20,3,130.0
20,4,121.0
20,5,135.0
20,6,122.0
20,7,109.0
20,8,101.0
20,9,92.0
20,10,108.0
20,11,123.0
21,0,107.0
21,1,99.0
21,2,133.0
21,3,85.0
21,4,117.0
21,5,85.0
21,6,124.0
21,7,111.0
21,8,123.0
21,9,122.0
21,10,105.0
21,11,61.0
22,0,107.0
22,1,84.0
22,2,79.0
22,3,78.0
22,4,86.0
22,5,85.0
22,6,71.0
22,7,98.0
22,8,3.0
22,9,55.0
22,10,78.0
22,11,0.0
23,0,52.0
23,1,29.0
23,2,1.0
23,3,29.0
23,4,17.0
23,5,4.0
23,6,4.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
