时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,4.0
5,6,7.0
5,7,21.0
5,8,22.0
5,9,30.0
5,10,36.0
5,11,26.0
6,0,39.0
6,1,36.0
6,2,54.0
6,3,55.0
6,4,97.0
6,5,89.0
6,6,112.0
6,7,117.0
6,8,183.0
6,9,172.0
6,10,234.0
6,11,217.0
7,0,232.0
7,1,228.0
7,2,301.0
7,3,259.0
7,4,291.0
7,5,281.0
7,6,342.0
7,7,374.0
7,8,434.0
7,9,440.0
7,10,513.0
7,11,508.0
8,0,593.0
8,1,530.0
8,2,578.0
8,3,544.0
8,4,522.0
8,5,468.0
8,6,471.0
8,7,476.0
8,8,430.0
8,9,325.0
8,10,315.0
8,11,356.0
9,0,291.0
9,1,301.0
9,2,214.0
9,3,228.0
9,4,173.0
9,5,194.0
9,6,168.0
9,7,162.0
9,8,134.0
9,9,144.0
9,10,109.0
9,11,133.0
10,0,93.0
10,1,113.0
10,2,116.0
10,3,105.0
10,4,99.0
10,5,61.0
10,6,96.0
10,7,73.0
10,8,64.0
10,9,71.0
10,10,73.0
10,11,78.0
11,0,87.0
11,1,44.0
11,2,87.0
11,3,66.0
11,4,83.0
11,5,68.0
11,6,48.0
11,7,77.0
11,8,70.0
11,9,72.0
11,10,77.0
11,11,54.0
12,0,77.0
12,1,63.0
12,2,64.0
12,3,65.0
12,4,69.0
12,5,65.0
12,6,63.0
12,7,68.0
12,8,73.0
12,9,85.0
12,10,73.0
12,11,42.0
13,0,53.0
13,1,77.0
13,2,79.0
13,3,63.0
13,4,62.0
13,5,75.0
13,6,72.0
13,7,64.0
13,8,56.0
13,9,38.0
13,10,80.0
13,11,44.0
14,0,54.0
14,1,57.0
14,2,74.0
14,3,82.0
14,4,68.0
14,5,80.0
14,6,68.0
14,7,79.0
14,8,77.0
14,9,77.0
14,10,49.0
14,11,79.0
15,0,73.0
15,1,77.0
15,2,77.0
15,3,72.0
15,4,68.0
15,5,105.0
15,6,77.0
15,7,92.0
15,8,91.0
15,9,58.0
15,10,97.0
15,11,96.0
16,0,80.0
16,1,92.0
16,2,113.0
16,3,98.0
16,4,91.0
16,5,95.0
16,6,129.0
16,7,116.0
16,8,119.0
16,9,135.0
16,10,73.0
16,11,164.0
17,0,156.0
17,1,157.0
17,2,200.0
17,3,267.0
17,4,323.0
17,5,319.0
17,6,219.0
17,7,234.0
17,8,279.0
17,9,334.0
17,10,332.0
17,11,432.0
18,0,348.0
18,1,244.0
18,2,289.0
18,3,323.0
18,4,188.0
18,5,548.0
18,6,464.0
18,7,279.0
18,8,358.0
18,9,412.0
18,10,324.0
18,11,432.0
19,0,220.0
19,1,243.0
19,2,230.0
19,3,263.0
19,4,260.0
19,5,200.0
19,6,214.0
19,7,226.0
19,8,167.0
19,9,156.0
19,10,174.0
19,11,140.0
20,0,131.0
20,1,111.0
20,2,126.0
20,3,162.0
20,4,85.0
20,5,90.0
20,6,88.0
20,7,124.0
20,8,98.0
20,9,116.0
20,10,121.0
20,11,161.0
21,0,110.0
21,1,106.0
21,2,118.0
21,3,54.0
21,4,114.0
21,5,67.0
21,6,80.0
21,7,80.0
21,8,115.0
21,9,102.0
21,10,94.0
21,11,83.0
22,0,86.0
22,1,77.0
22,2,78.0
22,3,96.0
22,4,73.0
22,5,63.0
22,6,84.0
22,7,65.0
22,8,61.0
22,9,65.0
22,10,59.0
22,11,36.0
23,0,39.0
23,1,30.0
23,2,18.0
23,3,18.0
23,4,6.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
