时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,2.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,7.0
5,5,9.0
5,6,19.0
5,7,15.0
5,8,7.0
5,9,12.0
5,10,14.0
5,11,20.0
6,0,32.0
6,1,43.0
6,2,46.0
6,3,54.0
6,4,98.0
6,5,84.0
6,6,66.0
6,7,95.0
6,8,136.0
6,9,124.0
6,10,146.0
6,11,181.0
7,0,215.0
7,1,224.0
7,2,256.0
7,3,290.0
7,4,302.0
7,5,308.0
7,6,312.0
7,7,427.0
7,8,448.0
7,9,445.0
7,10,442.0
7,11,510.0
8,0,595.0
8,1,618.0
8,2,561.0
8,3,544.0
8,4,589.0
8,5,540.0
8,6,460.0
8,7,481.0
8,8,438.0
8,9,415.0
8,10,357.0
8,11,332.0
9,0,329.0
9,1,302.0
9,2,210.0
9,3,248.0
9,4,199.0
9,5,154.0
9,6,158.0
9,7,162.0
9,8,137.0
9,9,102.0
9,10,111.0
9,11,100.0
10,0,91.0
10,1,85.0
10,2,62.0
10,3,104.0
10,4,70.0
10,5,59.0
10,6,69.0
10,7,58.0
10,8,59.0
10,9,65.0
10,10,61.0
10,11,60.0
11,0,59.0
11,1,68.0
11,2,56.0
11,3,51.0
11,4,66.0
11,5,63.0
11,6,66.0
11,7,57.0
11,8,55.0
11,9,55.0
11,10,36.0
11,11,53.0
12,0,72.0
12,1,77.0
12,2,59.0
12,3,79.0
12,4,73.0
12,5,74.0
12,6,59.0
12,7,67.0
12,8,55.0
12,9,70.0
12,10,75.0
12,11,77.0
13,0,50.0
13,1,48.0
13,2,56.0
13,3,58.0
13,4,67.0
13,5,70.0
13,6,42.0
13,7,44.0
13,8,67.0
13,9,65.0
13,10,43.0
13,11,68.0
14,0,51.0
14,1,74.0
14,2,49.0
14,3,62.0
14,4,79.0
14,5,54.0
14,6,50.0
14,7,50.0
14,8,87.0
14,9,74.0
14,10,41.0
14,11,75.0
15,0,64.0
15,1,78.0
15,2,51.0
15,3,74.0
15,4,77.0
15,5,57.0
15,6,62.0
15,7,85.0
15,8,69.0
15,9,65.0
15,10,63.0
15,11,88.0
16,0,68.0
16,1,111.0
16,2,149.0
16,3,126.0
16,4,144.0
16,5,118.0
16,6,108.0
16,7,111.0
16,8,100.0
16,9,117.0
16,10,124.0
16,11,148.0
17,0,184.0
17,1,190.0
17,2,192.0
17,3,191.0
17,4,199.0
17,5,167.0
17,6,187.0
17,7,207.0
17,8,287.0
17,9,225.0
17,10,311.0
17,11,314.0
18,0,221.0
18,1,293.0
18,2,310.0
18,3,236.0
18,4,303.0
18,5,336.0
18,6,332.0
18,7,333.0
18,8,357.0
18,9,322.0
18,10,305.0
18,11,281.0
19,0,292.0
19,1,207.0
19,2,269.0
19,3,238.0
19,4,291.0
19,5,175.0
19,6,162.0
19,7,152.0
19,8,105.0
19,9,174.0
19,10,140.0
19,11,127.0
20,0,157.0
20,1,188.0
20,2,144.0
20,3,124.0
20,4,94.0
20,5,84.0
20,6,108.0
20,7,114.0
20,8,96.0
20,9,112.0
20,10,112.0
20,11,102.0
21,0,102.0
21,1,79.0
21,2,122.0
21,3,100.0
21,4,99.0
21,5,103.0
21,6,98.0
21,7,107.0
21,8,82.0
21,9,99.0
21,10,97.0
21,11,74.0
22,0,56.0
22,1,89.0
22,2,86.0
22,3,68.0
22,4,65.0
22,5,27.0
22,6,96.0
22,7,69.0
22,8,6.0
22,9,67.0
22,10,3.0
22,11,38.0
23,0,36.0
23,1,10.0
23,2,3.0
23,3,17.0
23,4,8.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
