时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,2.0
5,7,0.0
5,8,7.0
5,9,4.0
5,10,6.0
5,11,9.0
6,0,12.0
6,1,13.0
6,2,37.0
6,3,32.0
6,4,28.0
6,5,36.0
6,6,37.0
6,7,41.0
6,8,46.0
6,9,61.0
6,10,73.0
6,11,60.0
7,0,81.0
7,1,90.0
7,2,90.0
7,3,70.0
7,4,97.0
7,5,120.0
7,6,130.0
7,7,124.0
7,8,126.0
7,9,145.0
7,10,206.0
7,11,183.0
8,0,223.0
8,1,193.0
8,2,302.0
8,3,302.0
8,4,303.0
8,5,288.0
8,6,281.0
8,7,344.0
8,8,261.0
8,9,285.0
8,10,274.0
8,11,215.0
9,0,207.0
9,1,170.0
9,2,143.0
9,3,173.0
9,4,156.0
9,5,121.0
9,6,133.0
9,7,100.0
9,8,98.0
9,9,120.0
9,10,117.0
9,11,96.0
10,0,73.0
10,1,73.0
10,2,68.0
10,3,67.0
10,4,62.0
10,5,55.0
10,6,56.0
10,7,52.0
10,8,47.0
10,9,54.0
10,10,43.0
10,11,45.0
11,0,53.0
11,1,41.0
11,2,68.0
11,3,58.0
11,4,43.0
11,5,53.0
11,6,52.0
11,7,33.0
11,8,32.0
11,9,87.0
11,10,43.0
11,11,38.0
12,0,53.0
12,1,70.0
12,2,44.0
12,3,49.0
12,4,38.0
12,5,62.0
12,6,51.0
12,7,52.0
12,8,42.0
12,9,39.0
12,10,60.0
12,11,68.0
13,0,42.0
13,1,41.0
13,2,65.0
13,3,66.0
13,4,52.0
13,5,76.0
13,6,58.0
13,7,28.0
13,8,48.0
13,9,45.0
13,10,51.0
13,11,49.0
14,0,53.0
14,1,54.0
14,2,45.0
14,3,62.0
14,4,49.0
14,5,49.0
14,6,50.0
14,7,41.0
14,8,58.0
14,9,51.0
14,10,51.0
14,11,55.0
15,0,61.0
15,1,68.0
15,2,59.0
15,3,71.0
15,4,51.0
15,5,47.0
15,6,52.0
15,7,51.0
15,8,69.0
15,9,66.0
15,10,56.0
15,11,80.0
16,0,66.0
16,1,73.0
16,2,102.0
16,3,73.0
16,4,72.0
16,5,74.0
16,6,64.0
16,7,72.0
16,8,102.0
16,9,90.0
16,10,103.0
16,11,116.0
17,0,111.0
17,1,127.0
17,2,201.0
17,3,138.0
17,4,137.0
17,5,186.0
17,6,142.0
17,7,154.0
17,8,201.0
17,9,243.0
17,10,234.0
17,11,205.0
18,0,161.0
18,1,196.0
18,2,128.0
18,3,266.0
18,4,216.0
18,5,173.0
18,6,187.0
18,7,215.0
18,8,174.0
18,9,173.0
18,10,124.0
18,11,139.0
19,0,143.0
19,1,97.0
19,2,128.0
19,3,118.0
19,4,96.0
19,5,76.0
19,6,86.0
19,7,98.0
19,8,71.0
19,9,69.0
19,10,87.0
19,11,68.0
20,0,45.0
20,1,58.0
20,2,78.0
20,3,54.0
20,4,62.0
20,5,60.0
20,6,60.0
20,7,43.0
20,8,54.0
20,9,56.0
20,10,47.0
20,11,77.0
21,0,49.0
21,1,21.0
21,2,48.0
21,3,64.0
21,4,57.0
21,5,62.0
21,6,53.0
21,7,60.0
21,8,39.0
21,9,44.0
21,10,48.0
21,11,39.0
22,0,47.0
22,1,35.0
22,2,37.0
22,3,36.0
22,4,24.0
22,5,36.0
22,6,47.0
22,7,39.0
22,8,22.0
22,9,15.0
22,10,7.0
22,11,18.0
23,0,17.0
23,1,13.0
23,2,13.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
