时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,2.0
5,7,2.0
5,8,5.0
5,9,14.0
5,10,19.0
5,11,16.0
6,0,21.0
6,1,31.0
6,2,48.0
6,3,59.0
6,4,62.0
6,5,73.0
6,6,74.0
6,7,110.0
6,8,118.0
6,9,139.0
6,10,154.0
6,11,225.0
7,0,183.0
7,1,178.0
7,2,209.0
7,3,193.0
7,4,196.0
7,5,231.0
7,6,201.0
7,7,237.0
7,8,291.0
7,9,312.0
7,10,344.0
7,11,427.0
8,0,468.0
8,1,499.0
8,2,658.0
8,3,821.0
8,4,798.0
8,5,755.0
8,6,825.0
8,7,972.0
8,8,921.0
8,9,1207.0
8,10,1152.0
8,11,767.0
9,0,762.0
9,1,632.0
9,2,606.0
9,3,597.0
9,4,628.0
9,5,524.0
9,6,577.0
9,7,450.0
9,8,523.0
9,9,400.0
9,10,476.0
9,11,351.0
10,0,289.0
10,1,342.0
10,2,283.0
10,3,294.0
10,4,237.0
10,5,274.0
10,6,241.0
10,7,217.0
10,8,249.0
10,9,258.0
10,10,205.0
10,11,201.0
11,0,214.0
11,1,169.0
11,2,172.0
11,3,237.0
11,4,182.0
11,5,211.0
11,6,199.0
11,7,198.0
11,8,210.0
11,9,176.0
11,10,185.0
11,11,191.0
12,0,205.0
12,1,154.0
12,2,196.0
12,3,207.0
12,4,184.0
12,5,200.0
12,6,223.0
12,7,184.0
12,8,195.0
12,9,259.0
12,10,185.0
12,11,229.0
13,0,199.0
13,1,173.0
13,2,216.0
13,3,218.0
13,4,255.0
13,5,211.0
13,6,227.0
13,7,206.0
13,8,279.0
13,9,203.0
13,10,170.0
13,11,200.0
14,0,193.0
14,1,177.0
14,2,220.0
14,3,209.0
14,4,177.0
14,5,227.0
14,6,199.0
14,7,199.0
14,8,184.0
14,9,163.0
14,10,212.0
14,11,202.0
15,0,217.0
15,1,222.0
15,2,186.0
15,3,189.0
15,4,203.0
15,5,223.0
15,6,181.0
15,7,201.0
15,8,177.0
15,9,253.0
15,10,205.0
15,11,262.0
16,0,256.0
16,1,190.0
16,2,236.0
16,3,261.0
16,4,264.0
16,5,219.0
16,6,285.0
16,7,290.0
16,8,277.0
16,9,271.0
16,10,294.0
16,11,300.0
17,0,365.0
17,1,434.0
17,2,605.0
17,3,584.0
17,4,579.0
17,5,502.0
17,6,504.0
17,7,561.0
17,8,780.0
17,9,772.0
17,10,652.0
17,11,635.0
18,0,591.0
18,1,651.0
18,2,826.0
18,3,952.0
18,4,780.0
18,5,671.0
18,6,637.0
18,7,557.0
18,8,599.0
18,9,612.0
18,10,516.0
18,11,441.0
19,0,400.0
19,1,405.0
19,2,403.0
19,3,392.0
19,4,371.0
19,5,340.0
19,6,254.0
19,7,335.0
19,8,297.0
19,9,289.0
19,10,256.0
19,11,248.0
20,0,236.0
20,1,225.0
20,2,245.0
20,3,240.0
20,4,241.0
20,5,233.0
20,6,193.0
20,7,254.0
20,8,212.0
20,9,200.0
20,10,183.0
20,11,201.0
21,0,177.0
21,1,225.0
21,2,252.0
21,3,198.0
21,4,213.0
21,5,200.0
21,6,214.0
21,7,192.0
21,8,178.0
21,9,197.0
21,10,145.0
21,11,166.0
22,0,175.0
22,1,236.0
22,2,196.0
22,3,152.0
22,4,118.0
22,5,101.0
22,6,103.0
22,7,89.0
22,8,69.0
22,9,47.0
22,10,42.0
22,11,30.0
23,0,24.0
23,1,12.0
23,2,11.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
