时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,2.0
5,7,10.0
5,8,20.0
5,9,17.0
5,10,19.0
5,11,15.0
6,0,22.0
6,1,33.0
6,2,34.0
6,3,47.0
6,4,51.0
6,5,62.0
6,6,89.0
6,7,103.0
6,8,124.0
6,9,108.0
6,10,119.0
6,11,144.0
7,0,132.0
7,1,133.0
7,2,174.0
7,3,228.0
7,4,210.0
7,5,253.0
7,6,241.0
7,7,264.0
7,8,308.0
7,9,316.0
7,10,328.0
7,11,384.0
8,0,313.0
8,1,329.0
8,2,418.0
8,3,419.0
8,4,410.0
8,5,406.0
8,6,355.0
8,7,313.0
8,8,337.0
8,9,321.0
8,10,299.0
8,11,300.0
9,0,242.0
9,1,222.0
9,2,228.0
9,3,186.0
9,4,204.0
9,5,180.0
9,6,167.0
9,7,121.0
9,8,110.0
9,9,106.0
9,10,86.0
9,11,124.0
10,0,85.0
10,1,94.0
10,2,86.0
10,3,84.0
10,4,61.0
10,5,55.0
10,6,64.0
10,7,63.0
10,8,51.0
10,9,48.0
10,10,45.0
10,11,83.0
11,0,45.0
11,1,61.0
11,2,61.0
11,3,46.0
11,4,40.0
11,5,56.0
11,6,42.0
11,7,68.0
11,8,52.0
11,9,48.0
11,10,53.0
11,11,51.0
12,0,82.0
12,1,50.0
12,2,53.0
12,3,65.0
12,4,46.0
12,5,48.0
12,6,44.0
12,7,54.0
12,8,59.0
12,9,61.0
12,10,45.0
12,11,56.0
13,0,55.0
13,1,59.0
13,2,61.0
13,3,62.0
13,4,59.0
13,5,49.0
13,6,53.0
13,7,51.0
13,8,52.0
13,9,49.0
13,10,45.0
13,11,43.0
14,0,66.0
14,1,53.0
14,2,61.0
14,3,45.0
14,4,65.0
14,5,56.0
14,6,33.0
14,7,48.0
14,8,50.0
14,9,54.0
14,10,48.0
14,11,60.0
15,0,66.0
15,1,79.0
15,2,68.0
15,3,54.0
15,4,51.0
15,5,61.0
15,6,48.0
15,7,64.0
15,8,65.0
15,9,48.0
15,10,55.0
15,11,77.0
16,0,79.0
16,1,101.0
16,2,111.0
16,3,95.0
16,4,86.0
16,5,132.0
16,6,107.0
16,7,100.0
16,8,83.0
16,9,128.0
16,10,118.0
16,11,111.0
17,0,116.0
17,1,164.0
17,2,158.0
17,3,203.0
17,4,170.0
17,5,168.0
17,6,174.0
17,7,178.0
17,8,202.0
17,9,214.0
17,10,195.0
17,11,223.0
18,0,122.0
18,1,257.0
18,2,212.0
18,3,237.0
18,4,263.0
18,5,197.0
18,6,190.0
18,7,268.0
18,8,234.0
18,9,270.0
18,10,268.0
18,11,228.0
19,0,223.0
19,1,215.0
19,2,180.0
19,3,174.0
19,4,168.0
19,5,140.0
19,6,125.0
19,7,141.0
19,8,153.0
19,9,84.0
19,10,110.0
19,11,82.0
20,0,97.0
20,1,88.0
20,2,63.0
20,3,115.0
20,4,90.0
20,5,86.0
20,6,80.0
20,7,91.0
20,8,86.0
20,9,102.0
20,10,85.0
20,11,44.0
21,0,65.0
21,1,100.0
21,2,80.0
21,3,51.0
21,4,105.0
21,5,72.0
21,6,80.0
21,7,64.0
21,8,89.0
21,9,82.0
21,10,57.0
21,11,74.0
22,0,64.0
22,1,69.0
22,2,65.0
22,3,52.0
22,4,13.0
22,5,65.0
22,6,64.0
22,7,69.0
22,8,25.0
22,9,43.0
22,10,22.0
22,11,39.0
23,0,13.0
23,1,1.0
23,2,10.0
23,3,13.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
