时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,4.0
5,4,1.0
5,5,12.0
5,6,27.0
5,7,47.0
5,8,42.0
5,9,43.0
5,10,39.0
5,11,27.0
6,0,49.0
6,1,80.0
6,2,114.0
6,3,64.0
6,4,86.0
6,5,65.0
6,6,173.0
6,7,164.0
6,8,231.0
6,9,135.0
6,10,245.0
6,11,175.0
7,0,230.0
7,1,279.0
7,2,291.0
7,3,387.0
7,4,380.0
7,5,454.0
7,6,531.0
7,7,479.0
7,8,647.0
7,9,598.0
7,10,587.0
7,11,569.0
8,0,689.0
8,1,547.0
8,2,506.0
8,3,538.0
8,4,455.0
8,5,462.0
8,6,341.0
8,7,489.0
8,8,243.0
8,9,414.0
8,10,222.0
8,11,375.0
9,0,173.0
9,1,253.0
9,2,197.0
9,3,190.0
9,4,250.0
9,5,188.0
9,6,92.0
9,7,201.0
9,8,93.0
9,9,186.0
9,10,124.0
9,11,92.0
10,0,132.0
10,1,154.0
10,2,142.0
10,3,84.0
10,4,120.0
10,5,93.0
10,6,104.0
10,7,73.0
10,8,99.0
10,9,112.0
10,10,85.0
10,11,77.0
11,0,133.0
11,1,56.0
11,2,128.0
11,3,36.0
11,4,130.0
11,5,49.0
11,6,119.0
11,7,51.0
11,8,58.0
11,9,159.0
11,10,56.0
11,11,140.0
12,0,58.0
12,1,141.0
12,2,45.0
12,3,139.0
12,4,67.0
12,5,140.0
12,6,75.0
12,7,41.0
12,8,141.0
12,9,61.0
12,10,169.0
12,11,49.0
13,0,143.0
13,1,76.0
13,2,152.0
13,3,45.0
13,4,53.0
13,5,160.0
13,6,35.0
13,7,124.0
13,8,50.0
13,9,119.0
13,10,43.0
13,11,142.0
14,0,36.0
14,1,106.0
14,2,51.0
14,3,120.0
14,4,63.0
14,5,59.0
14,6,111.0
14,7,30.0
14,8,133.0
14,9,46.0
14,10,182.0
14,11,53.0
15,0,136.0
15,1,33.0
15,2,137.0
15,3,112.0
15,4,67.0
15,5,112.0
15,6,47.0
15,7,148.0
15,8,112.0
15,9,46.0
15,10,158.0
15,11,45.0
16,0,182.0
16,1,117.0
16,2,58.0
16,3,160.0
16,4,72.0
16,5,237.0
16,6,152.0
16,7,62.0
16,8,72.0
16,9,231.0
16,10,134.0
16,11,177.0
17,0,59.0
17,1,256.0
17,2,197.0
17,3,169.0
17,4,74.0
17,5,143.0
17,6,249.0
17,7,177.0
17,8,309.0
17,9,323.0
17,10,163.0
17,11,391.0
18,0,104.0
18,1,471.0
18,2,331.0
18,3,76.0
18,4,537.0
18,5,44.0
18,6,551.0
18,7,323.0
18,8,375.0
18,9,509.0
18,10,295.0
18,11,604.0
19,0,374.0
19,1,340.0
19,2,465.0
19,3,119.0
19,4,459.0
19,5,351.0
19,6,282.0
19,7,299.0
19,8,260.0
19,9,285.0
19,10,215.0
19,11,258.0
20,0,283.0
20,1,211.0
20,2,184.0
20,3,37.0
20,4,313.0
20,5,54.0
20,6,267.0
20,7,116.0
20,8,125.0
20,9,57.0
20,10,166.0
20,11,156.0
21,0,94.0
21,1,209.0
21,2,29.0
21,3,214.0
21,4,142.0
21,5,37.0
21,6,187.0
21,7,125.0
21,8,19.0
21,9,202.0
21,10,131.0
21,11,27.0
22,0,190.0
22,1,21.0
22,2,162.0
22,3,16.0
22,4,155.0
22,5,13.0
22,6,62.0
22,7,85.0
22,8,72.0
22,9,55.0
22,10,21.0
22,11,112.0
23,0,80.0
23,1,40.0
23,2,45.0
23,3,36.0
23,4,29.0
23,5,19.0
23,6,15.0
23,7,10.0
23,8,12.0
23,9,0.0
23,10,0.0
23,11,0.0
