时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,2.0
5,8,1.0
5,9,4.0
5,10,5.0
5,11,16.0
6,0,9.0
6,1,14.0
6,2,20.0
6,3,20.0
6,4,17.0
6,5,30.0
6,6,30.0
6,7,31.0
6,8,40.0
6,9,52.0
6,10,66.0
6,11,83.0
7,0,91.0
7,1,87.0
7,2,99.0
7,3,105.0
7,4,110.0
7,5,122.0
7,6,135.0
7,7,120.0
7,8,195.0
7,9,200.0
7,10,214.0
7,11,230.0
8,0,260.0
8,1,328.0
8,2,407.0
8,3,297.0
8,4,582.0
8,5,501.0
8,6,647.0
8,7,669.0
8,8,791.0
8,9,1089.0
8,10,693.0
8,11,374.0
9,0,619.0
9,1,400.0
9,2,431.0
9,3,310.0
9,4,338.0
9,5,324.0
9,6,238.0
9,7,296.0
9,8,217.0
9,9,220.0
9,10,224.0
9,11,188.0
10,0,177.0
10,1,127.0
10,2,120.0
10,3,93.0
10,4,86.0
10,5,87.0
10,6,90.0
10,7,102.0
10,8,91.0
10,9,61.0
10,10,98.0
10,11,80.0
11,0,84.0
11,1,80.0
11,2,72.0
11,3,64.0
11,4,84.0
11,5,87.0
11,6,74.0
11,7,82.0
11,8,81.0
11,9,71.0
11,10,93.0
11,11,65.0
12,0,71.0
12,1,57.0
12,2,87.0
12,3,68.0
12,4,94.0
12,5,91.0
12,6,81.0
12,7,93.0
12,8,80.0
12,9,74.0
12,10,93.0
12,11,68.0
13,0,95.0
13,1,90.0
13,2,73.0
13,3,99.0
13,4,61.0
13,5,121.0
13,6,111.0
13,7,121.0
13,8,100.0
13,9,94.0
13,10,114.0
13,11,77.0
14,0,90.0
14,1,104.0
14,2,90.0
14,3,77.0
14,4,83.0
14,5,72.0
14,6,84.0
14,7,73.0
14,8,105.0
14,9,100.0
14,10,91.0
14,11,94.0
15,0,96.0
15,1,73.0
15,2,95.0
15,3,94.0
15,4,87.0
15,5,93.0
15,6,87.0
15,7,115.0
15,8,98.0
15,9,106.0
15,10,115.0
15,11,91.0
16,0,68.0
16,1,91.0
16,2,90.0
16,3,81.0
16,4,111.0
16,5,106.0
16,6,112.0
16,7,137.0
16,8,106.0
16,9,107.0
16,10,126.0
16,11,139.0
17,0,133.0
17,1,231.0
17,2,283.0
17,3,280.0
17,4,222.0
17,5,233.0
17,6,216.0
17,7,330.0
17,8,341.0
17,9,289.0
17,10,195.0
17,11,227.0
18,0,221.0
18,1,366.0
18,2,594.0
18,3,706.0
18,4,658.0
18,5,527.0
18,6,461.0
18,7,415.0
18,8,369.0
18,9,412.0
18,10,360.0
18,11,296.0
19,0,298.0
19,1,305.0
19,2,256.0
19,3,215.0
19,4,220.0
19,5,239.0
19,6,200.0
19,7,155.0
19,8,154.0
19,9,147.0
19,10,160.0
19,11,125.0
20,0,114.0
20,1,125.0
20,2,133.0
20,3,131.0
20,4,97.0
20,5,98.0
20,6,98.0
20,7,126.0
20,8,142.0
20,9,100.0
20,10,65.0
20,11,106.0
21,0,118.0
21,1,101.0
21,2,115.0
21,3,129.0
21,4,95.0
21,5,102.0
21,6,84.0
21,7,95.0
21,8,86.0
21,9,99.0
21,10,78.0
21,11,84.0
22,0,53.0
22,1,86.0
22,2,78.0
22,3,49.0
22,4,58.0
22,5,61.0
22,6,30.0
22,7,30.0
22,8,34.0
22,9,15.0
22,10,12.0
22,11,15.0
23,0,5.0
23,1,10.0
23,2,8.0
23,3,1.0
23,4,0.0
23,5,1.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
