时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,14.0
5,6,2.0
5,7,10.0
5,8,8.0
5,9,4.0
5,10,15.0
5,11,3.0
6,0,4.0
6,1,15.0
6,2,19.0
6,3,10.0
6,4,12.0
6,5,26.0
6,6,34.0
6,7,32.0
6,8,20.0
6,9,92.0
6,10,51.0
6,11,108.0
7,0,90.0
7,1,77.0
7,2,113.0
7,3,97.0
7,4,95.0
7,5,143.0
7,6,174.0
7,7,144.0
7,8,149.0
7,9,144.0
7,10,159.0
7,11,191.0
8,0,167.0
8,1,191.0
8,2,185.0
8,3,190.0
8,4,143.0
8,5,180.0
8,6,192.0
8,7,229.0
8,8,142.0
8,9,206.0
8,10,194.0
8,11,145.0
9,0,133.0
9,1,106.0
9,2,117.0
9,3,128.0
9,4,103.0
9,5,92.0
9,6,82.0
9,7,69.0
9,8,76.0
9,9,60.0
9,10,48.0
9,11,67.0
10,0,58.0
10,1,65.0
10,2,32.0
10,3,60.0
10,4,27.0
10,5,43.0
10,6,31.0
10,7,55.0
10,8,37.0
10,9,16.0
10,10,35.0
10,11,31.0
11,0,44.0
11,1,18.0
11,2,27.0
11,3,21.0
11,4,35.0
11,5,38.0
11,6,27.0
11,7,45.0
11,8,35.0
11,9,28.0
11,10,34.0
11,11,38.0
12,0,19.0
12,1,51.0
12,2,26.0
12,3,23.0
12,4,36.0
12,5,23.0
12,6,29.0
12,7,33.0
12,8,31.0
12,9,30.0
12,10,37.0
12,11,32.0
13,0,28.0
13,1,33.0
13,2,40.0
13,3,27.0
13,4,47.0
13,5,29.0
13,6,37.0
13,7,39.0
13,8,27.0
13,9,26.0
13,10,32.0
13,11,38.0
14,0,28.0
14,1,36.0
14,2,26.0
14,3,41.0
14,4,38.0
14,5,26.0
14,6,34.0
14,7,51.0
14,8,33.0
14,9,40.0
14,10,53.0
14,11,32.0
15,0,31.0
15,1,50.0
15,2,48.0
15,3,30.0
15,4,55.0
15,5,34.0
15,6,36.0
15,7,58.0
15,8,47.0
15,9,36.0
15,10,42.0
15,11,45.0
16,0,33.0
16,1,59.0
16,2,67.0
16,3,35.0
16,4,66.0
16,5,58.0
16,6,67.0
16,7,69.0
16,8,127.0
16,9,148.0
16,10,93.0
16,11,124.0
17,0,118.0
17,1,132.0
17,2,163.0
17,3,155.0
17,4,163.0
17,5,199.0
17,6,137.0
17,7,167.0
17,8,171.0
17,9,191.0
17,10,255.0
17,11,219.0
18,0,143.0
18,1,170.0
18,2,256.0
18,3,278.0
18,4,186.0
18,5,128.0
18,6,200.0
18,7,177.0
18,8,139.0
18,9,113.0
18,10,152.0
18,11,129.0
19,0,114.0
19,1,101.0
19,2,94.0
19,3,78.0
19,4,90.0
19,5,76.0
19,6,52.0
19,7,71.0
19,8,55.0
19,9,53.0
19,10,46.0
19,11,75.0
20,0,47.0
20,1,48.0
20,2,38.0
20,3,40.0
20,4,55.0
20,5,52.0
20,6,42.0
20,7,56.0
20,8,53.0
20,9,45.0
20,10,32.0
20,11,34.0
21,0,57.0
21,1,52.0
21,2,34.0
21,3,29.0
21,4,37.0
21,5,31.0
21,6,17.0
21,7,37.0
21,8,37.0
21,9,20.0
21,10,29.0
21,11,27.0
22,0,23.0
22,1,25.0
22,2,17.0
22,3,14.0
22,4,10.0
22,5,17.0
22,6,6.0
22,7,7.0
22,8,10.0
22,9,5.0
22,10,2.0
22,11,2.0
23,0,5.0
23,1,0.0
23,2,3.0
23,3,1.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
