时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,3.0
5,7,8.0
5,8,13.0
5,9,22.0
5,10,26.0
5,11,34.0
6,0,35.0
6,1,29.0
6,2,52.0
6,3,56.0
6,4,61.0
6,5,73.0
6,6,86.0
6,7,89.0
6,8,106.0
6,9,107.0
6,10,145.0
6,11,158.0
7,0,168.0
7,1,205.0
7,2,185.0
7,3,174.0
7,4,211.0
7,5,235.0
7,6,206.0
7,7,254.0
7,8,320.0
7,9,302.0
7,10,354.0
7,11,336.0
8,0,328.0
8,1,352.0
8,2,373.0
8,3,363.0
8,4,369.0
8,5,322.0
8,6,330.0
8,7,310.0
8,8,290.0
8,9,284.0
8,10,275.0
8,11,275.0
9,0,245.0
9,1,208.0
9,2,203.0
9,3,186.0
9,4,179.0
9,5,182.0
9,6,194.0
9,7,157.0
9,8,137.0
9,9,98.0
9,10,128.0
9,11,114.0
10,0,101.0
10,1,99.0
10,2,83.0
10,3,89.0
10,4,90.0
10,5,101.0
10,6,88.0
10,7,99.0
10,8,91.0
10,9,73.0
10,10,82.0
10,11,68.0
11,0,89.0
11,1,70.0
11,2,67.0
11,3,69.0
11,4,92.0
11,5,48.0
11,6,60.0
11,7,58.0
11,8,81.0
11,9,71.0
11,10,67.0
11,11,84.0
12,0,85.0
12,1,98.0
12,2,77.0
12,3,74.0
12,4,89.0
12,5,77.0
12,6,55.0
12,7,64.0
12,8,111.0
12,9,64.0
12,10,65.0
12,11,80.0
13,0,67.0
13,1,66.0
13,2,63.0
13,3,74.0
13,4,86.0
13,5,84.0
13,6,67.0
13,7,72.0
13,8,78.0
13,9,77.0
13,10,60.0
13,11,57.0
14,0,76.0
14,1,63.0
14,2,66.0
14,3,77.0
14,4,72.0
14,5,81.0
14,6,69.0
14,7,73.0
14,8,74.0
14,9,73.0
14,10,97.0
14,11,63.0
15,0,87.0
15,1,85.0
15,2,76.0
15,3,83.0
15,4,110.0
15,5,85.0
15,6,83.0
15,7,67.0
15,8,124.0
15,9,113.0
15,10,74.0
15,11,104.0
16,0,149.0
16,1,102.0
16,2,116.0
16,3,134.0
16,4,156.0
16,5,133.0
16,6,150.0
16,7,200.0
16,8,194.0
16,9,168.0
16,10,182.0
16,11,250.0
17,0,200.0
17,1,245.0
17,2,240.0
17,3,204.0
17,4,204.0
17,5,245.0
17,6,227.0
17,7,209.0
17,8,262.0
17,9,271.0
17,10,268.0
17,11,260.0
18,0,256.0
18,1,265.0
18,2,247.0
18,3,275.0
18,4,272.0
18,5,271.0
18,6,183.0
18,7,220.0
18,8,203.0
18,9,235.0
18,10,233.0
18,11,230.0
19,0,162.0
19,1,173.0
19,2,160.0
19,3,164.0
19,4,153.0
19,5,116.0
19,6,105.0
19,7,128.0
19,8,112.0
19,9,100.0
19,10,98.0
19,11,98.0
20,0,96.0
20,1,101.0
20,2,110.0
20,3,89.0
20,4,85.0
20,5,103.0
20,6,77.0
20,7,125.0
20,8,98.0
20,9,56.0
20,10,69.0
20,11,97.0
21,0,105.0
21,1,106.0
21,2,84.0
21,3,83.0
21,4,71.0
21,5,81.0
21,6,68.0
21,7,87.0
21,8,73.0
21,9,108.0
21,10,62.0
21,11,77.0
22,0,66.0
22,1,58.0
22,2,61.0
22,3,76.0
22,4,61.0
22,5,72.0
22,6,43.0
22,7,69.0
22,8,46.0
22,9,54.0
22,10,30.0
22,11,21.0
23,0,22.0
23,1,24.0
23,2,7.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
