时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,1.0
5,11,0.0
6,0,8.0
6,1,4.0
6,2,15.0
6,3,14.0
6,4,43.0
6,5,17.0
6,6,53.0
6,7,79.0
6,8,79.0
6,9,87.0
6,10,108.0
6,11,72.0
7,0,48.0
7,1,69.0
7,2,53.0
7,3,61.0
7,4,76.0
7,5,73.0
7,6,45.0
7,7,82.0
7,8,79.0
7,9,53.0
7,10,62.0
7,11,59.0
8,0,79.0
8,1,95.0
8,2,98.0
8,3,89.0
8,4,102.0
8,5,121.0
8,6,112.0
8,7,129.0
8,8,168.0
8,9,164.0
8,10,160.0
8,11,163.0
9,0,160.0
9,1,152.0
9,2,155.0
9,3,158.0
9,4,132.0
9,5,105.0
9,6,85.0
9,7,138.0
9,8,87.0
9,9,117.0
9,10,139.0
9,11,115.0
10,0,85.0
10,1,68.0
10,2,95.0
10,3,64.0
10,4,71.0
10,5,55.0
10,6,114.0
10,7,70.0
10,8,64.0
10,9,64.0
10,10,78.0
10,11,60.0
11,0,60.0
11,1,60.0
11,2,69.0
11,3,56.0
11,4,54.0
11,5,65.0
11,6,67.0
11,7,63.0
11,8,45.0
11,9,68.0
11,10,63.0
11,11,71.0
12,0,56.0
12,1,35.0
12,2,74.0
12,3,55.0
12,4,53.0
12,5,67.0
12,6,78.0
12,7,52.0
12,8,81.0
12,9,80.0
12,10,108.0
12,11,95.0
13,0,75.0
13,1,82.0
13,2,70.0
13,3,96.0
13,4,66.0
13,5,66.0
13,6,98.0
13,7,91.0
13,8,65.0
13,9,54.0
13,10,78.0
13,11,86.0
14,0,131.0
14,1,109.0
14,2,76.0
14,3,76.0
14,4,67.0
14,5,63.0
14,6,122.0
14,7,58.0
14,8,75.0
14,9,56.0
14,10,87.0
14,11,75.0
15,0,72.0
15,1,61.0
15,2,106.0
15,3,83.0
15,4,65.0
15,5,103.0
15,6,75.0
15,7,98.0
15,8,72.0
15,9,72.0
15,10,94.0
15,11,98.0
16,0,74.0
16,1,85.0
16,2,99.0
16,3,74.0
16,4,80.0
16,5,84.0
16,6,104.0
16,7,102.0
16,8,118.0
16,9,107.0
16,10,90.0
16,11,88.0
17,0,94.0
17,1,134.0
17,2,158.0
17,3,154.0
17,4,126.0
17,5,122.0
17,6,172.0
17,7,183.0
17,8,161.0
17,9,151.0
17,10,127.0
17,11,152.0
18,0,141.0
18,1,146.0
18,2,138.0
18,3,153.0
18,4,210.0
18,5,158.0
18,6,151.0
18,7,145.0
18,8,149.0
18,9,114.0
18,10,84.0
18,11,109.0
19,0,99.0
19,1,80.0
19,2,102.0
19,3,66.0
19,4,93.0
19,5,67.0
19,6,60.0
19,7,46.0
19,8,60.0
19,9,57.0
19,10,70.0
19,11,47.0
20,0,39.0
20,1,68.0
20,2,39.0
20,3,41.0
20,4,64.0
20,5,42.0
20,6,50.0
20,7,55.0
20,8,64.0
20,9,50.0
20,10,44.0
20,11,43.0
21,0,41.0
21,1,67.0
21,2,69.0
21,3,51.0
21,4,44.0
21,5,42.0
21,6,30.0
21,7,61.0
21,8,54.0
21,9,44.0
21,10,43.0
21,11,36.0
22,0,52.0
22,1,73.0
22,2,74.0
22,3,24.0
22,4,24.0
22,5,11.0
22,6,8.0
22,7,7.0
22,8,8.0
22,9,0.0
22,10,2.0
22,11,0.0
23,0,1.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
