时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,7.0
5,4,4.0
5,5,4.0
5,6,8.0
5,7,11.0
5,8,7.0
5,9,15.0
5,10,12.0
5,11,18.0
6,0,62.0
6,1,103.0
6,2,71.0
6,3,85.0
6,4,72.0
6,5,107.0
6,6,127.0
6,7,123.0
6,8,177.0
6,9,156.0
6,10,185.0
6,11,217.0
7,0,267.0
7,1,266.0
7,2,255.0
7,3,283.0
7,4,361.0
7,5,402.0
7,6,346.0
7,7,433.0
7,8,485.0
7,9,522.0
7,10,573.0
7,11,705.0
8,0,837.0
8,1,975.0
8,2,1039.0
8,3,1296.0
8,4,1144.0
8,5,1352.0
8,6,1441.0
8,7,1451.0
8,8,1898.0
8,9,1948.0
8,10,1797.0
8,11,1650.0
9,0,1249.0
9,1,1324.0
9,2,1260.0
9,3,1259.0
9,4,1188.0
9,5,887.0
9,6,806.0
9,7,860.0
9,8,702.0
9,9,716.0
9,10,744.0
9,11,655.0
10,0,464.0
10,1,599.0
10,2,514.0
10,3,538.0
10,4,553.0
10,5,462.0
10,6,493.0
10,7,465.0
10,8,522.0
10,9,490.0
10,10,527.0
10,11,466.0
11,0,450.0
11,1,425.0
11,2,477.0
11,3,456.0
11,4,497.0
11,5,398.0
11,6,397.0
11,7,527.0
11,8,420.0
11,9,457.0
11,10,475.0
11,11,388.0
12,0,476.0
12,1,387.0
12,2,424.0
12,3,419.0
12,4,452.0
12,5,450.0
12,6,440.0
12,7,499.0
12,8,427.0
12,9,452.0
12,10,513.0
12,11,482.0
13,0,455.0
13,1,441.0
13,2,465.0
13,3,438.0
13,4,485.0
13,5,503.0
13,6,442.0
13,7,478.0
13,8,556.0
13,9,513.0
13,10,495.0
13,11,523.0
14,0,544.0
14,1,485.0
14,2,460.0
14,3,493.0
14,4,473.0
14,5,465.0
14,6,406.0
14,7,529.0
14,8,544.0
14,9,482.0
14,10,522.0
14,11,483.0
15,0,504.0
15,1,468.0
15,2,515.0
15,3,455.0
15,4,528.0
15,5,503.0
15,6,482.0
15,7,525.0
15,8,532.0
15,9,471.0
15,10,508.0
15,11,445.0
16,0,524.0
16,1,498.0
16,2,579.0
16,3,497.0
16,4,590.0
16,5,485.0
16,6,568.0
16,7,558.0
16,8,635.0
16,9,598.0
16,10,593.0
16,11,660.0
17,0,752.0
17,1,738.0
17,2,1070.0
17,3,980.0
17,4,937.0
17,5,927.0
17,6,946.0
17,7,1213.0
17,8,1476.0
17,9,1492.0
17,10,1261.0
17,11,1282.0
18,0,1254.0
18,1,1376.0
18,2,1612.0
18,3,1642.0
18,4,1550.0
18,5,1311.0
18,6,1231.0
18,7,1177.0
18,8,1075.0
18,9,1172.0
18,10,1031.0
18,11,943.0
19,0,849.0
19,1,754.0
19,2,849.0
19,3,671.0
19,4,619.0
19,5,642.0
19,6,597.0
19,7,597.0
19,8,532.0
19,9,573.0
19,10,535.0
19,11,546.0
20,0,481.0
20,1,523.0
20,2,473.0
20,3,462.0
20,4,450.0
20,5,432.0
20,6,512.0
20,7,561.0
20,8,413.0
20,9,486.0
20,10,502.0
20,11,446.0
21,0,444.0
21,1,501.0
21,2,514.0
21,3,515.0
21,4,432.0
21,5,417.0
21,6,376.0
21,7,343.0
21,8,322.0
21,9,325.0
21,10,299.0
21,11,281.0
22,0,453.0
22,1,714.0
22,2,623.0
22,3,302.0
22,4,208.0
22,5,183.0
22,6,140.0
22,7,142.0
22,8,121.0
22,9,86.0
22,10,95.0
22,11,46.0
23,0,20.0
23,1,23.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
