时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,3.0
5,6,4.0
5,7,11.0
5,8,19.0
5,9,27.0
5,10,30.0
5,11,20.0
6,0,33.0
6,1,44.0
6,2,38.0
6,3,48.0
6,4,46.0
6,5,47.0
6,6,77.0
6,7,64.0
6,8,82.0
6,9,63.0
6,10,54.0
6,11,93.0
7,0,67.0
7,1,80.0
7,2,121.0
7,3,94.0
7,4,114.0
7,5,152.0
7,6,151.0
7,7,150.0
7,8,132.0
7,9,162.0
7,10,166.0
7,11,211.0
8,0,159.0
8,1,187.0
8,2,183.0
8,3,159.0
8,4,134.0
8,5,162.0
8,6,149.0
8,7,143.0
8,8,172.0
8,9,126.0
8,10,99.0
8,11,92.0
9,0,128.0
9,1,84.0
9,2,92.0
9,3,76.0
9,4,81.0
9,5,55.0
9,6,46.0
9,7,50.0
9,8,37.0
9,9,33.0
9,10,45.0
9,11,26.0
10,0,37.0
10,1,40.0
10,2,22.0
10,3,46.0
10,4,33.0
10,5,14.0
10,6,31.0
10,7,25.0
10,8,14.0
10,9,29.0
10,10,21.0
10,11,21.0
11,0,30.0
11,1,15.0
11,2,27.0
11,3,33.0
11,4,10.0
11,5,21.0
11,6,12.0
11,7,26.0
11,8,36.0
11,9,22.0
11,10,32.0
11,11,32.0
12,0,17.0
12,1,42.0
12,2,16.0
12,3,31.0
12,4,33.0
12,5,15.0
12,6,30.0
12,7,21.0
12,8,23.0
12,9,28.0
12,10,17.0
12,11,28.0
13,0,33.0
13,1,17.0
13,2,39.0
13,3,38.0
13,4,18.0
13,5,31.0
13,6,7.0
13,7,23.0
13,8,28.0
13,9,19.0
13,10,19.0
13,11,29.0
14,0,13.0
14,1,32.0
14,2,17.0
14,3,31.0
14,4,28.0
14,5,17.0
14,6,21.0
14,7,16.0
14,8,32.0
14,9,28.0
14,10,15.0
14,11,41.0
15,0,48.0
15,1,12.0
15,2,23.0
15,3,29.0
15,4,10.0
15,5,35.0
15,6,13.0
15,7,20.0
15,8,27.0
15,9,13.0
15,10,33.0
15,11,35.0
16,0,15.0
16,1,61.0
16,2,36.0
16,3,51.0
16,4,39.0
16,5,37.0
16,6,53.0
16,7,49.0
16,8,45.0
16,9,52.0
16,10,57.0
16,11,82.0
17,0,46.0
17,1,88.0
17,2,64.0
17,3,73.0
17,4,105.0
17,5,88.0
17,6,91.0
17,7,86.0
17,8,96.0
17,9,138.0
17,10,71.0
17,11,124.0
18,0,93.0
18,1,129.0
18,2,134.0
18,3,114.0
18,4,104.0
18,5,125.0
18,6,117.0
18,7,139.0
18,8,135.0
18,9,125.0
18,10,101.0
18,11,114.0
19,0,77.0
19,1,108.0
19,2,93.0
19,3,89.0
19,4,53.0
19,5,66.0
19,6,64.0
19,7,72.0
19,8,68.0
19,9,27.0
19,10,73.0
19,11,51.0
20,0,46.0
20,1,46.0
20,2,48.0
20,3,10.0
20,4,57.0
20,5,35.0
20,6,74.0
20,7,11.0
20,8,48.0
20,9,26.0
20,10,9.0
20,11,76.0
21,0,1.0
21,1,67.0
21,2,43.0
21,3,11.0
21,4,52.0
21,5,3.0
21,6,65.0
21,7,5.0
21,8,61.0
21,9,49.0
21,10,62.0
21,11,9.0
22,0,59.0
22,1,2.0
22,2,71.0
22,3,1.0
22,4,51.0
22,5,5.0
22,6,51.0
22,7,67.0
22,8,37.0
22,9,29.0
22,10,22.0
22,11,20.0
23,0,13.0
23,1,13.0
23,2,12.0
23,3,6.0
23,4,7.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
