时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,5.0
5,7,2.0
5,8,3.0
5,9,10.0
5,10,11.0
5,11,16.0
6,0,30.0
6,1,23.0
6,2,31.0
6,3,39.0
6,4,51.0
6,5,45.0
6,6,67.0
6,7,66.0
6,8,85.0
6,9,115.0
6,10,216.0
6,11,135.0
7,0,198.0
7,1,175.0
7,2,234.0
7,3,125.0
7,4,161.0
7,5,142.0
7,6,216.0
7,7,184.0
7,8,179.0
7,9,276.0
7,10,250.0
7,11,281.0
8,0,399.0
8,1,441.0
8,2,542.0
8,3,558.0
8,4,711.0
8,5,579.0
8,6,708.0
8,7,797.0
8,8,884.0
8,9,1050.0
8,10,982.0
8,11,788.0
9,0,721.0
9,1,604.0
9,2,649.0
9,3,619.0
9,4,557.0
9,5,422.0
9,6,386.0
9,7,348.0
9,8,232.0
9,9,504.0
9,10,364.0
9,11,295.0
10,0,326.0
10,1,230.0
10,2,214.0
10,3,199.0
10,4,227.0
10,5,201.0
10,6,176.0
10,7,166.0
10,8,185.0
10,9,197.0
10,10,169.0
10,11,144.0
11,0,182.0
11,1,158.0
11,2,144.0
11,3,146.0
11,4,155.0
11,5,179.0
11,6,178.0
11,7,135.0
11,8,201.0
11,9,183.0
11,10,162.0
11,11,145.0
12,0,165.0
12,1,160.0
12,2,148.0
12,3,146.0
12,4,147.0
12,5,171.0
12,6,152.0
12,7,155.0
12,8,142.0
12,9,206.0
12,10,161.0
12,11,159.0
13,0,179.0
13,1,169.0
13,2,193.0
13,3,150.0
13,4,200.0
13,5,170.0
13,6,140.0
13,7,188.0
13,8,174.0
13,9,185.0
13,10,143.0
13,11,187.0
14,0,134.0
14,1,176.0
14,2,187.0
14,3,133.0
14,4,149.0
14,5,196.0
14,6,127.0
14,7,132.0
14,8,145.0
14,9,163.0
14,10,114.0
14,11,163.0
15,0,147.0
15,1,133.0
15,2,169.0
15,3,152.0
15,4,161.0
15,5,158.0
15,6,170.0
15,7,125.0
15,8,194.0
15,9,176.0
15,10,185.0
15,11,185.0
16,0,187.0
16,1,151.0
16,2,175.0
16,3,177.0
16,4,210.0
16,5,276.0
16,6,288.0
16,7,243.0
16,8,275.0
16,9,253.0
16,10,260.0
16,11,309.0
17,0,310.0
17,1,468.0
17,2,524.0
17,3,428.0
17,4,404.0
17,5,347.0
17,6,441.0
17,7,651.0
17,8,825.0
17,9,684.0
17,10,491.0
17,11,489.0
18,0,475.0
18,1,754.0
18,2,1021.0
18,3,962.0
18,4,691.0
18,5,613.0
18,6,537.0
18,7,489.0
18,8,519.0
18,9,410.0
18,10,377.0
18,11,385.0
19,0,311.0
19,1,321.0
19,2,295.0
19,3,244.0
19,4,257.0
19,5,206.0
19,6,201.0
19,7,227.0
19,8,208.0
19,9,190.0
19,10,175.0
19,11,153.0
20,0,186.0
20,1,211.0
20,2,179.0
20,3,178.0
20,4,152.0
20,5,199.0
20,6,135.0
20,7,147.0
20,8,154.0
20,9,123.0
20,10,162.0
20,11,168.0
21,0,193.0
21,1,230.0
21,2,202.0
21,3,176.0
21,4,143.0
21,5,151.0
21,6,187.0
21,7,157.0
21,8,131.0
21,9,149.0
21,10,131.0
21,11,103.0
22,0,82.0
22,1,120.0
22,2,96.0
22,3,108.0
22,4,105.0
22,5,93.0
22,6,79.0
22,7,71.0
22,8,52.0
22,9,39.0
22,10,22.0
22,11,22.0
23,0,11.0
23,1,2.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
