时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,2.0
5,2,5.0
5,3,5.0
5,4,18.0
5,5,19.0
5,6,17.0
5,7,17.0
5,8,17.0
5,9,26.0
5,10,18.0
5,11,33.0
6,0,35.0
6,1,39.0
6,2,48.0
6,3,53.0
6,4,46.0
6,5,90.0
6,6,90.0
6,7,96.0
6,8,144.0
6,9,121.0
6,10,126.0
6,11,136.0
7,0,189.0
7,1,183.0
7,2,169.0
7,3,210.0
7,4,181.0
7,5,211.0
7,6,218.0
7,7,224.0
7,8,269.0
7,9,282.0
7,10,224.0
7,11,275.0
8,0,263.0
8,1,268.0
8,2,292.0
8,3,230.0
8,4,233.0
8,5,252.0
8,6,224.0
8,7,189.0
8,8,157.0
8,9,177.0
8,10,153.0
8,11,121.0
9,0,139.0
9,1,127.0
9,2,101.0
9,3,106.0
9,4,83.0
9,5,91.0
9,6,86.0
9,7,88.0
9,8,92.0
9,9,87.0
9,10,64.0
9,11,69.0
10,0,60.0
10,1,74.0
10,2,58.0
10,3,64.0
10,4,54.0
10,5,59.0
10,6,57.0
10,7,31.0
10,8,83.0
10,9,23.0
10,10,68.0
10,11,44.0
11,0,73.0
11,1,62.0
11,2,36.0
11,3,61.0
11,4,21.0
11,5,71.0
11,6,52.0
11,7,21.0
11,8,77.0
11,9,60.0
11,10,44.0
11,11,73.0
12,0,41.0
12,1,62.0
12,2,63.0
12,3,37.0
12,4,62.0
12,5,53.0
12,6,44.0
12,7,63.0
12,8,37.0
12,9,80.0
12,10,71.0
12,11,25.0
13,0,69.0
13,1,68.0
13,2,35.0
13,3,60.0
13,4,33.0
13,5,74.0
13,6,67.0
13,7,34.0
13,8,90.0
13,9,18.0
13,10,74.0
13,11,67.0
14,0,25.0
14,1,62.0
14,2,80.0
14,3,17.0
14,4,68.0
14,5,49.0
14,6,42.0
14,7,65.0
14,8,19.0
14,9,60.0
14,10,85.0
14,11,28.0
15,0,77.0
15,1,78.0
15,2,34.0
15,3,80.0
15,4,19.0
15,5,95.0
15,6,78.0
15,7,32.0
15,8,76.0
15,9,100.0
15,10,38.0
15,11,83.0
16,0,63.0
16,1,72.0
16,2,79.0
16,3,32.0
16,4,161.0
16,5,129.0
16,6,46.0
16,7,151.0
16,8,73.0
16,9,151.0
16,10,178.0
16,11,70.0
17,0,191.0
17,1,210.0
17,2,82.0
17,3,239.0
17,4,85.0
17,5,191.0
17,6,217.0
17,7,178.0
17,8,132.0
17,9,84.0
17,10,157.0
17,11,177.0
18,0,208.0
18,1,230.0
18,2,206.0
18,3,231.0
18,4,236.0
18,5,238.0
18,6,196.0
18,7,60.0
18,8,286.0
18,9,176.0
18,10,216.0
18,11,234.0
19,0,211.0
19,1,187.0
19,2,182.0
19,3,170.0
19,4,129.0
19,5,186.0
19,6,55.0
19,7,92.0
19,8,117.0
19,9,109.0
19,10,112.0
19,11,94.0
20,0,74.0
20,1,63.0
20,2,83.0
20,3,65.0
20,4,35.0
20,5,81.0
20,6,33.0
20,7,52.0
20,8,73.0
20,9,67.0
20,10,58.0
20,11,51.0
21,0,50.0
21,1,106.0
21,2,7.0
21,3,69.0
21,4,70.0
21,5,25.0
21,6,85.0
21,7,9.0
21,8,73.0
21,9,10.0
21,10,75.0
21,11,12.0
22,0,79.0
22,1,71.0
22,2,11.0
22,3,76.0
22,4,7.0
22,5,82.0
22,6,0.0
22,7,62.0
22,8,49.0
22,9,43.0
22,10,36.0
22,11,23.0
23,0,38.0
23,1,12.0
23,2,25.0
23,3,10.0
23,4,15.0
23,5,7.0
23,6,3.0
23,7,6.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
