时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,1.0
5,2,3.0
5,3,14.0
5,4,34.0
5,5,29.0
5,6,33.0
5,7,28.0
5,8,26.0
5,9,39.0
5,10,40.0
5,11,55.0
6,0,43.0
6,1,48.0
6,2,61.0
6,3,98.0
6,4,107.0
6,5,148.0
6,6,123.0
6,7,163.0
6,8,139.0
6,9,183.0
6,10,273.0
6,11,202.0
7,0,318.0
7,1,228.0
7,2,353.0
7,3,439.0
7,4,371.0
7,5,456.0
7,6,448.0
7,7,502.0
7,8,540.0
7,9,414.0
7,10,534.0
7,11,601.0
8,0,459.0
8,1,567.0
8,2,458.0
8,3,415.0
8,4,387.0
8,5,349.0
8,6,324.0
8,7,306.0
8,8,258.0
8,9,237.0
8,10,220.0
8,11,184.0
9,0,189.0
9,1,158.0
9,2,141.0
9,3,127.0
9,4,115.0
9,5,122.0
9,6,82.0
9,7,137.0
9,8,70.0
9,9,98.0
9,10,92.0
9,11,83.0
10,0,76.0
10,1,67.0
10,2,65.0
10,3,64.0
10,4,54.0
10,5,73.0
10,6,51.0
10,7,46.0
10,8,65.0
10,9,34.0
10,10,74.0
10,11,38.0
11,0,92.0
11,1,30.0
11,2,65.0
11,3,86.0
11,4,41.0
11,5,75.0
11,6,53.0
11,7,74.0
11,8,65.0
11,9,27.0
11,10,75.0
11,11,72.0
12,0,41.0
12,1,74.0
12,2,44.0
12,3,68.0
12,4,84.0
12,5,52.0
12,6,75.0
12,7,81.0
12,8,36.0
12,9,82.0
12,10,41.0
12,11,91.0
13,0,85.0
13,1,35.0
13,2,81.0
13,3,70.0
13,4,42.0
13,5,61.0
13,6,30.0
13,7,84.0
13,8,61.0
13,9,29.0
13,10,79.0
13,11,34.0
14,0,44.0
14,1,64.0
14,2,34.0
14,3,73.0
14,4,74.0
14,5,24.0
14,6,80.0
14,7,59.0
14,8,28.0
14,9,64.0
14,10,21.0
14,11,76.0
15,0,74.0
15,1,33.0
15,2,76.0
15,3,67.0
15,4,36.0
15,5,87.0
15,6,35.0
15,7,89.0
15,8,106.0
15,9,31.0
15,10,114.0
15,11,26.0
16,0,129.0
16,1,111.0
16,2,41.0
16,3,110.0
16,4,116.0
16,5,39.0
16,6,128.0
16,7,133.0
16,8,95.0
16,9,215.0
16,10,79.0
16,11,162.0
17,0,222.0
17,1,78.0
17,2,225.0
17,3,248.0
17,4,196.0
17,5,108.0
17,6,144.0
17,7,249.0
17,8,190.0
17,9,232.0
17,10,234.0
17,11,236.0
18,0,239.0
18,1,240.0
18,2,226.0
18,3,151.0
18,4,269.0
18,5,268.0
18,6,271.0
18,7,325.0
18,8,262.0
18,9,269.0
18,10,269.0
18,11,266.0
19,0,294.0
19,1,135.0
19,2,244.0
19,3,126.0
19,4,173.0
19,5,164.0
19,6,166.0
19,7,171.0
19,8,132.0
19,9,151.0
19,10,131.0
19,11,82.0
20,0,98.0
20,1,68.0
20,2,71.0
20,3,62.0
20,4,146.0
20,5,71.0
20,6,34.0
20,7,81.0
20,8,93.0
20,9,12.0
20,10,127.0
20,11,85.0
21,0,69.0
21,1,26.0
21,2,94.0
21,3,89.0
21,4,10.0
21,5,128.0
21,6,19.0
21,7,113.0
21,8,94.0
21,9,56.0
21,10,125.0
21,11,8.0
22,0,114.0
22,1,4.0
22,2,121.0
22,3,6.0
22,4,82.0
22,5,77.0
22,6,2.0
22,7,98.0
22,8,59.0
22,9,53.0
22,10,54.0
22,11,36.0
23,0,38.0
23,1,22.0
23,2,24.0
23,3,20.0
23,4,16.0
23,5,10.0
23,6,8.0
23,7,5.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
