时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,2.0
5,2,1.0
5,3,5.0
5,4,7.0
5,5,16.0
5,6,24.0
5,7,20.0
5,8,14.0
5,9,24.0
5,10,22.0
5,11,25.0
6,0,39.0
6,1,31.0
6,2,60.0
6,3,70.0
6,4,59.0
6,5,96.0
6,6,84.0
6,7,127.0
6,8,123.0
6,9,142.0
6,10,141.0
6,11,182.0
7,0,162.0
7,1,222.0
7,2,186.0
7,3,262.0
7,4,272.0
7,5,284.0
7,6,355.0
7,7,354.0
7,8,389.0
7,9,396.0
7,10,444.0
7,11,410.0
8,0,464.0
8,1,458.0
8,2,522.0
8,3,406.0
8,4,440.0
8,5,363.0
8,6,408.0
8,7,364.0
8,8,317.0
8,9,274.0
8,10,268.0
8,11,179.0
9,0,166.0
9,1,167.0
9,2,166.0
9,3,149.0
9,4,121.0
9,5,139.0
9,6,115.0
9,7,105.0
9,8,90.0
9,9,95.0
9,10,61.0
9,11,78.0
10,0,80.0
10,1,61.0
10,2,93.0
10,3,70.0
10,4,63.0
10,5,78.0
10,6,99.0
10,7,58.0
10,8,53.0
10,9,59.0
10,10,68.0
10,11,50.0
11,0,56.0
11,1,60.0
11,2,82.0
11,3,56.0
11,4,44.0
11,5,85.0
11,6,86.0
11,7,64.0
11,8,59.0
11,9,53.0
11,10,75.0
11,11,68.0
12,0,61.0
12,1,62.0
12,2,70.0
12,3,63.0
12,4,61.0
12,5,63.0
12,6,81.0
12,7,56.0
12,8,50.0
12,9,53.0
12,10,68.0
12,11,71.0
13,0,61.0
13,1,59.0
13,2,57.0
13,3,93.0
13,4,46.0
13,5,56.0
13,6,89.0
13,7,31.0
13,8,61.0
13,9,72.0
13,10,69.0
13,11,68.0
14,0,33.0
14,1,39.0
14,2,54.0
14,3,67.0
14,4,55.0
14,5,42.0
14,6,52.0
14,7,64.0
14,8,52.0
14,9,69.0
14,10,57.0
14,11,76.0
15,0,65.0
15,1,58.0
15,2,64.0
15,3,98.0
15,4,61.0
15,5,61.0
15,6,97.0
15,7,84.0
15,8,69.0
15,9,54.0
15,10,94.0
15,11,107.0
16,0,83.0
16,1,85.0
16,2,137.0
16,3,76.0
16,4,115.0
16,5,106.0
16,6,130.0
16,7,126.0
16,8,112.0
16,9,126.0
16,10,194.0
16,11,148.0
17,0,152.0
17,1,181.0
17,2,195.0
17,3,188.0
17,4,203.0
17,5,170.0
17,6,181.0
17,7,189.0
17,8,210.0
17,9,215.0
17,10,185.0
17,11,233.0
18,0,248.0
18,1,224.0
18,2,222.0
18,3,293.0
18,4,176.0
18,5,285.0
18,6,260.0
18,7,246.0
18,8,257.0
18,9,236.0
18,10,234.0
18,11,271.0
19,0,245.0
19,1,227.0
19,2,113.0
19,3,284.0
19,4,188.0
19,5,183.0
19,6,149.0
19,7,138.0
19,8,116.0
19,9,88.0
19,10,137.0
19,11,111.0
20,0,108.0
20,1,63.0
20,2,138.0
20,3,115.0
20,4,83.0
20,5,90.0
20,6,66.0
20,7,114.0
20,8,83.0
20,9,76.0
20,10,95.0
20,11,71.0
21,0,67.0
21,1,87.0
21,2,90.0
21,3,95.0
21,4,78.0
21,5,62.0
21,6,69.0
21,7,62.0
21,8,106.0
21,9,68.0
21,10,95.0
21,11,76.0
22,0,71.0
22,1,62.0
22,2,53.0
22,3,78.0
22,4,45.0
22,5,42.0
22,6,50.0
22,7,79.0
22,8,41.0
22,9,51.0
22,10,30.0
22,11,51.0
23,0,4.0
23,1,33.0
23,2,10.0
23,3,11.0
23,4,20.0
23,5,4.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
