时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,5.0
5,5,6.0
5,6,4.0
5,7,10.0
5,8,30.0
5,9,55.0
5,10,45.0
5,11,48.0
6,0,49.0
6,1,67.0
6,2,69.0
6,3,74.0
6,4,117.0
6,5,141.0
6,6,149.0
6,7,175.0
6,8,196.0
6,9,177.0
6,10,214.0
6,11,226.0
7,0,241.0
7,1,296.0
7,2,318.0
7,3,283.0
7,4,290.0
7,5,371.0
7,6,409.0
7,7,448.0
7,8,444.0
7,9,530.0
7,10,465.0
7,11,461.0
8,0,545.0
8,1,518.0
8,2,529.0
8,3,431.0
8,4,467.0
8,5,486.0
8,6,380.0
8,7,477.0
8,8,365.0
8,9,400.0
8,10,388.0
8,11,349.0
9,0,350.0
9,1,301.0
9,2,258.0
9,3,297.0
9,4,203.0
9,5,252.0
9,6,206.0
9,7,197.0
9,8,162.0
9,9,127.0
9,10,171.0
9,11,156.0
10,0,148.0
10,1,148.0
10,2,127.0
10,3,114.0
10,4,102.0
10,5,108.0
10,6,156.0
10,7,102.0
10,8,99.0
10,9,106.0
10,10,157.0
10,11,82.0
11,0,109.0
11,1,70.0
11,2,135.0
11,3,98.0
11,4,72.0
11,5,69.0
11,6,107.0
11,7,72.0
11,8,82.0
11,9,64.0
11,10,119.0
11,11,89.0
12,0,85.0
12,1,98.0
12,2,134.0
12,3,106.0
12,4,76.0
12,5,97.0
12,6,121.0
12,7,101.0
12,8,80.0
12,9,96.0
12,10,128.0
12,11,89.0
13,0,89.0
13,1,113.0
13,2,66.0
13,3,145.0
13,4,91.0
13,5,89.0
13,6,120.0
13,7,77.0
13,8,90.0
13,9,87.0
13,10,102.0
13,11,83.0
14,0,81.0
14,1,79.0
14,2,104.0
14,3,103.0
14,4,77.0
14,5,53.0
14,6,94.0
14,7,94.0
14,8,90.0
14,9,81.0
14,10,75.0
14,11,115.0
15,0,83.0
15,1,76.0
15,2,145.0
15,3,118.0
15,4,99.0
15,5,103.0
15,6,179.0
15,7,124.0
15,8,119.0
15,9,98.0
15,10,190.0
15,11,138.0
16,0,125.0
16,1,122.0
16,2,151.0
16,3,152.0
16,4,127.0
16,5,152.0
16,6,231.0
16,7,196.0
16,8,156.0
16,9,180.0
16,10,217.0
16,11,185.0
17,0,290.0
17,1,211.0
17,2,244.0
17,3,227.0
17,4,276.0
17,5,334.0
17,6,296.0
17,7,303.0
17,8,272.0
17,9,291.0
17,10,360.0
17,11,321.0
18,0,290.0
18,1,281.0
18,2,387.0
18,3,347.0
18,4,366.0
18,5,345.0
18,6,320.0
18,7,314.0
18,8,359.0
18,9,359.0
18,10,219.0
18,11,178.0
19,0,138.0
19,1,472.0
19,2,283.0
19,3,221.0
19,4,183.0
19,5,191.0
19,6,140.0
19,7,161.0
19,8,192.0
19,9,168.0
19,10,142.0
19,11,94.0
20,0,155.0
20,1,151.0
20,2,129.0
20,3,133.0
20,4,106.0
20,5,101.0
20,6,123.0
20,7,98.0
20,8,98.0
20,9,142.0
20,10,116.0
20,11,110.0
21,0,83.0
21,1,131.0
21,2,141.0
21,3,111.0
21,4,106.0
21,5,96.0
21,6,78.0
21,7,79.0
21,8,111.0
21,9,130.0
21,10,106.0
21,11,77.0
22,0,74.0
22,1,64.0
22,2,81.0
22,3,60.0
22,4,90.0
22,5,70.0
22,6,128.0
22,7,76.0
22,8,59.0
22,9,45.0
22,10,35.0
22,11,13.0
23,0,39.0
23,1,15.0
23,2,26.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
