时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,1.0
5,7,3.0
5,8,7.0
5,9,6.0
5,10,10.0
5,11,14.0
6,0,6.0
6,1,30.0
6,2,19.0
6,3,34.0
6,4,28.0
6,5,42.0
6,6,52.0
6,7,48.0
6,8,83.0
6,9,53.0
6,10,99.0
6,11,128.0
7,0,106.0
7,1,121.0
7,2,126.0
7,3,101.0
7,4,96.0
7,5,113.0
7,6,131.0
7,7,132.0
7,8,182.0
7,9,150.0
7,10,217.0
7,11,240.0
8,0,252.0
8,1,276.0
8,2,357.0
8,3,365.0
8,4,342.0
8,5,363.0
8,6,405.0
8,7,423.0
8,8,471.0
8,9,438.0
8,10,475.0
8,11,434.0
9,0,372.0
9,1,333.0
9,2,243.0
9,3,299.0
9,4,283.0
9,5,221.0
9,6,259.0
9,7,181.0
9,8,181.0
9,9,196.0
9,10,181.0
9,11,214.0
10,0,144.0
10,1,197.0
10,2,171.0
10,3,147.0
10,4,152.0
10,5,133.0
10,6,122.0
10,7,106.0
10,8,150.0
10,9,109.0
10,10,135.0
10,11,121.0
11,0,86.0
11,1,124.0
11,2,131.0
11,3,123.0
11,4,131.0
11,5,111.0
11,6,110.0
11,7,113.0
11,8,112.0
11,9,142.0
11,10,142.0
11,11,126.0
12,0,76.0
12,1,113.0
12,2,141.0
12,3,114.0
12,4,118.0
12,5,118.0
12,6,124.0
12,7,134.0
12,8,137.0
12,9,120.0
12,10,158.0
12,11,106.0
13,0,116.0
13,1,141.0
13,2,157.0
13,3,127.0
13,4,144.0
13,5,110.0
13,6,133.0
13,7,151.0
13,8,110.0
13,9,125.0
13,10,154.0
13,11,108.0
14,0,122.0
14,1,127.0
14,2,123.0
14,3,149.0
14,4,136.0
14,5,128.0
14,6,111.0
14,7,144.0
14,8,125.0
14,9,131.0
14,10,132.0
14,11,119.0
15,0,125.0
15,1,134.0
15,2,140.0
15,3,151.0
15,4,147.0
15,5,129.0
15,6,153.0
15,7,135.0
15,8,117.0
15,9,141.0
15,10,156.0
15,11,140.0
16,0,138.0
16,1,172.0
16,2,217.0
16,3,178.0
16,4,148.0
16,5,160.0
16,6,178.0
16,7,165.0
16,8,192.0
16,9,198.0
16,10,220.0
16,11,194.0
17,0,227.0
17,1,292.0
17,2,307.0
17,3,299.0
17,4,287.0
17,5,272.0
17,6,292.0
17,7,334.0
17,8,408.0
17,9,355.0
17,10,398.0
17,11,286.0
18,0,303.0
18,1,374.0
18,2,396.0
18,3,406.0
18,4,384.0
18,5,383.0
18,6,311.0
18,7,299.0
18,8,296.0
18,9,272.0
18,10,241.0
18,11,245.0
19,0,256.0
19,1,239.0
19,2,235.0
19,3,209.0
19,4,180.0
19,5,179.0
19,6,181.0
19,7,153.0
19,8,168.0
19,9,159.0
19,10,198.0
19,11,138.0
20,0,135.0
20,1,157.0
20,2,134.0
20,3,150.0
20,4,140.0
20,5,137.0
20,6,158.0
20,7,155.0
20,8,156.0
20,9,134.0
20,10,123.0
20,11,120.0
21,0,118.0
21,1,144.0
21,2,145.0
21,3,130.0
21,4,146.0
21,5,117.0
21,6,127.0
21,7,100.0
21,8,128.0
21,9,114.0
21,10,85.0
21,11,137.0
22,0,137.0
22,1,205.0
22,2,123.0
22,3,96.0
22,4,66.0
22,5,55.0
22,6,41.0
22,7,56.0
22,8,36.0
22,9,29.0
22,10,17.0
22,11,13.0
23,0,16.0
23,1,6.0
23,2,1.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
