时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,2.0
5,6,2.0
5,7,8.0
5,8,17.0
5,9,10.0
5,10,11.0
5,11,26.0
6,0,38.0
6,1,21.0
6,2,34.0
6,3,51.0
6,4,61.0
6,5,61.0
6,6,72.0
6,7,104.0
6,8,95.0
6,9,112.0
6,10,133.0
6,11,169.0
7,0,187.0
7,1,223.0
7,2,216.0
7,3,246.0
7,4,291.0
7,5,282.0
7,6,311.0
7,7,314.0
7,8,358.0
7,9,360.0
7,10,386.0
7,11,390.0
8,0,467.0
8,1,498.0
8,2,551.0
8,3,535.0
8,4,517.0
8,5,515.0
8,6,462.0
8,7,482.0
8,8,439.0
8,9,369.0
8,10,347.0
8,11,310.0
9,0,250.0
9,1,256.0
9,2,271.0
9,3,224.0
9,4,189.0
9,5,159.0
9,6,168.0
9,7,136.0
9,8,173.0
9,9,155.0
9,10,97.0
9,11,111.0
10,0,96.0
10,1,117.0
10,2,108.0
10,3,89.0
10,4,81.0
10,5,86.0
10,6,90.0
10,7,85.0
10,8,74.0
10,9,69.0
10,10,73.0
10,11,76.0
11,0,58.0
11,1,94.0
11,2,88.0
11,3,82.0
11,4,78.0
11,5,65.0
11,6,88.0
11,7,99.0
11,8,82.0
11,9,79.0
11,10,61.0
11,11,64.0
12,0,84.0
12,1,72.0
12,2,75.0
12,3,77.0
12,4,86.0
12,5,75.0
12,6,83.0
12,7,74.0
12,8,68.0
12,9,84.0
12,10,72.0
12,11,80.0
13,0,91.0
13,1,56.0
13,2,100.0
13,3,87.0
13,4,75.0
13,5,83.0
13,6,73.0
13,7,79.0
13,8,92.0
13,9,75.0
13,10,64.0
13,11,71.0
14,0,98.0
14,1,92.0
14,2,84.0
14,3,75.0
14,4,76.0
14,5,84.0
14,6,91.0
14,7,75.0
14,8,77.0
14,9,72.0
14,10,86.0
14,11,82.0
15,0,120.0
15,1,84.0
15,2,113.0
15,3,108.0
15,4,118.0
15,5,77.0
15,6,102.0
15,7,105.0
15,8,92.0
15,9,118.0
15,10,75.0
15,11,131.0
16,0,103.0
16,1,100.0
16,2,119.0
16,3,121.0
16,4,150.0
16,5,125.0
16,6,100.0
16,7,166.0
16,8,189.0
16,9,172.0
16,10,149.0
16,11,194.0
17,0,181.0
17,1,226.0
17,2,274.0
17,3,267.0
17,4,198.0
17,5,249.0
17,6,263.0
17,7,279.0
17,8,312.0
17,9,278.0
17,10,266.0
17,11,270.0
18,0,302.0
18,1,317.0
18,2,245.0
18,3,302.0
18,4,302.0
18,5,328.0
18,6,352.0
18,7,315.0
18,8,245.0
18,9,272.0
18,10,287.0
18,11,268.0
19,0,228.0
19,1,286.0
19,2,171.0
19,3,155.0
19,4,190.0
19,5,144.0
19,6,158.0
19,7,126.0
19,8,143.0
19,9,128.0
19,10,112.0
19,11,106.0
20,0,119.0
20,1,99.0
20,2,103.0
20,3,131.0
20,4,111.0
20,5,101.0
20,6,97.0
20,7,78.0
20,8,123.0
20,9,88.0
20,10,101.0
20,11,95.0
21,0,118.0
21,1,82.0
21,2,91.0
21,3,102.0
21,4,70.0
21,5,101.0
21,6,128.0
21,7,93.0
21,8,105.0
21,9,92.0
21,10,84.0
21,11,75.0
22,0,72.0
22,1,59.0
22,2,68.0
22,3,105.0
22,4,82.0
22,5,63.0
22,6,55.0
22,7,49.0
22,8,34.0
22,9,44.0
22,10,37.0
22,11,22.0
23,0,15.0
23,1,13.0
23,2,10.0
23,3,10.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
