时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,1.0
5,6,9.0
5,7,9.0
5,8,19.0
5,9,20.0
5,10,21.0
5,11,25.0
6,0,28.0
6,1,44.0
6,2,49.0
6,3,52.0
6,4,67.0
6,5,83.0
6,6,107.0
6,7,119.0
6,8,138.0
6,9,165.0
6,10,155.0
6,11,150.0
7,0,202.0
7,1,162.0
7,2,194.0
7,3,262.0
7,4,238.0
7,5,277.0
7,6,312.0
7,7,396.0
7,8,400.0
7,9,497.0
7,10,423.0
7,11,521.0
8,0,594.0
8,1,562.0
8,2,553.0
8,3,652.0
8,4,656.0
8,5,562.0
8,6,497.0
8,7,491.0
8,8,468.0
8,9,438.0
8,10,377.0
8,11,386.0
9,0,292.0
9,1,338.0
9,2,250.0
9,3,258.0
9,4,211.0
9,5,197.0
9,6,176.0
9,7,153.0
9,8,147.0
9,9,125.0
9,10,108.0
9,11,88.0
10,0,118.0
10,1,104.0
10,2,67.0
10,3,87.0
10,4,89.0
10,5,122.0
10,6,78.0
10,7,68.0
10,8,93.0
10,9,64.0
10,10,69.0
10,11,74.0
11,0,66.0
11,1,89.0
11,2,77.0
11,3,64.0
11,4,92.0
11,5,71.0
11,6,62.0
11,7,60.0
11,8,47.0
11,9,81.0
11,10,60.0
11,11,87.0
12,0,77.0
12,1,88.0
12,2,73.0
12,3,72.0
12,4,89.0
12,5,83.0
12,6,64.0
12,7,94.0
12,8,68.0
12,9,102.0
12,10,59.0
12,11,83.0
13,0,79.0
13,1,81.0
13,2,68.0
13,3,73.0
13,4,65.0
13,5,67.0
13,6,70.0
13,7,36.0
13,8,72.0
13,9,90.0
13,10,62.0
13,11,58.0
14,0,99.0
14,1,58.0
14,2,52.0
14,3,53.0
14,4,93.0
14,5,81.0
14,6,71.0
14,7,66.0
14,8,57.0
14,9,81.0
14,10,62.0
14,11,63.0
15,0,70.0
15,1,92.0
15,2,71.0
15,3,68.0
15,4,61.0
15,5,92.0
15,6,78.0
15,7,80.0
15,8,65.0
15,9,110.0
15,10,92.0
15,11,83.0
16,0,110.0
16,1,112.0
16,2,92.0
16,3,119.0
16,4,95.0
16,5,136.0
16,6,96.0
16,7,100.0
16,8,116.0
16,9,148.0
16,10,122.0
16,11,127.0
17,0,174.0
17,1,223.0
17,2,199.0
17,3,187.0
17,4,207.0
17,5,218.0
17,6,241.0
17,7,221.0
17,8,271.0
17,9,354.0
17,10,265.0
17,11,292.0
18,0,307.0
18,1,256.0
18,2,377.0
18,3,416.0
18,4,391.0
18,5,314.0
18,6,285.0
18,7,373.0
18,8,419.0
18,9,455.0
18,10,220.0
18,11,353.0
19,0,112.0
19,1,433.0
19,2,370.0
19,3,263.0
19,4,213.0
19,5,203.0
19,6,174.0
19,7,184.0
19,8,185.0
19,9,164.0
19,10,195.0
19,11,127.0
20,0,134.0
20,1,174.0
20,2,107.0
20,3,117.0
20,4,128.0
20,5,94.0
20,6,98.0
20,7,119.0
20,8,124.0
20,9,127.0
20,10,176.0
20,11,88.0
21,0,141.0
21,1,111.0
21,2,101.0
21,3,107.0
21,4,114.0
21,5,128.0
21,6,143.0
21,7,131.0
21,8,104.0
21,9,110.0
21,10,127.0
21,11,99.0
22,0,92.0
22,1,99.0
22,2,118.0
22,3,101.0
22,4,85.0
22,5,89.0
22,6,119.0
22,7,98.0
22,8,66.0
22,9,76.0
22,10,49.0
22,11,53.0
23,0,27.0
23,1,19.0
23,2,11.0
23,3,13.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
