时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,3.0
5,4,6.0
5,5,13.0
5,6,19.0
5,7,25.0
5,8,14.0
5,9,23.0
5,10,31.0
5,11,34.0
6,0,34.0
6,1,38.0
6,2,48.0
6,3,46.0
6,4,55.0
6,5,61.0
6,6,98.0
6,7,90.0
6,8,92.0
6,9,112.0
6,10,149.0
6,11,131.0
7,0,163.0
7,1,186.0
7,2,172.0
7,3,297.0
7,4,228.0
7,5,322.0
7,6,289.0
7,7,398.0
7,8,408.0
7,9,382.0
7,10,462.0
7,11,588.0
8,0,396.0
8,1,527.0
8,2,397.0
8,3,433.0
8,4,372.0
8,5,444.0
8,6,399.0
8,7,304.0
8,8,356.0
8,9,337.0
8,10,250.0
8,11,235.0
9,0,182.0
9,1,177.0
9,2,147.0
9,3,182.0
9,4,149.0
9,5,95.0
9,6,133.0
9,7,97.0
9,8,72.0
9,9,92.0
9,10,74.0
9,11,102.0
10,0,107.0
10,1,89.0
10,2,34.0
10,3,77.0
10,4,28.0
10,5,110.0
10,6,74.0
10,7,22.0
10,8,82.0
10,9,52.0
10,10,107.0
10,11,76.0
11,0,32.0
11,1,105.0
11,2,79.0
11,3,33.0
11,4,56.0
11,5,62.0
11,6,57.0
11,7,82.0
11,8,21.0
11,9,74.0
11,10,85.0
11,11,29.0
12,0,70.0
12,1,59.0
12,2,90.0
12,3,77.0
12,4,44.0
12,5,119.0
12,6,76.0
12,7,42.0
12,8,101.0
12,9,45.0
12,10,77.0
12,11,91.0
13,0,48.0
13,1,96.0
13,2,80.0
13,3,28.0
13,4,92.0
13,5,57.0
13,6,61.0
13,7,89.0
13,8,28.0
13,9,64.0
13,10,92.0
13,11,32.0
14,0,68.0
14,1,31.0
14,2,89.0
14,3,85.0
14,4,25.0
14,5,90.0
14,6,81.0
14,7,27.0
14,8,75.0
14,9,29.0
14,10,84.0
14,11,68.0
15,0,24.0
15,1,98.0
15,2,86.0
15,3,74.0
15,4,81.0
15,5,58.0
15,6,74.0
15,7,95.0
15,8,21.0
15,9,97.0
15,10,98.0
15,11,37.0
16,0,116.0
16,1,103.0
16,2,67.0
16,3,157.0
16,4,104.0
16,5,111.0
16,6,138.0
16,7,277.0
16,8,216.0
16,9,178.0
16,10,127.0
16,11,121.0
17,0,171.0
17,1,307.0
17,2,193.0
17,3,259.0
17,4,239.0
17,5,183.0
17,6,146.0
17,7,233.0
17,8,290.0
17,9,230.0
17,10,296.0
17,11,289.0
18,0,240.0
18,1,257.0
18,2,228.0
18,3,282.0
18,4,333.0
18,5,317.0
18,6,278.0
18,7,222.0
18,8,236.0
18,9,280.0
18,10,317.0
18,11,285.0
19,0,249.0
19,1,179.0
19,2,281.0
19,3,213.0
19,4,251.0
19,5,203.0
19,6,140.0
19,7,177.0
19,8,146.0
19,9,151.0
19,10,132.0
19,11,58.0
20,0,135.0
20,1,86.0
20,2,90.0
20,3,96.0
20,4,84.0
20,5,90.0
20,6,82.0
20,7,41.0
20,8,133.0
20,9,92.0
20,10,76.0
20,11,101.0
21,0,10.0
21,1,137.0
21,2,16.0
21,3,127.0
21,4,109.0
21,5,21.0
21,6,104.0
21,7,13.0
21,8,101.0
21,9,9.0
21,10,151.0
21,11,16.0
22,0,116.0
22,1,12.0
22,2,91.0
22,3,5.0
22,4,78.0
22,5,4.0
22,6,64.0
22,7,62.0
22,8,19.0
22,9,64.0
22,10,32.0
22,11,19.0
23,0,29.0
23,1,18.0
23,2,18.0
23,3,10.0
23,4,9.0
23,5,7.0
23,6,11.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
