时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,5.0
5,6,7.0
5,7,18.0
5,8,20.0
5,9,17.0
5,10,17.0
5,11,20.0
6,0,24.0
6,1,24.0
6,2,24.0
6,3,36.0
6,4,67.0
6,5,73.0
6,6,106.0
6,7,89.0
6,8,126.0
6,9,118.0
6,10,172.0
6,11,145.0
7,0,172.0
7,1,176.0
7,2,274.0
7,3,208.0
7,4,201.0
7,5,240.0
7,6,347.0
7,7,317.0
7,8,385.0
7,9,337.0
7,10,445.0
7,11,375.0
8,0,352.0
8,1,398.0
8,2,386.0
8,3,361.0
8,4,379.0
8,5,370.0
8,6,376.0
8,7,350.0
8,8,416.0
8,9,404.0
8,10,319.0
8,11,315.0
9,0,293.0
9,1,276.0
9,2,279.0
9,3,324.0
9,4,323.0
9,5,188.0
9,6,310.0
9,7,221.0
9,8,207.0
9,9,206.0
9,10,160.0
9,11,194.0
10,0,148.0
10,1,173.0
10,2,173.0
10,3,153.0
10,4,160.0
10,5,175.0
10,6,133.0
10,7,167.0
10,8,178.0
10,9,150.0
10,10,130.0
10,11,151.0
11,0,129.0
11,1,119.0
11,2,143.0
11,3,117.0
11,4,130.0
11,5,129.0
11,6,151.0
11,7,163.0
11,8,95.0
11,9,132.0
11,10,138.0
11,11,115.0
12,0,130.0
12,1,118.0
12,2,165.0
12,3,130.0
12,4,91.0
12,5,113.0
12,6,152.0
12,7,119.0
12,8,118.0
12,9,116.0
12,10,193.0
12,11,133.0
13,0,101.0
13,1,130.0
13,2,159.0
13,3,145.0
13,4,146.0
13,5,129.0
13,6,123.0
13,7,168.0
13,8,117.0
13,9,141.0
13,10,136.0
13,11,130.0
14,0,135.0
14,1,123.0
14,2,172.0
14,3,141.0
14,4,113.0
14,5,111.0
14,6,145.0
14,7,180.0
14,8,138.0
14,9,114.0
14,10,188.0
14,11,138.0
15,0,117.0
15,1,144.0
15,2,147.0
15,3,146.0
15,4,193.0
15,5,139.0
15,6,198.0
15,7,149.0
15,8,157.0
15,9,161.0
15,10,157.0
15,11,156.0
16,0,157.0
16,1,166.0
16,2,183.0
16,3,168.0
16,4,182.0
16,5,175.0
16,6,256.0
16,7,192.0
16,8,203.0
16,9,191.0
16,10,274.0
16,11,199.0
17,0,224.0
17,1,294.0
17,2,232.0
17,3,260.0
17,4,265.0
17,5,254.0
17,6,262.0
17,7,290.0
17,8,290.0
17,9,261.0
17,10,285.0
17,11,270.0
18,0,274.0
18,1,239.0
18,2,316.0
18,3,293.0
18,4,316.0
18,5,258.0
18,6,239.0
18,7,247.0
18,8,255.0
18,9,228.0
18,10,257.0
18,11,193.0
19,0,202.0
19,1,156.0
19,2,194.0
19,3,202.0
19,4,158.0
19,5,164.0
19,6,112.0
19,7,123.0
19,8,120.0
19,9,111.0
19,10,127.0
19,11,93.0
20,0,118.0
20,1,127.0
20,2,120.0
20,3,106.0
20,4,124.0
20,5,83.0
20,6,74.0
20,7,122.0
20,8,95.0
20,9,123.0
20,10,92.0
20,11,92.0
21,0,88.0
21,1,101.0
21,2,112.0
21,3,72.0
21,4,72.0
21,5,96.0
21,6,73.0
21,7,88.0
21,8,66.0
21,9,92.0
21,10,82.0
21,11,61.0
22,0,76.0
22,1,60.0
22,2,60.0
22,3,56.0
22,4,38.0
22,5,29.0
22,6,58.0
22,7,44.0
22,8,34.0
22,9,15.0
22,10,30.0
22,11,24.0
23,0,24.0
23,1,11.0
23,2,13.0
23,3,8.0
23,4,18.0
23,5,1.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
