时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,38.0
5,3,72.0
5,4,56.0
5,5,86.0
5,6,43.0
5,7,58.0
5,8,145.0
5,9,95.0
5,10,147.0
5,11,167.0
6,0,116.0
6,1,177.0
6,2,175.0
6,3,337.0
6,4,339.0
6,5,339.0
6,6,344.0
6,7,445.0
6,8,477.0
6,9,424.0
6,10,536.0
6,11,456.0
7,0,799.0
7,1,660.0
7,2,729.0
7,3,765.0
7,4,843.0
7,5,946.0
7,6,1074.0
7,7,1023.0
7,8,845.0
7,9,1122.0
7,10,1155.0
7,11,1022.0
8,0,1088.0
8,1,791.0
8,2,1077.0
8,3,687.0
8,4,833.0
8,5,855.0
8,6,659.0
8,7,628.0
8,8,620.0
8,9,675.0
8,10,617.0
8,11,398.0
9,0,371.0
9,1,319.0
9,2,429.0
9,3,305.0
9,4,312.0
9,5,337.0
9,6,269.0
9,7,181.0
9,8,203.0
9,9,213.0
9,10,234.0
9,11,174.0
10,0,248.0
10,1,197.0
10,2,173.0
10,3,127.0
10,4,227.0
10,5,131.0
10,6,267.0
10,7,186.0
10,8,137.0
10,9,210.0
10,10,77.0
10,11,176.0
11,0,219.0
11,1,129.0
11,2,168.0
11,3,222.0
11,4,111.0
11,5,200.0
11,6,91.0
11,7,199.0
11,8,233.0
11,9,81.0
11,10,192.0
11,11,219.0
12,0,144.0
12,1,250.0
12,2,97.0
12,3,241.0
12,4,203.0
12,5,101.0
12,6,171.0
12,7,211.0
12,8,153.0
12,9,232.0
12,10,130.0
12,11,128.0
13,0,235.0
13,1,117.0
13,2,176.0
13,3,130.0
13,4,188.0
13,5,179.0
13,6,90.0
13,7,217.0
13,8,135.0
13,9,137.0
13,10,230.0
13,11,120.0
14,0,108.0
14,1,221.0
14,2,83.0
14,3,188.0
14,4,172.0
14,5,91.0
14,6,165.0
14,7,114.0
14,8,196.0
14,9,203.0
14,10,108.0
14,11,194.0
15,0,189.0
15,1,106.0
15,2,231.0
15,3,78.0
15,4,213.0
15,5,205.0
15,6,74.0
15,7,228.0
15,8,221.0
15,9,93.0
15,10,284.0
15,11,177.0
16,0,194.0
16,1,254.0
16,2,116.0
16,3,265.0
16,4,267.0
16,5,253.0
16,6,254.0
16,7,290.0
16,8,275.0
16,9,252.0
16,10,282.0
16,11,299.0
17,0,258.0
17,1,317.0
17,2,315.0
17,3,361.0
17,4,327.0
17,5,468.0
17,6,352.0
17,7,371.0
17,8,500.0
17,9,378.0
17,10,412.0
17,11,461.0
18,0,548.0
18,1,447.0
18,2,502.0
18,3,445.0
18,4,536.0
18,5,615.0
18,6,492.0
18,7,570.0
18,8,551.0
18,9,505.0
18,10,675.0
18,11,671.0
19,0,446.0
19,1,641.0
19,2,631.0
19,3,545.0
19,4,451.0
19,5,586.0
19,6,380.0
19,7,353.0
19,8,446.0
19,9,353.0
19,10,324.0
19,11,305.0
20,0,212.0
20,1,320.0
20,2,234.0
20,3,257.0
20,4,255.0
20,5,252.0
20,6,154.0
20,7,277.0
20,8,119.0
20,9,310.0
20,10,132.0
20,11,242.0
21,0,200.0
21,1,30.0
21,2,359.0
21,3,41.0
21,4,334.0
21,5,181.0
21,6,113.0
21,7,270.0
21,8,32.0
21,9,282.0
21,10,22.0
21,11,368.0
22,0,68.0
22,1,203.0
22,2,110.0
22,3,239.0
22,4,18.0
22,5,237.0
22,6,5.0
22,7,211.0
22,8,90.0
22,9,130.0
22,10,163.0
22,11,171.0
23,0,112.0
23,1,91.0
23,2,81.0
23,3,56.0
23,4,27.0
23,5,71.0
23,6,9.0
23,7,25.0
23,8,1.0
23,9,0.0
23,10,0.0
23,11,0.0
