时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,1.0
5,5,8.0
5,6,12.0
5,7,10.0
5,8,5.0
5,9,11.0
5,10,18.0
5,11,35.0
6,0,42.0
6,1,32.0
6,2,58.0
6,3,53.0
6,4,52.0
6,5,87.0
6,6,53.0
6,7,88.0
6,8,108.0
6,9,76.0
6,10,70.0
6,11,108.0
7,0,112.0
7,1,108.0
7,2,163.0
7,3,135.0
7,4,164.0
7,5,191.0
7,6,193.0
7,7,255.0
7,8,333.0
7,9,259.0
7,10,244.0
7,11,270.0
8,0,299.0
8,1,325.0
8,2,356.0
8,3,357.0
8,4,292.0
8,5,261.0
8,6,423.0
8,7,355.0
8,8,290.0
8,9,337.0
8,10,274.0
8,11,237.0
9,0,246.0
9,1,202.0
9,2,260.0
9,3,242.0
9,4,167.0
9,5,153.0
9,6,125.0
9,7,115.0
9,8,108.0
9,9,127.0
9,10,85.0
9,11,104.0
10,0,62.0
10,1,72.0
10,2,65.0
10,3,63.0
10,4,86.0
10,5,20.0
10,6,67.0
10,7,61.0
10,8,19.0
10,9,62.0
10,10,41.0
10,11,57.0
11,0,62.0
11,1,30.0
11,2,75.0
11,3,62.0
11,4,20.0
11,5,59.0
11,6,23.0
11,7,60.0
11,8,62.0
11,9,22.0
11,10,67.0
11,11,63.0
12,0,29.0
12,1,51.0
12,2,38.0
12,3,62.0
12,4,49.0
12,5,30.0
12,6,87.0
12,7,69.0
12,8,27.0
12,9,60.0
12,10,24.0
12,11,69.0
13,0,68.0
13,1,37.0
13,2,63.0
13,3,58.0
13,4,25.0
13,5,59.0
13,6,35.0
13,7,72.0
13,8,65.0
13,9,17.0
13,10,55.0
13,11,61.0
14,0,29.0
14,1,59.0
14,2,32.0
14,3,69.0
14,4,59.0
14,5,29.0
14,6,57.0
14,7,37.0
14,8,30.0
14,9,52.0
14,10,22.0
14,11,63.0
15,0,69.0
15,1,14.0
15,2,79.0
15,3,65.0
15,4,37.0
15,5,52.0
15,6,21.0
15,7,58.0
15,8,78.0
15,9,34.0
15,10,62.0
15,11,41.0
16,0,72.0
16,1,98.0
16,2,71.0
16,3,95.0
16,4,75.0
16,5,65.0
16,6,106.0
16,7,124.0
16,8,98.0
16,9,100.0
16,10,82.0
16,11,130.0
17,0,119.0
17,1,153.0
17,2,180.0
17,3,145.0
17,4,176.0
17,5,140.0
17,6,153.0
17,7,162.0
17,8,205.0
17,9,166.0
17,10,175.0
17,11,185.0
18,0,178.0
18,1,246.0
18,2,309.0
18,3,277.0
18,4,258.0
18,5,270.0
18,6,233.0
18,7,181.0
18,8,256.0
18,9,251.0
18,10,188.0
18,11,307.0
19,0,172.0
19,1,189.0
19,2,167.0
19,3,234.0
19,4,151.0
19,5,158.0
19,6,181.0
19,7,101.0
19,8,108.0
19,9,132.0
19,10,94.0
19,11,86.0
20,0,83.0
20,1,91.0
20,2,141.0
20,3,94.0
20,4,43.0
20,5,91.0
20,6,77.0
20,7,94.0
20,8,74.0
20,9,100.0
20,10,92.0
20,11,54.0
21,0,109.0
21,1,49.0
21,2,111.0
21,3,41.0
21,4,74.0
21,5,33.0
21,6,90.0
21,7,23.0
21,8,78.0
21,9,85.0
21,10,53.0
21,11,23.0
22,0,70.0
22,1,13.0
22,2,54.0
22,3,33.0
22,4,28.0
22,5,33.0
22,6,4.0
22,7,44.0
22,8,4.0
22,9,32.0
22,10,19.0
22,11,34.0
23,0,6.0
23,1,25.0
23,2,5.0
23,3,13.0
23,4,8.0
23,5,12.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
