时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,0.0
5,4,3.0
5,5,8.0
5,6,3.0
5,7,5.0
5,8,10.0
5,9,8.0
5,10,10.0
5,11,16.0
6,0,12.0
6,1,22.0
6,2,19.0
6,3,31.0
6,4,44.0
6,5,31.0
6,6,77.0
6,7,49.0
6,8,100.0
6,9,97.0
6,10,82.0
6,11,110.0
7,0,112.0
7,1,125.0
7,2,139.0
7,3,112.0
7,4,202.0
7,5,108.0
7,6,201.0
7,7,231.0
7,8,186.0
7,9,252.0
7,10,215.0
7,11,205.0
8,0,261.0
8,1,181.0
8,2,203.0
8,3,206.0
8,4,203.0
8,5,195.0
8,6,202.0
8,7,201.0
8,8,195.0
8,9,157.0
8,10,128.0
8,11,146.0
9,0,102.0
9,1,158.0
9,2,132.0
9,3,92.0
9,4,139.0
9,5,79.0
9,6,93.0
9,7,59.0
9,8,121.0
9,9,83.0
9,10,76.0
9,11,103.0
10,0,63.0
10,1,76.0
10,2,78.0
10,3,76.0
10,4,58.0
10,5,51.0
10,6,42.0
10,7,75.0
10,8,48.0
10,9,91.0
10,10,34.0
10,11,83.0
11,0,25.0
11,1,82.0
11,2,61.0
11,3,44.0
11,4,73.0
11,5,46.0
11,6,54.0
11,7,70.0
11,8,45.0
11,9,75.0
11,10,66.0
11,11,34.0
12,0,76.0
12,1,33.0
12,2,66.0
12,3,73.0
12,4,41.0
12,5,80.0
12,6,72.0
12,7,51.0
12,8,70.0
12,9,30.0
12,10,53.0
12,11,60.0
13,0,36.0
13,1,50.0
13,2,34.0
13,3,51.0
13,4,80.0
13,5,29.0
13,6,71.0
13,7,63.0
13,8,35.0
13,9,79.0
13,10,41.0
13,11,60.0
14,0,75.0
14,1,35.0
14,2,63.0
14,3,59.0
14,4,39.0
14,5,75.0
14,6,50.0
14,7,55.0
14,8,73.0
14,9,38.0
14,10,76.0
14,11,78.0
15,0,41.0
15,1,75.0
15,2,47.0
15,3,44.0
15,4,93.0
15,5,35.0
15,6,80.0
15,7,64.0
15,8,40.0
15,9,88.0
15,10,33.0
15,11,86.0
16,0,54.0
16,1,27.0
16,2,68.0
16,3,72.0
16,4,49.0
16,5,108.0
16,6,89.0
16,7,68.0
16,8,151.0
16,9,46.0
16,10,141.0
16,11,112.0
17,0,69.0
17,1,143.0
17,2,176.0
17,3,117.0
17,4,131.0
17,5,89.0
17,6,153.0
17,7,148.0
17,8,160.0
17,9,170.0
17,10,166.0
17,11,168.0
18,0,138.0
18,1,156.0
18,2,79.0
18,3,141.0
18,4,139.0
18,5,172.0
18,6,147.0
18,7,143.0
18,8,151.0
18,9,126.0
18,10,135.0
18,11,133.0
19,0,55.0
19,1,131.0
19,2,75.0
19,3,98.0
19,4,102.0
19,5,93.0
19,6,66.0
19,7,50.0
19,8,63.0
19,9,64.0
19,10,64.0
19,11,62.0
20,0,43.0
20,1,45.0
20,2,31.0
20,3,68.0
20,4,45.0
20,5,50.0
20,6,62.0
20,7,59.0
20,8,24.0
20,9,55.0
20,10,39.0
20,11,24.0
21,0,18.0
21,1,69.0
21,2,68.0
21,3,8.0
21,4,71.0
21,5,25.0
21,6,70.0
21,7,42.0
21,8,23.0
21,9,53.0
21,10,17.0
21,11,51.0
22,0,15.0
22,1,45.0
22,2,10.0
22,3,46.0
22,4,38.0
22,5,15.0
22,6,28.0
22,7,25.0
22,8,33.0
22,9,22.0
22,10,17.0
22,11,15.0
23,0,8.0
23,1,6.0
23,2,10.0
23,3,8.0
23,4,6.0
23,5,3.0
23,6,1.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
