时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,5.0
5,6,2.0
5,7,12.0
5,8,14.0
5,9,29.0
5,10,36.0
5,11,37.0
6,0,30.0
6,1,51.0
6,2,56.0
6,3,56.0
6,4,82.0
6,5,82.0
6,6,109.0
6,7,109.0
6,8,88.0
6,9,130.0
6,10,157.0
6,11,153.0
7,0,222.0
7,1,210.0
7,2,232.0
7,3,222.0
7,4,277.0
7,5,263.0
7,6,231.0
7,7,272.0
7,8,353.0
7,9,315.0
7,10,383.0
7,11,395.0
8,0,385.0
8,1,464.0
8,2,558.0
8,3,589.0
8,4,534.0
8,5,588.0
8,6,517.0
8,7,533.0
8,8,516.0
8,9,389.0
8,10,490.0
8,11,380.0
9,0,407.0
9,1,334.0
9,2,310.0
9,3,303.0
9,4,308.0
9,5,264.0
9,6,217.0
9,7,242.0
9,8,167.0
9,9,194.0
9,10,177.0
9,11,197.0
10,0,177.0
10,1,108.0
10,2,166.0
10,3,129.0
10,4,150.0
10,5,132.0
10,6,101.0
10,7,121.0
10,8,127.0
10,9,103.0
10,10,101.0
10,11,90.0
11,0,93.0
11,1,120.0
11,2,112.0
11,3,91.0
11,4,132.0
11,5,112.0
11,6,105.0
11,7,114.0
11,8,109.0
11,9,108.0
11,10,107.0
11,11,94.0
12,0,111.0
12,1,131.0
12,2,110.0
12,3,123.0
12,4,124.0
12,5,110.0
12,6,120.0
12,7,145.0
12,8,149.0
12,9,123.0
12,10,127.0
12,11,115.0
13,0,102.0
13,1,139.0
13,2,108.0
13,3,111.0
13,4,122.0
13,5,95.0
13,6,91.0
13,7,132.0
13,8,142.0
13,9,101.0
13,10,119.0
13,11,127.0
14,0,131.0
14,1,110.0
14,2,127.0
14,3,115.0
14,4,153.0
14,5,143.0
14,6,114.0
14,7,114.0
14,8,132.0
14,9,102.0
14,10,141.0
14,11,107.0
15,0,130.0
15,1,98.0
15,2,131.0
15,3,138.0
15,4,149.0
15,5,138.0
15,6,147.0
15,7,120.0
15,8,144.0
15,9,169.0
15,10,160.0
15,11,138.0
16,0,133.0
16,1,172.0
16,2,187.0
16,3,161.0
16,4,182.0
16,5,172.0
16,6,194.0
16,7,236.0
16,8,280.0
16,9,207.0
16,10,232.0
16,11,226.0
17,0,272.0
17,1,242.0
17,2,309.0
17,3,342.0
17,4,347.0
17,5,274.0
17,6,400.0
17,7,423.0
17,8,386.0
17,9,392.0
17,10,459.0
17,11,412.0
18,0,350.0
18,1,391.0
18,2,417.0
18,3,345.0
18,4,529.0
18,5,339.0
18,6,442.0
18,7,417.0
18,8,396.0
18,9,371.0
18,10,255.0
18,11,283.0
19,0,426.0
19,1,429.0
19,2,300.0
19,3,262.0
19,4,188.0
19,5,223.0
19,6,219.0
19,7,220.0
19,8,221.0
19,9,190.0
19,10,156.0
19,11,171.0
20,0,160.0
20,1,172.0
20,2,157.0
20,3,147.0
20,4,157.0
20,5,171.0
20,6,145.0
20,7,139.0
20,8,129.0
20,9,142.0
20,10,116.0
20,11,146.0
21,0,166.0
21,1,168.0
21,2,137.0
21,3,140.0
21,4,138.0
21,5,144.0
21,6,159.0
21,7,135.0
21,8,122.0
21,9,125.0
21,10,127.0
21,11,104.0
22,0,137.0
22,1,148.0
22,2,132.0
22,3,113.0
22,4,72.0
22,5,118.0
22,6,76.0
22,7,56.0
22,8,68.0
22,9,45.0
22,10,28.0
22,11,61.0
23,0,19.0
23,1,8.0
23,2,11.0
23,3,10.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
