时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,4.0
5,7,4.0
5,8,11.0
5,9,29.0
5,10,31.0
5,11,37.0
6,0,53.0
6,1,44.0
6,2,59.0
6,3,81.0
6,4,60.0
6,5,90.0
6,6,102.0
6,7,122.0
6,8,122.0
6,9,147.0
6,10,181.0
6,11,184.0
7,0,185.0
7,1,212.0
7,2,178.0
7,3,200.0
7,4,197.0
7,5,259.0
7,6,268.0
7,7,315.0
7,8,322.0
7,9,320.0
7,10,375.0
7,11,362.0
8,0,398.0
8,1,457.0
8,2,483.0
8,3,512.0
8,4,505.0
8,5,487.0
8,6,419.0
8,7,587.0
8,8,566.0
8,9,569.0
8,10,726.0
8,11,503.0
9,0,444.0
9,1,454.0
9,2,359.0
9,3,421.0
9,4,350.0
9,5,383.0
9,6,306.0
9,7,329.0
9,8,300.0
9,9,282.0
9,10,260.0
9,11,269.0
10,0,230.0
10,1,209.0
10,2,211.0
10,3,204.0
10,4,193.0
10,5,195.0
10,6,175.0
10,7,204.0
10,8,165.0
10,9,215.0
10,10,148.0
10,11,168.0
11,0,194.0
11,1,146.0
11,2,162.0
11,3,188.0
11,4,137.0
11,5,148.0
11,6,161.0
11,7,148.0
11,8,151.0
11,9,150.0
11,10,146.0
11,11,135.0
12,0,159.0
12,1,147.0
12,2,170.0
12,3,135.0
12,4,147.0
12,5,143.0
12,6,168.0
12,7,133.0
12,8,155.0
12,9,139.0
12,10,160.0
12,11,154.0
13,0,134.0
13,1,153.0
13,2,147.0
13,3,227.0
13,4,170.0
13,5,130.0
13,6,168.0
13,7,159.0
13,8,150.0
13,9,151.0
13,10,177.0
13,11,133.0
14,0,179.0
14,1,128.0
14,2,156.0
14,3,206.0
14,4,163.0
14,5,130.0
14,6,152.0
14,7,177.0
14,8,184.0
14,9,146.0
14,10,182.0
14,11,144.0
15,0,165.0
15,1,193.0
15,2,183.0
15,3,187.0
15,4,157.0
15,5,159.0
15,6,171.0
15,7,212.0
15,8,177.0
15,9,167.0
15,10,166.0
15,11,177.0
16,0,164.0
16,1,202.0
16,2,192.0
16,3,202.0
16,4,175.0
16,5,197.0
16,6,202.0
16,7,216.0
16,8,245.0
16,9,224.0
16,10,256.0
16,11,265.0
17,0,260.0
17,1,404.0
17,2,373.0
17,3,341.0
17,4,319.0
17,5,279.0
17,6,336.0
17,7,418.0
17,8,456.0
17,9,459.0
17,10,367.0
17,11,365.0
18,0,356.0
18,1,429.0
18,2,499.0
18,3,474.0
18,4,429.0
18,5,418.0
18,6,371.0
18,7,344.0
18,8,350.0
18,9,307.0
18,10,278.0
18,11,284.0
19,0,282.0
19,1,297.0
19,2,245.0
19,3,202.0
19,4,232.0
19,5,170.0
19,6,168.0
19,7,154.0
19,8,160.0
19,9,165.0
19,10,142.0
19,11,131.0
20,0,133.0
20,1,142.0
20,2,110.0
20,3,130.0
20,4,125.0
20,5,126.0
20,6,147.0
20,7,116.0
20,8,115.0
20,9,135.0
20,10,123.0
20,11,106.0
21,0,115.0
21,1,122.0
21,2,131.0
21,3,90.0
21,4,136.0
21,5,134.0
21,6,120.0
21,7,115.0
21,8,92.0
21,9,111.0
21,10,99.0
21,11,100.0
22,0,99.0
22,1,114.0
22,2,96.0
22,3,137.0
22,4,83.0
22,5,106.0
22,6,64.0
22,7,73.0
22,8,34.0
22,9,45.0
22,10,37.0
22,11,29.0
23,0,9.0
23,1,3.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
