时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,6.0
5,3,7.0
5,4,8.0
5,5,13.0
5,6,21.0
5,7,14.0
5,8,15.0
5,9,27.0
5,10,30.0
5,11,42.0
6,0,32.0
6,1,33.0
6,2,38.0
6,3,44.0
6,4,43.0
6,5,42.0
6,6,82.0
6,7,49.0
6,8,76.0
6,9,74.0
6,10,88.0
6,11,108.0
7,0,120.0
7,1,138.0
7,2,145.0
7,3,164.0
7,4,193.0
7,5,222.0
7,6,319.0
7,7,343.0
7,8,453.0
7,9,477.0
7,10,355.0
7,11,409.0
8,0,465.0
8,1,450.0
8,2,427.0
8,3,426.0
8,4,338.0
8,5,331.0
8,6,279.0
8,7,437.0
8,8,286.0
8,9,293.0
8,10,297.0
8,11,196.0
9,0,233.0
9,1,199.0
9,2,163.0
9,3,167.0
9,4,149.0
9,5,119.0
9,6,108.0
9,7,97.0
9,8,65.0
9,9,73.0
9,10,80.0
9,11,58.0
10,0,71.0
10,1,44.0
10,2,44.0
10,3,43.0
10,4,51.0
10,5,57.0
10,6,20.0
10,7,55.0
10,8,45.0
10,9,31.0
10,10,40.0
10,11,25.0
11,0,47.0
11,1,40.0
11,2,23.0
11,3,53.0
11,4,41.0
11,5,31.0
11,6,55.0
11,7,14.0
11,8,47.0
11,9,53.0
11,10,28.0
11,11,46.0
12,0,45.0
12,1,39.0
12,2,50.0
12,3,23.0
12,4,44.0
12,5,58.0
12,6,23.0
12,7,42.0
12,8,64.0
12,9,21.0
12,10,47.0
12,11,30.0
13,0,50.0
13,1,58.0
13,2,26.0
13,3,43.0
13,4,58.0
13,5,27.0
13,6,48.0
13,7,30.0
13,8,44.0
13,9,42.0
13,10,32.0
13,11,55.0
14,0,35.0
14,1,35.0
14,2,40.0
14,3,23.0
14,4,43.0
14,5,57.0
14,6,17.0
14,7,46.0
14,8,56.0
14,9,26.0
14,10,51.0
14,11,24.0
15,0,37.0
15,1,57.0
15,2,18.0
15,3,49.0
15,4,44.0
15,5,20.0
15,6,51.0
15,7,26.0
15,8,59.0
15,9,54.0
15,10,33.0
15,11,50.0
16,0,58.0
16,1,24.0
16,2,66.0
16,3,21.0
16,4,115.0
16,5,48.0
16,6,53.0
16,7,64.0
16,8,251.0
16,9,68.0
16,10,73.0
16,11,90.0
17,0,102.0
17,1,122.0
17,2,87.0
17,3,163.0
17,4,119.0
17,5,136.0
17,6,162.0
17,7,141.0
17,8,168.0
17,9,177.0
17,10,161.0
17,11,178.0
18,0,182.0
18,1,223.0
18,2,212.0
18,3,179.0
18,4,253.0
18,5,214.0
18,6,229.0
18,7,207.0
18,8,181.0
18,9,198.0
18,10,275.0
18,11,176.0
19,0,356.0
19,1,237.0
19,2,150.0
19,3,173.0
19,4,277.0
19,5,199.0
19,6,187.0
19,7,136.0
19,8,97.0
19,9,145.0
19,10,152.0
19,11,123.0
20,0,114.0
20,1,83.0
20,2,75.0
20,3,162.0
20,4,97.0
20,5,44.0
20,6,143.0
20,7,61.0
20,8,90.0
20,9,52.0
20,10,89.0
20,11,128.0
21,0,15.0
21,1,122.0
21,2,18.0
21,3,135.0
21,4,10.0
21,5,116.0
21,6,16.0
21,7,100.0
21,8,23.0
21,9,115.0
21,10,114.0
21,11,59.0
22,0,13.0
22,1,115.0
22,2,33.0
22,3,76.0
22,4,77.0
22,5,6.0
22,6,84.0
22,7,3.0
22,8,55.0
22,9,0.0
22,10,85.0
22,11,46.0
23,0,44.0
23,1,12.0
23,2,29.0
23,3,6.0
23,4,18.0
23,5,9.0
23,6,17.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
