时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,13.0
5,5,22.0
5,6,46.0
5,7,59.0
5,8,52.0
5,9,44.0
5,10,60.0
5,11,80.0
6,0,72.0
6,1,85.0
6,2,96.0
6,3,103.0
6,4,103.0
6,5,143.0
6,6,158.0
6,7,137.0
6,8,277.0
6,9,221.0
6,10,178.0
6,11,239.0
7,0,233.0
7,1,276.0
7,2,302.0
7,3,327.0
7,4,387.0
7,5,352.0
7,6,488.0
7,7,521.0
7,8,436.0
7,9,650.0
7,10,537.0
7,11,651.0
8,0,598.0
8,1,694.0
8,2,640.0
8,3,612.0
8,4,465.0
8,5,493.0
8,6,418.0
8,7,461.0
8,8,408.0
8,9,450.0
8,10,337.0
8,11,271.0
9,0,279.0
9,1,245.0
9,2,257.0
9,3,212.0
9,4,159.0
9,5,179.0
9,6,104.0
9,7,169.0
9,8,179.0
9,9,105.0
9,10,114.0
9,11,84.0
10,0,137.0
10,1,54.0
10,2,127.0
10,3,91.0
10,4,36.0
10,5,104.0
10,6,97.0
10,7,93.0
10,8,83.0
10,9,43.0
10,10,90.0
10,11,68.0
11,0,48.0
11,1,57.0
11,2,43.0
11,3,100.0
11,4,65.0
11,5,37.0
11,6,113.0
11,7,70.0
11,8,66.0
11,9,76.0
11,10,68.0
11,11,71.0
12,0,114.0
12,1,40.0
12,2,110.0
12,3,91.0
12,4,66.0
12,5,78.0
12,6,73.0
12,7,71.0
12,8,94.0
12,9,29.0
12,10,82.0
12,11,85.0
13,0,69.0
13,1,78.0
13,2,60.0
13,3,71.0
13,4,78.0
13,5,48.0
13,6,87.0
13,7,55.0
13,8,71.0
13,9,53.0
13,10,45.0
13,11,76.0
14,0,80.0
14,1,37.0
14,2,69.0
14,3,64.0
14,4,38.0
14,5,70.0
14,6,40.0
14,7,73.0
14,8,81.0
14,9,36.0
14,10,82.0
14,11,72.0
15,0,34.0
15,1,84.0
15,2,35.0
15,3,97.0
15,4,112.0
15,5,35.0
15,6,100.0
15,7,105.0
15,8,65.0
15,9,128.0
15,10,23.0
15,11,118.0
16,0,124.0
16,1,29.0
16,2,145.0
16,3,141.0
16,4,93.0
16,5,121.0
16,6,112.0
16,7,160.0
16,8,138.0
16,9,142.0
16,10,158.0
16,11,199.0
17,0,118.0
17,1,239.0
17,2,188.0
17,3,221.0
17,4,191.0
17,5,177.0
17,6,281.0
17,7,282.0
17,8,284.0
17,9,260.0
17,10,329.0
17,11,329.0
18,0,326.0
18,1,288.0
18,2,371.0
18,3,292.0
18,4,389.0
18,5,407.0
18,6,325.0
18,7,394.0
18,8,261.0
18,9,349.0
18,10,419.0
18,11,385.0
19,0,188.0
19,1,395.0
19,2,272.0
19,3,442.0
19,4,232.0
19,5,255.0
19,6,269.0
19,7,210.0
19,8,173.0
19,9,186.0
19,10,68.0
19,11,246.0
20,0,101.0
20,1,175.0
20,2,127.0
20,3,154.0
20,4,158.0
20,5,166.0
20,6,100.0
20,7,131.0
20,8,149.0
20,9,95.0
20,10,136.0
20,11,52.0
21,0,154.0
21,1,78.0
21,2,174.0
21,3,188.0
21,4,18.0
21,5,212.0
21,6,17.0
21,7,186.0
21,8,107.0
21,9,170.0
21,10,6.0
21,11,158.0
22,0,4.0
22,1,162.0
22,2,4.0
22,3,158.0
22,4,2.0
22,5,143.0
22,6,140.0
22,7,3.0
22,8,143.0
22,9,71.0
22,10,76.0
22,11,41.0
23,0,36.0
23,1,81.0
23,2,14.0
23,3,18.0
23,4,17.0
23,5,8.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
