时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,3.0
5,7,6.0
5,8,13.0
5,9,13.0
5,10,23.0
5,11,12.0
6,0,39.0
6,1,28.0
6,2,35.0
6,3,59.0
6,4,80.0
6,5,60.0
6,6,63.0
6,7,93.0
6,8,98.0
6,9,126.0
6,10,119.0
6,11,120.0
7,0,152.0
7,1,164.0
7,2,186.0
7,3,213.0
7,4,182.0
7,5,255.0
7,6,280.0
7,7,281.0
7,8,298.0
7,9,375.0
7,10,398.0
7,11,392.0
8,0,486.0
8,1,554.0
8,2,536.0
8,3,616.0
8,4,589.0
8,5,568.0
8,6,596.0
8,7,543.0
8,8,674.0
8,9,649.0
8,10,607.0
8,11,507.0
9,0,460.0
9,1,446.0
9,2,386.0
9,3,389.0
9,4,362.0
9,5,357.0
9,6,296.0
9,7,281.0
9,8,267.0
9,9,257.0
9,10,159.0
9,11,202.0
10,0,301.0
10,1,185.0
10,2,153.0
10,3,188.0
10,4,226.0
10,5,187.0
10,6,163.0
10,7,152.0
10,8,228.0
10,9,186.0
10,10,159.0
10,11,172.0
11,0,181.0
11,1,225.0
11,2,133.0
11,3,144.0
11,4,237.0
11,5,191.0
11,6,143.0
11,7,179.0
11,8,165.0
11,9,203.0
11,10,148.0
11,11,159.0
12,0,234.0
12,1,191.0
12,2,141.0
12,3,234.0
12,4,154.0
12,5,227.0
12,6,189.0
12,7,214.0
12,8,266.0
12,9,196.0
12,10,188.0
12,11,235.0
13,0,271.0
13,1,191.0
13,2,190.0
13,3,175.0
13,4,196.0
13,5,201.0
13,6,163.0
13,7,245.0
13,8,216.0
13,9,198.0
13,10,183.0
13,11,197.0
14,0,182.0
14,1,238.0
14,2,203.0
14,3,203.0
14,4,211.0
14,5,209.0
14,6,181.0
14,7,198.0
14,8,165.0
14,9,194.0
14,10,180.0
14,11,170.0
15,0,202.0
15,1,193.0
15,2,213.0
15,3,238.0
15,4,199.0
15,5,198.0
15,6,197.0
15,7,161.0
15,8,235.0
15,9,226.0
15,10,202.0
15,11,190.0
16,0,213.0
16,1,255.0
16,2,204.0
16,3,242.0
16,4,243.0
16,5,303.0
16,6,271.0
16,7,271.0
16,8,350.0
16,9,342.0
16,10,279.0
16,11,282.0
17,0,370.0
17,1,383.0
17,2,519.0
17,3,481.0
17,4,487.0
17,5,413.0
17,6,568.0
17,7,640.0
17,8,616.0
17,9,514.0
17,10,555.0
17,11,563.0
18,0,651.0
18,1,731.0
18,2,758.0
18,3,628.0
18,4,676.0
18,5,645.0
18,6,638.0
18,7,496.0
18,8,624.0
18,9,547.0
18,10,538.0
18,11,495.0
19,0,485.0
19,1,404.0
19,2,360.0
19,3,464.0
19,4,360.0
19,5,363.0
19,6,323.0
19,7,278.0
19,8,300.0
19,9,250.0
19,10,295.0
19,11,258.0
20,0,254.0
20,1,237.0
20,2,298.0
20,3,250.0
20,4,229.0
20,5,280.0
20,6,223.0
20,7,209.0
20,8,280.0
20,9,218.0
20,10,254.0
20,11,210.0
21,0,249.0
21,1,224.0
21,2,207.0
21,3,220.0
21,4,204.0
21,5,184.0
21,6,186.0
21,7,210.0
21,8,164.0
21,9,184.0
21,10,154.0
21,11,177.0
22,0,123.0
22,1,171.0
22,2,142.0
22,3,97.0
22,4,101.0
22,5,75.0
22,6,79.0
22,7,58.0
22,8,55.0
22,9,41.0
22,10,38.0
22,11,29.0
23,0,15.0
23,1,12.0
23,2,13.0
23,3,6.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
